,2011-12-31,2012-12-31,2013-12-31
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,-1059437.000,
GainLossOnSaleOfCommodityContracts,3040328.000,-723823.000,-76517.000
GeneralPartnersCapitalAccountDistributionAmount,,25000.000,25000.000
InterestAndDividendIncomeOperating,6775.000,10416.000,5171.000
InterestIncomeOperating,1939.000,3830.000,
InvestmentIncomeInterest,4836.000,6586.000,5171.000
InvestmentIncomeNet,-2390114.000,-1962373.000,-1660073.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010,0.010
ManagementFeeExpense,,,304675.000
NetIncomeLoss,-144445.000,-2354288.000,-275064.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-14.260,-169.240,-23.460
OperatingExpenses,2396889.000,1972789.000,1665244.000
OtherExpenses,51310.000,31463.000,61858.000
PartnersCapitalAccountRedemptions,2400928.000,2304856.000,1696819.000
PartnersCapitalAccountUnitsRedeemed,,1540.513,1205.572
ProfessionalFees,144878.000,89157.000,151116.000
RealizedInvestmentGainsLosses,-235633.000,900416.000,1109841.000
SellingExpense,1697645.000,1426054.000,1066471.000
TradingActivityGainsAndLossesNet,2245669.000,-391915.000,1385009.000
UnrealizedGainLossOnCommodityContracts,18602.000,-335614.000,76517.000
UnrealizedGainLossOnInvestments,-577628.000,-232894.000,275168.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,15535.681,14083.883,12605.227
