,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AssetImpairmentCharges,,,,,,,,,0.000,,0.000,0.000,0.000,,,,,,,
AssetRetirementObligationAccretionExpense,28200.000,28200.000,26300.000,26400.000,26300.000,26400.000,28600.000,28600.000,28500.000,28600.000,30200.000,30200.000,30300.000,30200.000,44700.000,44800.000,44700.000,44700.000,26600.000,26600.000
AssetRetirementObligationLiabilitiesSettled,,,,,,,,,,,,100.000,,,,,,,,
AssetRetirementObligationPeriodIncreaseDecrease,,,,0.000,0.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-23100.000,,,,58800.000,,,,-40100.000,,,,-3800.000,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,0.000,
ComprehensiveIncomeNetOfTax,,,-102700.000,-89900.000,-41000.000,-99000.000,-106000.000,-42500.000,-67800.000,-22800.000,15600.000,41500.000,-98800.000,-1592600.000,-113400.000,-143500.000,-826500.000,-102400.000,-87100.000,-113800.000
CostsAndExpenses,,,347200.000,345600.000,412900.000,385200.000,334000.000,345900.000,363400.000,241900.000,243200.000,273700.000,241400.000,1764400.000,236900.000,206200.000,882700.000,182000.000,159700.000,180300.000
DepletionOfOilAndGasProperties,253500.000,230100.000,80700.000,92800.000,112600.000,109500.000,89100.000,97100.000,104500.000,17400.000,15700.000,19400.000,17500.000,90600.000,18200.000,16000.000,11100.000,0.000,0.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,2600.000,-2400.000,5500.000,6100.000,2800.000,-3300.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,,2200.000,2000.000,-1200.000,-700.000,200.000,300.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,179200.000,,,,65900.000,,,,,,,,,,,,,
GainLossOnFairValueHedgeIneffectivenessNet,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000
GainLossOnSaleOfDerivatives,,,,,,,,,,,,,,,3400.000,,,,-400.000,
GeneralAndAdministrativeExpense,34000.000,41200.000,44700.000,34700.000,41300.000,36100.000,40900.000,35600.000,40300.000,31900.000,35000.000,28700.000,35000.000,35700.000,35200.000,31200.000,27400.000,29600.000,30500.000,35600.000
GeneralPartnerDistributions,,,0.000,,0.000,,,,,,,,,,,,,,,
