,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AssetManagementCosts,113830.000,87784.000,82662.000,78373.000,73580.000,71928.000,73583.000,64823.000,61570.000,48256.000,43725.000,45469.000,36260.000,30877.000,28571.000,27462.000
DerivativeGainLossOnDerivativeNet,1559934.000,-821850.000,1444052.000,241368.000,44341.000,-121522.000,1386898.000,-960358.000,194715.000,-211514.000,-94133.000,1175147.000,1105176.000,330714.000,-1150096.000,112166.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,,-121522.000,,,,,,,,,,
FloorBrokerage,,,230711.000,230711.000,,,,,,,,,,,,
FloorBrokerageExchangeAndClearanceFees,189575.000,178028.000,167861.000,165560.000,152440.000,146746.000,143049.000,138956.000,122775.000,100855.000,92926.000,86570.000,56890.000,39968.000,25955.000,0.000
ForeignCurrencyTransactionGainLossRealized,,,2438.000,-360.000,,1217.000,-440.000,440.000,2342.000,-1344.000,-1719.000,5315.000,4266.000,5841.000,-2624.000,1845.000
GeneralAndAdministrativeExpense,44239.000,48949.000,28447.000,18011.000,21999.000,20486.000,20984.000,22900.000,20855.000,20759.000,20638.000,21268.000,3756.000,12631.000,12548.000,11831.000
IncentiveFeeExpense,,,,,,,,,,,,,,,,0.000
InterestIncomeOperating,871.000,4353.000,4925.000,4840.000,3984.000,2617.000,1917.000,1412.000,1153.000,311.000,113.000,608.000,-472.000,987.000,1199.000,1401.000
InvestmentIncomeNet,-435054.000,-326969.000,-536177.000,-290285.000,-311546.000,-263173.000,-594273.000,-258518.000,-278686.000,-201205.000,-196970.000,-225169.000,-153705.000,-136110.000,-108300.000,-91102.000
ManagementFeeAmountPaid,,,42563.000,42046.000,,,,,,,,,,,,
NetIncomeLoss,1124880.000,-1148819.000,907875.000,-48917.000,-267205.000,-384695.000,792625.000,-1218876.000,-83971.000,-412719.000,-291103.000,949978.000,951471.000,194604.000,-1258396.000,21064.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,434.770,-465.140,380.620,-22.590,-132.880,-183.790,385.130,-611.510,-37.860,-273.050,-196.770,685.050,635.930,146.230,-943.640,14.690
NoninterestExpenseRelatedToPerformanceFees,59411.000,0.000,230711.000,,,1000.000,327190.000,1791.000,32329.000,0.000,0.000,29294.000,0.000,25198.000,22819.000,21077.000
OperatingExpenses,435925.000,331322.000,541102.000,295125.000,315530.000,265790.000,596190.000,259930.000,279839.000,201516.000,197083.000,225777.000,153233.000,137097.000,109499.000,92503.000
PartnersCapitalAccountContributions,,183273.000,,,,296271.000,,,,1568.000,,,,50000.000,,
PartnersCapitalAccountRedemptions,,-675613.000,,,,-650500.000,,,,-461595.000,,,,-112865.000,,
ProfessionalFees,28870.000,16561.000,31421.000,33181.000,67511.000,25630.000,31384.000,31460.000,42310.000,31646.000,39794.000,43176.000,40780.000,28423.000,19606.000,32133.000
