,2011-09-30,2012-03-31,2013-03-31,2013-09-30,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-1395000.000,4693000.000,,577000.000,,-1587000.000,,,,-25000.000,,,
NetCashProvidedByUsedInInvestingActivities,,-597000.000,-335000.000,,-480000.000,,-22000.000,,,,-104000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-597000.000,-335000.000,,-480000.000,,-22000.000,,,,-104000.000,,,
NetCashProvidedByUsedInOperatingActivities,,-1925000.000,-4706000.000,,-801000.000,,1734000.000,,,,344000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-1925000.000,-4706000.000,,-801000.000,,1734000.000,,,,344000.000,,,
NetIncomeLoss,-8862000.000,-3439000.000,-2760000.000,-2503000.000,-3377000.000,-3413000.000,-3073000.000,-3547000.000,-2659000.000,-4865000.000,-2295000.000,-2308000.000,-2247000.000,-16632000.000
NetIncomeLossAttributableToNoncontrollingInterest,-1026000.000,-1073000.000,-1155000.000,-843000.000,-1634000.000,-1390000.000,-1603000.000,-1930000.000,-1055000.000,-1323000.000,-1094000.000,-1069000.000,-1070000.000,-7306000.000
NonoperatingIncomeExpense,,,-1119000.000,-774000.000,-752000.000,-912000.000,-680000.000,-476000.000,-272000.000,-706000.000,-490000.000,-558000.000,-243000.000,-711000.000
OperatingCostsAndExpenses,7273000.000,4882000.000,3559000.000,3193000.000,2984000.000,3270000.000,3484000.000,4730000.000,3248000.000,5197000.000,2965000.000,2095000.000,2695000.000,23138000.000
OperatingExpenses,4747000.000,370000.000,,,,,,,,,,,,
OperatingIncomeLoss,-5136000.000,-4180000.000,-2809000.000,-2580000.000,-3955000.000,-3890000.000,-3996000.000,-5001000.000,-3442000.000,-5482000.000,-2899000.000,-2819000.000,-3074000.000,-23227000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,-187000.000,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,206000.000,193000.000,-118000.000,-3000.000,46000.000,83000.000,-130000.000,-168000.000,-71000.000,156000.000,27000.000,820000.000
OtherComprehensiveIncomeLossNetOfTax,,,206000.000,193000.000,-118000.000,,,,,,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,-474000.000,,,,,,,,,,,,
OtherDepreciationAndAmortization,,,,,,,,,,,361000.000,,,
OtherNonoperatingIncomeExpense,221000.000,235000.000,188000.000,263000.000,124000.000,212000.000,81000.000,198000.000,374000.000,-323000.000,64000.000,111000.000,382000.000,-17000.000
PaymentsToAcquirePropertyPlantAndEquipment,,597000.000,335000.000,,480000.000,,33000.000,,,,141000.000,,,
ProceedsFromNotesPayable,,670000.000,13316000.000,,6643000.000,,6189000.000,,,,3601000.000,,,
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,,266000.000,-4197000.000,,2910000.000,,64000.000,,,,-2495000.000,,,
ProceedsFromSaleOfEquityMethodInvestments,,,,,1500000.000,,,,,,,,,
ProceedsFromSaleOfMachineryAndEquipment,,,,,,,11000.000,,,,37000.000,,,
ProceedsFromShortTermDebt,,522000.000,5558000.000,,2109000.000,,814000.000,,,,520000.000,,,
ProfitLoss,-9888000.000,-4512000.000,-3915000.000,-3346000.000,-5011000.000,-4803000.000,-4676000.000,-5477000.000,-3714000.000,-6188000.000,-3389000.000,-3377000.000,-3317000.000,-23938000.000
ProvisionForDoubtfulAccounts,,-3000.000,-6000.000,,2000.000,,6000.000,,,,417000.000,,,
