,2014-12-31,2015-12-31,2016-12-31
AdvertisingExpense,2777.000,2676.000,4912.000
AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets,28093.000,29763.000,55760.000
CashPeriodIncreaseDecrease,7352.000,-17565.000,54316.000
CostOfGoodsSold,256060.000,426980.000,484908.000
Depreciation,28093.000,29763.000,55760.000
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.000
GainLossOnDispositionOfAssets,1712.000,5622.000,5826.000
GainLossOnSaleOfPropertyPlantEquipment,-1712.000,-5622.000,-5826.000
GrossProfit,349845.000,470361.000,527383.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-30089.000,19153.000,-48846.000
IncreaseDecreaseInAccountsPayable,28232.000,63936.000,73858.000
IncreaseDecreaseInAccountsReceivable,-21536.000,-86880.000,-39191.000
IncreaseDecreaseInInventories,-1772.000,-7275.000,-3642.000
InterestExpense,3923.000,5368.000,4671.000
InterestExpenseBorrowings,3255.000,2958.000,3597.000
InterestPaid,5460.000,5368.000,4671.000
NetCashProvidedByUsedInFinancingActivities,53410.000,-10055.000,74279.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,53410.000,-10055.000,74279.000
NetCashProvidedByUsedInInvestingActivities,-30387.000,-20585.000,-52076.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-30387.000,-20585.000,-52076.000
NetCashProvidedByUsedInOperatingActivities,1216.000,13075.000,32113.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1216.000,13075.000,32113.000
NetIncomeLoss,-30089.000,19153.000,-48846.000
OperatingExpenses,377723.000,451462.000,577384.000
OperatingIncomeLoss,-27878.000,18899.000,-50001.000
OtherGeneralAndAdministrativeExpense,18604.000,64536.000,
OtherNonoperatingIncomeExpense,-2211.000,254.000,1155.000
OtherSellingGeneralAndAdministrativeExpense,136638.000,136857.000,136058.000
PaymentsForRent,,2700.000,2700.000
PaymentsToAcquireProductiveAssets,30387.000,20585.000,58424.000
ProceedsFromIssuanceOrSaleOfEquity,69100.000,,90000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,6348.000
ProfessionalFees,33757.000,39570.000,87198.000
RelatedPartyTransactionAmountsOfTransaction,-8500.000,,
RepaymentsOfLinesOfCredit,2248.000,3002.000,6877.000
RepaymentsOfLongTermCapitalLeaseObligations,19446.000,,16295.000
RepaymentsOfOtherLongTermDebt,4942.000,7053.000,8844.000
Revenues,605905.000,897341.000,1012291.000
SalariesAndWages,179235.000,245272.000,298368.000
SalesRevenueNet,605905.000,897341.000,1012291.000
StockIssuedDuringPeriodSharesNewIssues,,,900000.000
StockIssuedDuringPeriodValueNewIssues,,,90000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,11000.000,6650.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,9953587.000,10027200.000,10484113.000
