,2011-12-31,2012-12-31,2013-12-31
AdjustmentForAmortization,2500.000,5000.000,5000.000
CapitalizedComputerSoftwareAmortization,2500.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,1511338.000,-1484886.000,-26408.000
CostOfGoodsAndServicesSold,,43701.000,
CostOfGoodsSold,,,112330.000
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,128000.000
GrossProfit,,516299.000,90435.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-215015.000,103507.000,-387153.000
IncomeTaxExpenseBenefit,0.000,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,36000.000,-136000.000
IncomeTaxReconciliationOtherAdjustments,,,8000.000
IncomeTaxesPaidNet,0.000,,
IncreaseDecreaseInAccountsPayable,20353.000,40412.000,-45626.000
IncreaseDecreaseInDueToRelatedParties,,,283819.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,1511250.000,-1511250.000,
IncreaseDecreaseInInventories,,57990.000,54150.000
IncreaseDecreaseInOtherCurrentAssets,,85652.000,
IncreaseDecreaseInOtherCurrentLiabilities,,21087.000,
IncreaseDecreaseInPrepaidExpense,-2750.000,,63402.000
InterestPaid,0.000,,
NetCashProvidedByUsedInFinancingActivities,210000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,210000.000,,
NetCashProvidedByUsedInInvestingActivities,-15000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-15000.000,,
NetCashProvidedByUsedInOperatingActivities,1316338.000,-1484886.000,-26408.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1316338.000,-1484886.000,-26408.000
NetIncomeLoss,-215015.000,103507.000,-387153.000
OperatingExpenses,215015.000,412792.000,477588.000
PaymentsToDevelopSoftware,-15000.000,,
ProceedsFromIssuanceOfCommonStock,0.000,,
ProceedsFromRelatedPartyDebt,210000.000,,
ProfitLoss,-215015.000,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,180000.000,
Revenues,0.000,560000.000,202765.000
SalesRevenueNet,0.000,560000.000,202765.000
SellingGeneralAndAdministrativeExpense,212515.000,407792.000,472588.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,36000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,199500000.000,199500000.000
