,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-444000.000,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,1511000.000,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,1370000.000,,,,1050000.000,,,,300000.000,,,,300000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,121000.000,,,200000.000,,800000.000,,300000.000,300000.000,100000.000,-600000.000,100000.000,100000.000,200000.000,-300000.000,200000.000,100000.000
BusinessAcquisitionsProFormaRevenue,,,466599000000.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,8638000.000,,,,-22238000.000,,,,-112383000.000,,,,-8800000.000,,,,-38500000.000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,,,-100000.000,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.083,0.000
ComprehensiveIncomeNetOfTax,36072000.000,30814000.000,-115258000.000,-4004000.000,44394000.000,-68086000.000,32805000.000,-42600000.000,-134955000.000,14949000.000,33199000.000,45607000.000,3500000.000,3700000.000,-47500000.000,-244900000.000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,393000.000,1093000.000,3330000.000,-149000.000,-99000.000,-248000.000,-414000.000,-6302000.000,-1749000.000,0.000,0.000,-51000.000,0.000,0.000,0.000,0.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,36465000.000,31907000.000,-111928000.000,-4153000.000,44295000.000,-68334000.000,32391000.000,-48902000.000,-136704000.000,14949000.000,33199000.000,45556000.000,3500000.000,3700000.000,-47500000.000,-244900000.000,-58400000.000,28100000.000
CostOfGoodsSold,249011000.000,256016000.000,335871000.000,399150000.000,353343000.000,380312000.000,297353000.000,350433000.000,287561000.000,215608000.000,200064000.000,195867000.000,199800000.000,234400000.000,200300000.000,194800000.000,197500000.000,174600000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,-1000000.000,,,,-700000.000,
DepreciationDepletionAndAmortization,13309000.000,13592000.000,20363000.000,25408000.000,22149000.000,22103000.000,22110000.000,22914000.000,22705000.000,16681000.000,17529000.000,16985000.000,18100000.000,18300000.000,16000000.000,15100000.000,14900000.000,14800000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,293000.000,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,-98000.000,,,,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,-111546000.000,-515000.000,-61000.000,522000.000,-200000.000,-800000.000,800000.000,1900000.000,2000000.000,0.000
EarningsPerShareBasic,1.000,0.810,-2.170,1.580,0.370,-0.700,0.170,-1.060,-3.440,-0.110,0.390,0.500,0.170,0.150,0.210,-6.080,-0.360,0.280
EarningsPerShareDiluted,1.000,0.800,-2.170,1.580,0.370,-0.700,0.170,-1.060,-3.440,-0.110,0.380,0.510,0.160,0.150,0.200,-6.060,-0.360,0.270
EffectOfExchangeRateOnCashAndCashEquivalents,2601000.000,,,,2690000.000,,,,-2172000.000,,,,-100000.000,,,,-4200000.000,
EffectiveIncomeTaxRateContinuingOperations,,0.013,-0.394,,0.298,0.196,0.251,-0.688,-0.024,0.187,0.134,,0.207,0.258,0.289,-0.480,0.259,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,0.000,0.000
FairValueLevel1ToLevel2TransfersAmount,,,,,0.000,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityTransfersNet,,,,,,,,,,,,,,,,,0.000,
ForeignCurrencyTransactionGainLossBeforeTax,475000.000,-636000.000,7425000.000,3300000.000,-5021000.000,5861000.000,-2724000.000,877000.000,-2344000.000,2838000.000,4583000.000,2923000.000,-300000.000,-900000.000,-3700000.000,-1600000.000,-4400000.000,300000.000
GainLossOnCashFlowHedgeIneffectivenessNet,,,,,,,,,,,,,0.000,,,,0.000,
GainLossOnDispositionOfAssets,,,,,,,0.000,,,,,,,,,,,
GainLossOnSaleOfProperty,,,,,2900000.000,,,,,,,,,,,,,
GrossProfit,82038000.000,73506000.000,16742000.000,102201000.000,112836000.000,56155000.000,97379000.000,-10020000.000,76693000.000,63780000.000,65868000.000,52059000.000,61900000.000,63100000.000,62600000.000,50600000.000,50300000.000,53800000.000
IncomeLossFromContinuingOperations,30892000.000,24709000.000,-68488000.000,50848000.000,12085000.000,-22513000.000,5656000.000,-33843000.000,-109640000.000,8068000.000,12432000.000,17440000.000,5300000.000,5100000.000,6300000.000,-189000000.000,-11100000.000,8400000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-3530000.000,2595000.000,,-1067000.000,-2249000.000,-10694000.000,-808000.000,-4674000.000,189000.000,-6040000.000,-3075000.000,-2700000.000,600000.000,-2100000.000,-4800000.000,-8800000.000,-7000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,29661000.000,-49328000.000,,18131000.000,-26052000.000,17691000.000,-43401000.000,-104134000.000,9735000.000,20397000.000,24802000.000,9400000.000,6300000.000,11000000.000,-190500000.000,-6200000.000,200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,37028000.000,26131000.000,-46733000.000,8408000.000,17064000.000,-28301000.000,6997000.000,-44209000.000,-108808000.000,9924000.000,14357000.000,21727000.000,6700000.000,6900000.000,8900000.000,-195300000.000,-15000000.000,-6800000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,31282000.000,25801000.000,-65154000.000,50701000.000,11984000.000,-22757000.000,5241000.000,-40146000.000,-111389000.000,8068000.000,12432000.000,17389000.000,5300000.000,5100000.000,6300000.000,-189000000.000,,
IncomeLossFromContinuingOperationsPerBasicShare,1.010,0.810,-2.180,1.580,0.380,-0.710,0.180,-1.060,-3.430,0.260,0.400,0.500,0.170,0.160,0.200,-6.070,-0.370,0.280
IncomeLossFromContinuingOperationsPerDilutedShare,1.010,0.800,-2.180,1.580,0.380,-0.710,0.180,-1.060,-3.430,0.260,0.390,0.510,0.160,0.160,0.200,-6.060,-0.370,0.270
IncomeLossFromDiscontinuedOperationsNetOfTax,-240000.000,-89000.000,234000.000,36000.000,-136000.000,174000.000,-148000.000,-156000.000,-73000.000,-11394000.000,-256000.000,-577000.000,-100000.000,-300000.000,100000.000,0.000,100000.000,-100000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-240000.000,-89000.000,234000.000,36000.000,-136000.000,174000.000,-148000.000,-156000.000,-73000.000,-11394000.000,-256000.000,-577000.000,-100000.000,-300000.000,100000.000,0.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.010,,0.010,,-0.010,0.010,-0.010,0.000,-0.010,-0.370,-0.010,-0.000,0.000,-0.010,0.010,-0.010,0.010,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.010,,0.010,,-0.010,0.010,-0.010,0.000,-0.010,-0.370,-0.010,-0.000,0.000,-0.010,0.000,0.000,0.010,0.000
IncomeTaxExpenseBenefit,5746000.000,330000.000,18421000.000,-42293000.000,5080000.000,-5544000.000,1756000.000,-4063000.000,2581000.000,1856000.000,1925000.000,4338000.000,1400000.000,1800000.000,2600000.000,-6300000.000,-3900000.000,-15200000.000
IncreaseDecreaseInAccountsPayable,7276000.000,,,,-38936000.000,,,,-13589000.000,,,,-20800000.000,,,,9200000.000,
IncreaseDecreaseInAccountsReceivable,21468000.000,,,,27481000.000,,,,19055000.000,,,,800000.000,,,,27500000.000,
IncreaseDecreaseInAccruedTaxesPayable,,,,,,,,,,,,,-900000.000,,,,,
IncreaseDecreaseInInventories,5391000.000,,,,-9672000.000,,,,2200000.000,,,,4000000.000,,,,3900000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,12887000.000,,,,4668000.000,,,,19935000.000,,,,3100000.000,,,,800000.000,
