,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetRetirementObligationAccretionExpense,,100000.000,,,,100000.000,,,,100000.000,,,,100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-11500000.000,,,,5400000.000,,,,2500000.000,,,,-8300000.000
ComprehensiveIncomeNetOfTax,500000.000,,,10800000.000,,,,,,,11200000.000,10400000.000,,9700000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,9500000.000,11200000.000,10600000.000,11500000.000,14000000.000,12700000.000,13000000.000,12700000.000,14600000.000,10500000.000,12100000.000,11400000.000,11300000.000,10400000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,13900000.000,21400000.000,20700000.000,22300000.000,27300000.000,24500000.000,24900000.000,24600000.000,28800000.000,20000000.000,23300000.000,21800000.000,22100000.000,20100000.000
CostOfRevenue,79400000.000,84000000.000,79900000.000,76300000.000,107500000.000,82400000.000,85600000.000,79200000.000,108900000.000,80200000.000,81700000.000,83900000.000,115900000.000,91400000.000
CostsAndExpenses,88500000.000,93600000.000,90800000.000,87600000.000,,92900000.000,96100000.000,89400000.000,,92200000.000,94100000.000,97000000.000,,103200000.000
DeferredIncomeTaxExpenseBenefit,,0.000,,,,,,,,,,,,
DepreciationDepletionAndAmortization,5900000.000,5400000.000,,,,5700000.000,,,,6300000.000,,,,6800000.000
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,,,,,0.538,0.544,0.551,0.558,,0.567,0.567,,0.567
DistributionsPerGeneralPartnershipUnitOutstanding,,0.500,0.500,0.525,,,,,,0.564,,,,0.567
EmployeeBenefitsAndShareBasedCompensation,,,,,,100000.000,,,,0.000,,,,
GainLossOnDispositionOfAssets,,,,-1000000.000,,,,0.000,,,,-200000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,16000000.000,21600000.000,21100000.000,21600000.000,27600000.000,,,,,,,,,
IncomeTaxExpenseBenefit,2100000.000,0.000,0.000,0.000,0.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableTrade,,-3900000.000,,,,2900000.000,,,,-300000.000,,,,1800000.000
IncreaseDecreaseInAccountsReceivable,,-1600000.000,,,,-4100000.000,,,,400000.000,,,,100000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,,,,,,,,,,,,,17200000.000
IncreaseDecreaseInDueFromAffiliatesCurrent,,10700000.000,,,,-100000.000,,,,-3800000.000,,,,
IncreaseDecreaseInInventories,,600000.000,,,,6000000.000,,,,2100000.000,,,,300000.000
IncreaseDecreaseInOtherCurrentAssets,,-700000.000,,,,-400000.000,,,,-1000000.000,,,,-300000.000
InterestExpense,1100000.000,1200000.000,1300000.000,1400000.000,1300000.000,900000.000,1100000.000,1000000.000,1000000.000,900000.000,900000.000,900000.000,900000.000,900000.000
InvestmentIncomeNonoperating,0.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,-23100000.000,,,,-21500000.000,,,,-29900000.000,,,,-13100000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-23100000.000,,,,-21500000.000,,,,-29900000.000,,,,-13100000.000
NetCashProvidedByUsedInInvestingActivities,,-2700000.000,,,,-7800000.000,,,,-4400000.000,,,,-6000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-2700000.000,,,,-7800000.000,,,,-4400000.000,,,,-6000000.000
NetCashProvidedByUsedInOperatingActivities,,14300000.000,,,,34700000.000,,,,36800000.000,,,,10800000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,14300000.000,,,,34700000.000,,,,36800000.000,,,,10800000.000
NetIncomeLoss,4400000.000,10300000.000,10300000.000,10400000.000,,,11700000.000,13100000.000,,,,,,
NetIncomeLossAllocatedToGeneralPartners,0.000,200000.000,200000.000,200000.000,200000.000,200000.000,300000.000,300000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000
NetIncomeLossAllocatedToLimitedPartners,500000.000,10100000.000,10100000.000,10200000.000,13300000.000,12600000.000,11400000.000,12800000.000,13700000.000,9900000.000,10200000.000,10900000.000,9600000.000,10700000.000
NetIncomeLossAttributableToNoncontrollingInterest,9500000.000,11300000.000,10800000.000,11200000.000,14100000.000,13700000.000,12800000.000,13800000.000,14400000.000,11000000.000,11400000.000,12000000.000,10500000.000,11500000.000
NetIncomeLossAvailableToCommonStockholdersBasic,500000.000,,,10400000.000,,12800000.000,11700000.000,13100000.000,,10100000.000,10400000.000,11100000.000,9800000.000,10900000.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,,,,,,,,0.540
NonoperatingIncomeExpense,-1100000.000,-1000000.000,-1100000.000,-600000.000,-1400000.000,-1000000.000,-1600000.000,-1000000.000,-300000.000,-1100000.000,-800000.000,-900000.000,-800000.000,-1000000.000
OperatingIncomeLoss,17100000.000,22600000.000,22200000.000,22200000.000,29000000.000,27500000.000,26100000.000,27900000.000,28600000.000,22200000.000,22600000.000,24000000.000,21100000.000,23400000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,-1300000.000,,,,-900000.000,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,0.000,-200000.000,-400000.000,700000.000,-300000.000,-2000000.000,400000.000,-2300000.000,500000.000,-1100000.000,1500000.000,-1300000.000,1800000.000,-2300000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,-1000000.000,,,,-600000.000,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,,-200000.000,,,,-2000000.000,,,,-1100000.000,,,,-2300000.000
OtherNoncashIncomeExpense,,,,,,-200000.000,,,,-200000.000,,,,-100000.000
OtherNonoperatingIncomeExpense,0.000,200000.000,200000.000,800000.000,-100000.000,-100000.000,-500000.000,0.000,700000.000,-200000.000,100000.000,0.000,100000.000,-100000.000
PartnersCapitalAccountDistributions,,23100000.000,,,,21500000.000,,,,23400000.000,,,,23600000.000
PaymentsForProceedsFromProductiveAssets,,2700000.000,,,,7800000.000,,,,4400000.000,,,,6000000.000
ProceedsFromLinesOfCredit,,,,,,,,,,,,,,20000000.000
ProfitLoss,13900000.000,21600000.000,21100000.000,21600000.000,27600000.000,26500000.000,24500000.000,26900000.000,28300000.000,21100000.000,21800000.000,23100000.000,20300000.000,22400000.000
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,,,,300000.000,100000.000,100000.000,200000.000,300000.000,300000.000,200000.000,200000.000,200000.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,3100000.000,,,,,,,,,,,,,4000000.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,3300000.000,3800000.000,3200000.000,6700000.000,4000000.000,3900000.000,3200000.000,4600000.000,4600000.000,4600000.000,5000000.000,4500000.000,4000000.000
RepaymentsOfLongTermDebt,,0.000,,,,,,,,6500000.000,,,,9500000.000
RevenueMineralSales,105600000.000,116200000.000,113000000.000,109800000.000,126000000.000,120400000.000,122200000.000,117300000.000,126500000.000,114400000.000,116700000.000,121000000.000,123100000.000,126600000.000
SellingAndMarketingExpense,,,,,,,,,,,,,,1100000.000
SellingGeneralAndAdministrativeExpense,3200000.000,4200000.000,5100000.000,5000000.000,-11000000.000,4900000.000,4700000.000,4500000.000,-9800000.000,5800000.000,6000000.000,6300000.000,-13500000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,,,6450.000,7255.000,,7941.000,,,,0.000,,,,
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,,,,,,,,,,,,,,19700000.000
