,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
FloorBrokerageExchangeAndClearanceFees,195940.000,182410.000,160611.000,151070.000,145995.000,134150.000,126787.000,119812.000,113106.000,99479.000,87301.000,58655.000
ForeignCurrencyTransactionGainLossUnrealized,,,,-3158.000,11718.000,,-43092.000,-3157.000,63041.000,-3624.000,661.000,1078.000
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,-105689.000,334750.000,,,,,,,
InvestmentIncomeInterest,980.000,692.000,1842.000,2121.000,2836.000,3077.000,2249.000,942.000,656.000,1633.000,614.000,281.000
NetIncomeLoss,-791911.000,283582.000,-96250.000,-303205.000,144391.000,-395862.000,5601.000,316589.000,-823676.000,-5657.000,-619989.000,178507.000
NetIncomeLossAllocatedToGeneralPartners,-8984.000,3165.000,-1306.000,-4143.000,1919.000,-5739.000,-56.000,5239.000,-14466.000,-78.000,-12587.000,4205.000
NetIncomeLossAllocatedToLimitedPartners,-782927.000,280417.000,-94944.000,-299062.000,142472.000,-390123.000,5657.000,311350.000,-809210.000,-5579.000,-607402.000,174302.000
NetIncomeLossPerOutstandingGeneralPartnershipUnit,-0.740,0.260,-0.110,-0.340,0.150,-0.470,0.000,0.430,-1.190,-0.010,-1.030,
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,,,,,,,,,,,,0.340
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-0.740,0.260,-0.110,-0.340,0.150,-0.470,0.000,0.430,-1.190,-0.010,-1.030,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,0.340
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,-105689.000,334750.000,,170380.000,471219.000,-680506.000,119222.000,-509579.000,257247.000
NoninterestExpenseInvestmentAdvisoryFees,63009.000,58697.000,51896.000,48567.000,47200.000,43164.000,40241.000,35760.000,30720.000,27033.000,23723.000,20366.000
OperatingExpenses,258949.000,241107.000,212507.000,199637.000,193195.000,177314.000,167028.000,155572.000,143826.000,126512.000,111024.000,79021.000
PartnersCapitalAccountRedemptions,,,-601617.000,,,,620795.000,,,,843572.000,
PartnersCapitalAccountUnitsRedeemed,,,-40491.809,,,,43502.069,,,,67518.083,
ProceedsFromLegalSettlements,,0.000,,,,,,,,,,
RealizedInvestmentGainsLosses,-485948.000,274656.000,299169.000,,,,65065.000,467378.000,-386373.000,-275356.000,-324133.000,212305.000
Revenues,,523997.000,,,,,,,,,,
SalesRevenueNet,,249341.000,,,,,,,,,,
TradingGainsLosses,,,,,,,,,,,,257247.000
TradingSecuritiesRealizedGainLoss,,,,-109564.000,383271.000,,65065.000,467378.000,-386373.000,-275356.000,-324133.000,212305.000
TradingSecuritiesUnrealizedHoldingGainLoss,,,,3875.000,-48521.000,,105315.000,3841.000,-294133.000,394578.000,-185446.000,44942.000
UnrealizedGainLossOnInvestments,-47994.000,249341.000,-184754.000,,,,105315.000,3841.000,-294133.000,394578.000,-185446.000,44942.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,1083283.727,1033292.482,938263.246,896674.555,862998.961,-1818818.492,773403.902,732068.589,694325.677,-1487112.609,593902.619,531544.539
