,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayable,183000.000,156000.000,197000.000,129000.000,109000.000,19000.000,50000.000
AccountsReceivableNet,337000.000,283000.000,120000.000,112000.000,88000.000,56000.000,44000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,63000.000,
Assets,32013000.000,30650000.000,29112000.000,20814000.000,19105000.000,15286000.000,14391000.000
AssetsHeldForSaleAtCarryingValue,,,0.000,0.000,0.000,0.000,
BuildingsAndImprovementsGross,86856000.000,87335000.000,65245000.000,65276000.000,54522000.000,54699000.000,54821000.000
CashEquivalentsAtCarryingValue,281000.000,453000.000,7617000.000,388000.000,3087000.000,311000.000,338000.000
DeferredFinanceCostsGross,,,,,,390000.000,
DueToAffiliate,6174000.000,6715000.000,0.000,0.000,0.000,166000.000,0.000
GeneralPartnersCapitalAccount,-10634000.000,-10789000.000,-8136000.000,-8372000.000,-7671000.000,-7828000.000,-7904000.000
Land,5565000.000,5565000.000,3425000.000,3425000.000,2838000.000,2838000.000,2838000.000
Liabilities,60803000.000,60756000.000,38289000.000,38042000.000,31327000.000,30935000.000,30688000.000
LiabilitiesAndPartnersCapital,32013000.000,30650000.000,29112000.000,20814000.000,19105000.000,15286000.000,14391000.000
LiabilitiesOfAssetsHeldForSale,,,0.000,0.000,0.000,0.000,
LimitedPartnersCapitalAccount,-18156000.000,-19317000.000,-1041000.000,,-4551000.000,-7821000.000,-8393000.000
LimitedPartnersOfferingCosts,,,,-8856000.000,,,
LongTermDebt,,,,,,30183000.000,
LongTermDebtComponentsMortgageLoans,53034000.000,52810000.000,37223000.000,37093000.000,30291000.000,30183000.000,30073000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,27674000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,448000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,,559000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,529000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,500000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,473000.000,
MortgageLoansOnRealEstate,,,,,,30183000.000,
OtherAssets,774000.000,758000.000,843000.000,781000.000,441000.000,446000.000,499000.000
OtherLiabilities,637000.000,707000.000,578000.000,401000.000,537000.000,442000.000,316000.000
PartnersCapital,-28790000.000,-30106000.000,-9177000.000,-17228000.000,-12222000.000,-15649000.000,-16297000.000
RealEstateAccumulatedDepreciation,-61800000.000,-63744000.000,-48138000.000,-49168000.000,-41871000.000,-43064000.000,44149000.000
RealEstateInvestmentPropertyAtCost,92421000.000,92900000.000,68670000.000,68701000.000,57360000.000,57537000.000,57659000.000
RealEstateInvestmentPropertyNet,30621000.000,29156000.000,20532000.000,19533000.000,15489000.000,14473000.000,13510000.000
SecurityDepositLiability,262000.000,265000.000,165000.000,167000.000,123000.000,125000.000,122000.000
TaxesPayable,513000.000,103000.000,126000.000,252000.000,267000.000,,127000.000
