,2011-06-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,,,3000.000,1000.000,,1000.000,1000.000,4000.000,18000.000,,1000.000,1000.000,,1000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,445000.000,495000.000,356668.000,,,0.000,0.000,,,974570.000,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,145000.000,,,,,,,,,,,,,,,,
CapitalLeaseObligationsIncurred,,,,45000.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-867000.000,,-2119000.000,,,,-277000.000,,,,-395000.000,,,,-69000.000,,,,1952000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,-277000.000,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,-1175000.000,-1005000.000,-1643000.000,-1748000.000,2893000.000,-539000.000,-340000.000,-93000.000,-261000.000,-296000.000,,,,,,,,,
CostOfGoodsAndServicesSold,2959000.000,2442000.000,2085000.000,,2273000.000,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,2000.000,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,259000.000,,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,150000.000,3434000.000,,,250000.000,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-1135000.000,150000.000,3039000.000,-1460000.000,,250000.000,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,690000.000,-1140000.000,150000.000,3039000.000,-1469000.000,,250000.000,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,0.000,0.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,563000.000,1705000.000,0.000,439000.000,2273000.000,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,1306000.000,1678000.000,0.000,112000.000,1357000.000,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,5000.000,,0.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,616000.000,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,690000.000,,,3039000.000,,,250000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,1869000.000,3383000.000,0.000,551000.000,3630000.000,,,,,,,,,,,,,
EarningsPerShareBasic,-0.030,-0.060,-0.050,-0.080,-0.080,0.120,-0.020,-0.020,0.000,-0.010,-0.020,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,-0.010,-0.010,-0.010,-0.030,-0.010,-0.010,-0.010,-0.110,-0.060
EarningsPerShareDiluted,-0.030,-0.060,-0.050,-0.080,-0.080,0.120,-0.020,-0.020,0.000,-0.010,-0.020,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,22000.000,,-49000.000,,,,,,,,,,,,,,,,
GrossProfit,4111000.000,3195000.000,1910000.000,,1357000.000,,,0.000,,,,,,,,,,,,
IncomeLossFromContinuingOperations,,-1197000.000,-1720000.000,-454000.000,-1899000.000,-428000.000,930000.000,-340000.000,-343000.000,-261000.000,-296000.000,,-291000.000,-268000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-650000.000,-1197000.000,-1720000.000,-454000.000,-1885000.000,-428000.000,916000.000,-340000.000,-343000.000,-261000.000,-296000.000,-251000.000,-291000.000,-268000.000,-406000.000,-161000.000,-174000.000,-266000.000,-2430000.000,-1233000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,,,-0.010,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,-0.060,-0.080,-0.020,-0.090,-0.020,0.040,-0.020,-0.020,-0.010,-0.010,,-0.010,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,-0.060,-0.080,-0.020,-0.090,-0.020,0.040,-0.020,-0.020,-0.010,-0.010,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,1140000.000,150000.000,3039000.000,-3749000.000,,250000.000,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,,,0.000,0.000,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.000,0.030,-0.060,0.010,0.140,-0.060,0.000,0.010,0.000,0.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.000,0.030,-0.060,0.010,0.140,-0.060,0.000,0.010,0.000,0.000,,,,,,,,,
IncomeTaxExpenseBenefit,7000.000,,,,14000.000,,,0.000,,,,,,,,,,,,
IncomeTaxesPaidNet,,14000.000,,27000.000,,,,10000.000,,,,5000.000,,,,4000.000,,,,4000.000
IncreaseDecreaseInAccountsPayable,,25000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,370000.000,,468000.000,,,,118000.000,,,,-77000.000,,,,-16000.000,,,,234000.000
IncreaseDecreaseInDeferredRevenue,,334000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,112000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,541000.000,,439000.000,,,,55000.000,,,,68000.000,,,,25000.000,,,,53000.000
IncreaseDecreaseInOtherNoncurrentAssets,,23000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInReceivables,,-445000.000,,,,,,,,,,,,,,,,,,
InterestExpense,8000.000,,,,,,,,,,,,,,,,,,,
