,2011-08-31,2011-11-30,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-11-30
AmortizationOfLeasedAsset,,,7017.000,,,,1954.000,
ComprehensiveIncomeNetOfTax,,,,,,,,-496942.000
CostOfGoodsSold,167303.000,248857.000,323602.000,,334178.000,,712484.000,499884.000
EarningsPerShareBasicAndDiluted,,,,,,,,-0.010
ExplorationExpenseMining,,,,,,,,62431.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,-2553.000
ForeignCurrencyTransactionGainLossUnrealized,,,-26331.000,,,,2971.000,
GainLossOnDispositionOfAssets,,0.000,,,,,,0.000
GainLossOnNonRecourseDebt,,,50616.000,,,,,
GainLossOnSaleOfOtherAssets,,,,,,,,0.000
GainLossRelatedToLitigationSettlement,210000.000,712494.000,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,43872.000
GainsLossesOnSalesOfAssets,,0.000,32143.000,-452.000,,,,
GeneralAndAdministrativeExpense,898186.000,689745.000,825715.000,854579.000,696795.000,1136389.000,1102809.000,1029312.000
GrossProfit,299600.000,438354.000,729752.000,,,,,529822.000
ImpairmentOfRealEstate,,,,,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,505554.000,,,,271292.000,
IncreaseDecreaseInInventories,,,64202.000,,,,,
IncreaseDecreaseInPrepaidExpense,,,19164.000,,,,2035.000,
InterestAndOtherIncome,,,,,,,-6656.000,
InterestExpense,-22363.000,1571.000,,,,,,
InterestExpenseOther,,,,-821.000,-1732.000,,,
InterestIncomeExpenseNet,,,,,,,,-360.000
MineralExtractionProcessingAndMarketingCosts,,,,364935.000,316528.000,,287975.000,
NetCashProvidedByUsedInFinancingActivities,,,38597.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,38597.000,,,,,
NetCashProvidedByUsedInInvestingActivities,,,49650.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,49650.000,,,,,
NetIncomeLoss,,,-701746.000,,,,-224382.000,-502434.000
OperatingIncomeLoss,-696667.000,-1111796.000,-900903.000,-12774.000,-559478.000,-1171084.000,-344582.000,-651921.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,5492.000
OtherIncome,7883.000,61307.000,242056.000,26916.000,150123.000,102586.000,181198.000,108528.000
RepaymentsOfConstructionLoansPayable,,,-6403.000,,,,-7310.000,
Revenues,,,,,,,,1138234.000
SalesRevenueNet,,,,,,,,1029706.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,100340026.000
