,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30
AdjustmentForAmortization,1097000.000,,,,962000.000,,,,1567000.000,,,823000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,184000.000,,,,175000.000,,,,240000.000,,,175000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,20000.000,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,177000.000,347000.000,263000.000,227000.000,243000.000,360000.000,245000.000,179000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,109000.000,,,,,,,
AmortizationOfIntangibleAssets,,,,,660000.000,659000.000,659000.000,659000.000,659000.000,659000.000,648000.000,469000.000
CapitalLeasesIncomeStatementAmortizationExpense,,,,,154000.000,153000.000,154000.000,153000.000,119000.000,153000.000,153000.000,153000.000
CapitalLeasesIncomeStatementInterestExpense,,,,,,339000.000,338000.000,,336000.000,335000.000,334000.000,332000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,171000.000,,,,-4431000.000,,,,-432000.000,,,30800000.000
ComprehensiveIncomeNetOfTax,,,,,-137000.000,,,,,,,
CostOfGoodsSold,89501000.000,92969000.000,95824000.000,94086000.000,95292000.000,94630000.000,90304000.000,88998000.000,89520000.000,89657000.000,89725000.000,58446000.000
DeferredIncomeTaxExpenseBenefit,,,,,-114000.000,,,,,,,3169000.000
Depreciation,1461000.000,,,,1299000.000,,,,1213000.000,,,492000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,18873000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,1239000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,,,,,,,,,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,,,,,,,,0.730
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,,8155000.000
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,,,,,,,,,20242000.000
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,,2567000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,24048000.000
EarningsPerShareBasic,0.020,0.040,0.110,-0.160,-0.010,0.000,-3.390,0.050,0.020,0.070,0.120,0.730
EarningsPerShareDiluted,0.020,0.040,0.110,-0.160,-0.010,0.000,-3.390,0.050,0.020,0.070,0.120,0.730
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.275,,,,,
EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,,,,,0.386,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,70000.000,,,,,,,,,,,
ExtraordinaryItemNetOfTax,,440000.000,,,,,,,,,,
GainLossOnSaleOfBusiness,,,,,,,,,,,,11220000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,116000.000,,,
GoodwillImpairmentLoss,,,,,,,78609000.000,,,,,
GrossProfit,16972000.000,16686000.000,17145000.000,14138000.000,16945000.000,17470000.000,19095000.000,18859000.000,17721000.000,18606000.000,20242000.000,13487000.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,263000.000,114000.000,1825000.000,-2476000.000,,65000.000,-55503000.000,,,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,0.020,0.010,0.110,-0.160,,0.000,-3.390,,,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,0.020,0.010,0.110,-0.160,,0.000,-3.390,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,,,,-11000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,427000.000,201000.000,2644000.000,-2274000.000,-223000.000,106000.000,-76556000.000,2218000.000,453000.000,1733000.000,3019000.000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,-11000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,,0.000
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,0.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,11957000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,11957000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,,,0.730
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,,,0.730
