,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AmortizationOfDebtDiscountPremium,,,32944.000,,,,38414.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,2992918.000,2531018.000,,3601018.000,4251018.000,7749681.000
AssetImpairmentCharges,,,,4756898.000,,,,450000.000,450000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,5588.000,,,,-2382.000,,
CapitalizedComputerSoftwareAmortization,,,,,8500.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-105921.000,,,,-8289.000,,
ComprehensiveIncomeNetOfTax,,,-1248786.000,-4901908.000,-1396877.000,-2486028.000,-803930.000,-1114753.000,-497941.000
ContractRevenueCost,,,,1123430.000,,,,,
ContractsRevenue,4555245.000,2899131.000,743671.000,1734860.000,,,,,
CostOfGoodsSoldSubscription,,,,168935.000,177273.000,,116882.000,96018.000,134772.000
CostsAndExpenses,,,,7280666.000,1041979.000,,697865.000,1041764.000,672299.000
DeferredIncomeTaxExpenseBenefit,,,1159.000,,,,,,
DepreciationAndAmortization,339097.000,296686.000,291041.000,258661.000,246908.000,218952.000,69084.000,66722.000,63414.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,-71030.000,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,-597244.000,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,4390.000,,,,
DiscontinuedOperationTaxExpenseBenefitFromProvisionForGainLossOnDisposal,,,,-2717.000,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,332660.000,-677422.000,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,516756.000,269870.000,,,,
EarningsPerShareBasicAndDiluted,-0.070,-0.040,-0.090,-0.320,-0.090,-0.150,-0.050,-0.070,-0.030
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,-4998.000,,,,,,
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,,,,,23000.000,,
EntityWideRevenueMajorCustomerPercentage,,,,0.920,,,,,
EquityMethodInvestmentOtherThanTemporaryImpairment,,,,,,,70000.000,,
GainLossOnInvestments,,,12803.000,34827.000,,,232123.000,,
GainLossOnSaleOfBusiness,,,,,87539.000,,,,
GeneralAndAdministrativeExpense,523624.000,507499.000,477625.000,469632.000,250448.000,-67759.000,184423.000,181347.000,180749.000
ImpairmentOfIntangibleAssetsFinitelived,,,,1370000.000,,,,,
