,2011-09-30
ComprehensiveIncomeNetOfTax,1419250.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,14898.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1434148.000
CostOfGoodsSold,8693366.000
EarningsPerShareBasicAndDiluted,0.040
GeneralAndAdministrativeExpense,648200.000
GrossProfit,2262109.000
IncomeLossFromContinuingOperations,1097930.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1519328.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1117512.000
IncomeTaxExpenseBenefit,401816.000
InterestExpense,752579.000
InvestmentIncomeInterest,1027060.000
NetIncomeLoss,1105967.000
NetIncomeLossAttributableToNoncontrollingInterest,11545.000
NonoperatingIncomeExpense,421398.000
OperatingExpenses,1164179.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,316636.000
OtherNonoperatingIncomeExpense,-3754.000
SalesRevenueGoodsNet,10955475.000
SellingExpense,515979.000
