,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AmortizationOfDebtDiscountPremium,,,,,2150.000,,,,21665.000,,,,,,,
AntidilutiveSharesOutstanding,,,,,,7437500.000,26960784.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,7502.000,,,,,,,,21760.000,,,,7770.000,,,
CashPeriodIncreaseDecrease,,,,,-157451.000,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,-7256.000,-36421.000,-44260.000,-7939.000,-38787.000,-118565.000,-295913.000,127355.000,-15.000,-39884.000,-27730.000,-45150.000,-42449.000,-37223.000,-33294.000,50852.000
CostOfGoodsAndServicesSold,11400.000,14229.000,17018.000,133669.000,2223.000,71652.000,8101.000,36394.000,,,,,,,,
CostOfRevenue,,,,,,,,,11639.000,695.000,952.000,57125.000,,,42.000,
EarningsPerShareBasicAndDiluted,-0.000,,-0.000,,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-312.000,,,,-368.000,,,,-330.000,,,,207.000,,,
GeneralAndAdministrativeExpense,17967.000,27446.000,26205.000,88846.000,32777.000,30256.000,72069.000,76645.000,21566.000,31145.000,17902.000,31349.000,31422.000,22884.000,18556.000,17562.000
GrossProfit,6154.000,1457.000,-1761.000,96088.000,12108.000,33617.000,-1906.000,99546.000,36771.000,7096.000,4586.000,57208.000,3766.000,,710.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,,,-42656.000,-37884.000,-32846.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-1383.000,,,,-157473.000,,,,-7908.000,,,,14609.000,,,
IncreaseDecreaseInAccountsReceivable,,,,,-212.000,,,,-60.000,,,,-3767.000,,,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,,-42871.000,,,
IncreaseDecreaseInDerivativeLiabilities,,,,,,,,,-22164.000,,,,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,15000.000,,,,-15000.000,,,,-8408.000,,,,-15000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-829.000,,,,,,,,,,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,-61.000,,,,,,
InterestIncomeExpenseNonoperatingNet,,,,,2750.000,23113.000,30954.000,-134734.000,22054.000,,,,,,,
InterestPaid,,,,,,,,,1807.000,,,,,,,
LossOnDerivativeInstrumentsPretax,,,,,,-85588.000,-176245.000,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,21447.000,,,,19919.000,,,,16485.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,21447.000,,,,19919.000,,,,16485.000,,,
NetCashProvidedByUsedInOperatingActivities,7502.000,,,,-178530.000,,,,2171.000,,,,-8922.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,7502.000,,,,-178530.000,,,,2171.000,,,,-8922.000,,,
NetIncomeLoss,-6944.000,-31025.000,-42966.000,-7945.000,-38419.000,-120340.000,-296174.000,127645.000,315.000,-38988.000,-28316.000,10859.000,-42656.000,-37884.000,-32846.000,50794.000
OperatingExpenses,33098.000,42446.000,41205.000,103846.000,47777.000,45256.000,87069.000,91645.000,36566.000,46145.000,32902.000,46349.000,46422.000,37884.000,33556.000,32562.000
OperatingIncomeLoss,-26944.000,-40989.000,-42966.000,-7758.000,-35669.000,-11639.000,-88975.000,7901.000,205.000,-39049.000,-28316.000,10859.000,-42656.000,-37884.000,-32846.000,50794.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-312.000,-5396.000,-1294.000,6.000,-368.000,1775.000,261.000,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,-330.000,-896.000,586.000,,207.000,661.000,-448.000,
OtherNonoperatingIncomeExpense,,,,,2750.000,108701.000,207199.000,-119744.000,-110.000,-61.000,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,50000.000,,,,,,,
ProceedsFromNotesPayable,,,,,25000.000,,,,30000.000,,,,,,,
ProceedsFromRepaymentsOfNotesPayable,,,,,25000.000,,,,,,,,,,,
