,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,127548.000,143404.000,77814.000,54278.000,58620.000,52824.000,43259.000,44749.000,58450.000,35450.000,23450.000,3071222.000,30220.000,,
AccountsPayableCurrent,,,,,,,,,,,,,3629151.000,,
AccountsReceivableGrossCurrent,204252.000,0.000,0.000,2309.000,6122.000,,,,606970.000,,,3725216.000,3929744.000,,
AccountsReceivableNetCurrent,,,,,,,,,,,,3632086.000,3831500.000,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,1221729.000,1229455.000,0.000,33381.000,33475.000,33659.000,,,,,,,,,
AccruedIncomeTaxesCurrent,859315.000,1427693.000,705088.000,721883.000,214948.000,256578.000,177202.000,175013.000,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,,,,,54000.000,79874.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,3040.000,6078.000,0.000,,,,,,,570073.000,593203.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,32231.000,28349.000,36774.000,29941.000,-343198.000,-334864.000,-320900.000,-319120.000,-401572.000,-417131.000,-402380.000,-467941.000,-634598.000,8970.000,8970.000
AdditionalPaidInCapitalCommonStock,1684019.000,4366114.000,4764355.000,4764355.000,4820347.000,5360347.000,5360347.000,5372347.000,5835805.000,5835805.000,5838764.000,7593829.000,8123754.000,5878765.000,5693999.000
AdvancesToAffiliate,,,,,,,,,,,,2536490.000,2929594.000,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,98244.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,0.000,0.000,0.000,0.000,,,,,,93130.000,98244.000,,
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,,,,,,,800000.000,800000.000
