,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
CashPeriodIncreaseDecrease,,,-3045000.000,,,,-1220000.000,,,,-1155000.000,,,,-110000.000,
ComprehensiveIncomeNetOfTax,,,-1067000.000,289000.000,694000.000,-1513000.000,-1200000.000,777000.000,691000.000,-1582000.000,-1083000.000,1084000.000,174000.000,-1467000.000,-1053000.000,1155000.000
CostOfGoodsAndServicesSold,,25880000.000,,,,,,,,,,,,,,
CostOfGoodsSold,,,20839000.000,28506000.000,28796000.000,18078000.000,21195000.000,28427000.000,27002000.000,17172000.000,20640000.000,29827000.000,28211000.000,19008000.000,23626000.000,35237000.000
CostOfRevenue,26916000.000,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,-206000.000,,,,-456000.000,,,,,,,,-159000.000,
DepreciationAndAmortization,,,163000.000,,,,143000.000,,,,164000.000,,,,170000.000,
EarningsPerShareBasic,0.220,0.130,,0.110,0.070,,,0.230,0.100,,,0.160,0.120,,,0.210
EarningsPerShareBasicAndDiluted,,,-0.300,,,,-0.200,,,,-0.150,,,,-0.100,
EarningsPerShareDiluted,0.210,0.130,,0.110,0.070,,,0.230,0.100,,,0.160,0.120,,,0.210
EffectOfExchangeRateOnCashAndCashEquivalents,,,266000.000,,,,-289000.000,,,,-333000.000,,,,-692000.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,,,6000.000,
GainLossOnSaleOfPropertyPlantEquipment,,,13000.000,,,,1000.000,,,,-1000.000,,,,-3000.000,
GrossProfit,6302000.000,5706000.000,3409000.000,5609000.000,5688000.000,2596000.000,4202000.000,7138000.000,6099000.000,2703000.000,4215000.000,6970000.000,6610000.000,3318000.000,4866000.000,8385000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-1710000.000,653000.000,398000.000,-1936000.000,-1358000.000,1816000.000,908000.000,-1860000.000,-1126000.000,1337000.000,981000.000,-1667000.000,-741000.000,1735000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1469000.000,914000.000,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,489000.000,302000.000,-365000.000,149000.000,91000.000,-456000.000,-419000.000,719000.000,421000.000,-578000.000,-388000.000,550000.000,399000.000,-513000.000,-266000.000,672000.000
IncreaseDecreaseInAccountsPayable,,,3361000.000,,,,1531000.000,,,,4119000.000,,,,5184000.000,
IncreaseDecreaseInAccountsReceivable,,,8125000.000,,,,8200000.000,,,,7493000.000,,,,6868000.000,
IncreaseDecreaseInAccruedLiabilities,,,-53000.000,,,,-517000.000,,,,-223000.000,,,,-522000.000,
IncreaseDecreaseInInventories,,,4162000.000,,,,4264000.000,,,,5176000.000,,,,5457000.000,
IncreaseDecreaseInOtherCurrentAssets,,,-283000.000,,,,-476000.000,,,,332000.000,,,,-121000.000,
InterestExpense,165000.000,128000.000,139000.000,149000.000,127000.000,137000.000,173000.000,185000.000,119000.000,90000.000,141000.000,181000.000,146000.000,110000.000,175000.000,219000.000
NetCashProvidedByUsedInFinancingActivities,,,6824000.000,,,,11302000.000,,,,8754000.000,,,,8568000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,6824000.000,,,,11302000.000,,,,8754000.000,,,,8568000.000,
NetCashProvidedByUsedInInvestingActivities,,,-137000.000,,,,-111000.000,,,,-55000.000,,,,-126000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-137000.000,,,,-111000.000,,,,-55000.000,,,,-126000.000,
NetCashProvidedByUsedInOperatingActivities,,,-9998000.000,,,,-12122000.000,,,,-9521000.000,,,,-7860000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-9998000.000,,,,-12122000.000,,,,-9521000.000,,,,-7860000.000,
NetIncomeLoss,980000.000,612000.000,-1345000.000,504000.000,307000.000,-1480000.000,-939000.000,1097000.000,487000.000,-1282000.000,-738000.000,787000.000,582000.000,-1154000.000,-475000.000,1063000.000
NonoperatingIncomeExpense,-240000.000,-89000.000,-130000.000,-169000.000,-162000.000,,-189000.000,-180000.000,-132000.000,,-170000.000,-181000.000,-164000.000,,-198000.000,-204000.000
OperatingIncomeLoss,1709000.000,1003000.000,-1580000.000,822000.000,560000.000,-1935000.000,-1169000.000,1996000.000,1040000.000,-1805000.000,-956000.000,1518000.000,1145000.000,-1628000.000,-543000.000,1939000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,278000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-215000.000,387000.000,,-261000.000,-320000.000,204000.000,-300000.000,-345000.000,297000.000,-408000.000,-313000.000,-578000.000,92000.000
OtherNonoperatingIncomeExpense,-75000.000,39000.000,9000.000,-20000.000,-35000.000,-24000.000,-16000.000,5000.000,-13000.000,-30000.000,-29000.000,,-18000.000,,-23000.000,15000.000
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,20000.000,,,,8000.000,,,,77000.000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,48000.000,,,,129000.000,,,,35000.000,
PaymentsToAcquireOtherProductiveAssets,,,2000.000,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,151000.000,,,,92000.000,,,,47000.000,,,,49000.000,
ProceedsFromLinesOfCredit,,,27508000.000,,,,32390000.000,,,,29919000.000,,,,33861000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,16000.000,,,,1000.000,,,,,,,,,
ProceedsFromStockOptionsExercised,,,,,,,,,,,158000.000,,,,,
ProductWarrantyAccrualPayments,,,,,,,,,,,253000.000,,,,245000.000,
ProductWarrantyAccrualWarrantiesIssued,,,,,,,,,,,225000.000,,,,237000.000,
RepaymentsOfLinesOfCredit,,,20671000.000,,,,21040000.000,,,,21205000.000,,,,25264000.000,
Revenues,33218000.000,31586000.000,24248000.000,34115000.000,34484000.000,20674000.000,25397000.000,35565000.000,33101000.000,19875000.000,24855000.000,36797000.000,34821000.000,22326000.000,28492000.000,43622000.000
SalesRevenueNet,33218000.000,31586000.000,24248000.000,34115000.000,34484000.000,20674000.000,25397000.000,35565000.000,33101000.000,19875000.000,24855000.000,36797000.000,34821000.000,22326000.000,28492000.000,43622000.000
SellingGeneralAndAdministrativeExpense,4593000.000,4703000.000,4989000.000,4787000.000,5128000.000,4531000.000,5371000.000,5142000.000,5059000.000,4508000.000,5171000.000,5452000.000,5465000.000,4946000.000,5409000.000,6446000.000
ShareBasedCompensation,,,99000.000,120000.000,114000.000,123000.000,105000.000,59000.000,63000.000,75000.000,157000.000,33000.000,71000.000,5000.000,143000.000,92000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,,,,,,,,,347000.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,100000.000,,,,20000.000,,,,37000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,,,,,,,,,,,,,0.000,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,,,1.130,,,,0.000,
