,2011-12-31,2013-06-30,2014-06-30,2015-06-30,2016-06-30
AdjustmentForAmortization,,1200000.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,1400000.000,2100000.000,2000000.000
AllocatedShareBasedCompensationExpense,,500000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,2725441.000,3604737.000,4751423.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,-0.540,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,-15200000.000,,,
BusinessAcquisitionsProFormaRevenue,,34900000.000,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,7800000.000,,,
BusinessCombinationConsiderationTransferred1,,19200000.000,,,
CashAcquiredFromAcquisition,,32700000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,40746000.000,17800000.000,13400000.000,-29100000.000,5000000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,4455000.000,,,,
ComprehensiveIncomeNetOfTax,,-12900000.000,-9500000.000,-27000000.000,-25300000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-4528000.000,,,,
ContractsRevenue,,24000000.000,,,
CostOfServices,1463000.000,20400000.000,51100000.000,3600000.000,
CurrentFederalTaxExpenseBenefit,,0.000,,,
CurrentForeignTaxExpenseBenefit,,100000.000,-300000.000,-100000.000,
CurrentIncomeTaxExpenseBenefit,,100000.000,-300000.000,-100000.000,
CurrentStateAndLocalTaxExpenseBenefit,,0.000,,,
DeferredFederalIncomeTaxExpenseBenefit,,0.000,,,
DeferredForeignIncomeTaxExpenseBenefit,,0.000,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,,0.000,,,
DefinedBenefitPlanContributionsByEmployer,,1100000.000,,,
DefinedContributionPlanCostRecognized,,,800000.000,400000.000,200000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,,,,0.040
Depreciation,,1800000.000,,,
DepreciationDepletionAndAmortization,237000.000,3000000.000,2400000.000,1100000.000,100000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,2018000.000,,,,
EarningsPerShareBasic,,-0.310,,-0.540,-0.660
EarningsPerShareBasicAndDiluted,,,-0.350,-0.540,-0.660
EarningsPerShareDiluted,,-0.310,,-0.540,-0.660
EffectOfExchangeRateOnCashAndCashEquivalents,,-4800000.000,1500000.000,-7900000.000,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,0.000,0.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,0.000,0.000,0.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,0.000,
ForeignCurrencyTransactionGainLossBeforeTax,,1900000.000,-1400000.000,6500000.000,-200000.000
GainLossOnDispositionOfAssets1,,,,-200000.000,
GainLossOnSaleOfInvestments,,,0.000,0.000,0.000
GainLossOnSaleOfPropertyPlantEquipment,-47000.000,,,,
GeneralAndAdministrativeExpense,5372000.000,18000000.000,10200000.000,9400000.000,8000000.000
