,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdvertisingExpense,,,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-6962.000,,,,-1561.000,
CostOfServicesLicensesAndServices,,,,,,,130.000,1200.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,-0.020,-0.020,-0.020
GeneralAndAdministrativeExpense,400.000,1607.000,412.000,1035.000,3244.000,185916.000,190.000,325.000
IncomeLossFromContinuingOperations,,,-8762.000,-1171.000,-4242.000,-194840.000,2730.000,-7859.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-40012.000,-47892.000,-36750.000,-108977.000,2260.000,-17098.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,300.000,,,,-6701.000,
IncreaseDecreaseInAccountsReceivable,,,,,,,1200.000,
IncreaseDecreaseInPrepaidExpense,,,31250.000,,,,,
InterestExpense,,,31250.000,-46721.000,36750.000,-160895.000,-470.000,9239.000
NetCashProvidedByUsedInFinancingActivities,,,1500.000,,,,1680.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1500.000,,,,1680.000,
NetCashProvidedByUsedInOperatingActivities,,,-8462.000,,,,-3241.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-8462.000,,,,-3241.000,
NetIncomeLoss,-1760.000,-5317.000,-40012.000,-47892.000,-40992.000,-94735.000,2260.000,-17098.000
OperatingExpenses,1760.000,5317.000,8762.000,1171.000,4242.000,123315.000,-930.000,7859.000
OtherOperatingIncomeExpenseNet,,,-31250.000,-46721.000,-36750.000,100105.000,-470.000,-9239.000
ProceedsFromNotesPayable,,,1500.000,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,1680.000,
ProfessionalFees,1360.000,1710.000,8350.000,136.000,998.000,13618.000,-1250.000,6334.000
RelatedPartyTransactionAmountsOfTransaction,,,,3000.000,,,,
Revenues,,,,,,,1800.000,
SalariesAndWages,,2000.000,,,,,,
SalesRevenueNet,,,,,,,1800.000,
ShareBasedCompensation,,,0.000,,,,,
StockIssuedDuringPeriodSharesOther,,,,,,,535000.000,
StockIssuedDuringPeriodValueOther,,,,,,,535.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,8500000.000,8500000.000,9100000.000,9100000.000,9100000.000,-18200000.000,9100000.000,9100000.000
