,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AdjustmentForAmortization,,,29123.000,,,
AmortizationOfIntangibleAssets,,,21178.000,,,
CapitalizedComputerSoftwarePeriodIncreaseDecrease,,,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,771424.000,,,
CostOfServices,976919.000,955698.000,1023737.000,983383.000,999386.000,953835.000
CurrentIncomeTaxExpenseBenefit,,,,280477.000,297498.000,
DeferredIncomeTaxExpenseBenefit,,,,-19847.000,-10438.000,
Depreciation,,,27274.000,,,
EarningsPerShareBasicAndDiluted,0.006,0.007,0.006,0.008,0.008,0.008
GrossProfit,1382705.000,1491976.000,1441701.000,1562868.000,1577343.000,1563795.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,596026.000,690793.000,587539.000,765135.000,843797.000,837181.000
IncomeTaxExpenseBenefit,203566.000,235251.000,200332.000,260630.000,287060.000,284788.000
IncomeTaxesPaid,,,10000.000,,,
IncreaseDecreaseInAccountsPayable,,,8733.000,,,
IncreaseDecreaseInAccountsReceivable,,,-43863.000,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,224959.000,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,-36537.000,,,
IncreaseDecreaseInDeferredRevenue,,,89353.000,,,
IncreaseDecreaseInOtherAccruedLiabilities,,,88916.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,3777.000,,,
IncreaseDecreaseInPrepaidExpense,,,-19033.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-11573.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-11573.000,,,
NetCashProvidedByUsedInOperatingActivities,,,782997.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,782997.000,,,
NetIncomeLoss,392460.000,455542.000,387207.000,504505.000,556737.000,552393.000
OperatingIncomeLoss,595112.000,689901.000,586729.000,764505.000,843533.000,836652.000
OperatingLeasesRentExpenseMinimumRentals,,,,57000.000,57000.000,
OtherIncome,914.000,892.000,810.000,630.000,264.000,529.000
PaymentsToAcquirePropertyPlantAndEquipment,,,11573.000,,,
Revenues,2359624.000,2447674.000,2465438.000,2546251.000,2576729.000,2517630.000
SalesRevenueNet,2358710.000,2446782.000,2464628.000,2545621.000,2576465.000,2517101.000
SellingGeneralAndAdministrativeExpense,787593.000,802075.000,854972.000,798363.000,733810.000,727143.000
