,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentForAmortization,,,1567000.000,,,,944000.000,,
AmortizationOfDebtDiscountPremium,,,231000.000,,,,256000.000,,
CostOfGoodsSold,48231000.000,48934000.000,37262000.000,60184000.000,59031000.000,45222000.000,40845000.000,64934000.000,63033000.000
CostOfRevenue,76563000.000,77815000.000,65446000.000,88704000.000,84653000.000,76019000.000,67771000.000,95985000.000,90392000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,-9000.000,,
Depreciation,,,1909000.000,,,,2188000.000,,
DepreciationAndAmortization,4003000.000,4210000.000,3476000.000,3356000.000,3791000.000,3834000.000,3132000.000,3079000.000,3120000.000
FacilityMembershipAndOperationsCosts,21993000.000,22852000.000,19767000.000,24291000.000,21634000.000,20833000.000,26926000.000,31051000.000,27359000.000
FacilityMembershipAndOperationsRevenue,39067000.000,39151000.000,37202000.000,41766000.000,38725000.000,36095000.000,48475000.000,51418000.000,46457000.000
GainLossOnDerivativeInstrumentsNetPretax,632000.000,1198000.000,990000.000,1199000.000,1259000.000,423000.000,,,
GainLossOnDispositionOfAssets,,,515000.000,744000.000,-2000.000,-86000.000,1834000.000,-11000.000,-95000.000
GainLossOnSaleOfPropertyPlantEquipment,275000.000,-7000.000,-13000.000,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,-440000.000,,,,,,
GrossProfit,52527000.000,50790000.000,44612000.000,57630000.000,54960000.000,46718000.000,46197000.000,60956000.000,58528000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,5216000.000,2022000.000,108000.000,7185000.000,3321000.000,-922000.000,4424000.000,10660000.000,7327000.000
IncomeTaxExpenseBenefit,26000.000,43000.000,104000.000,7000.000,57000.000,149000.000,71000.000,41000.000,70000.000
IncomeTaxesPaidNet,,,,,,,25000.000,,
IncreaseDecreaseInAccountsPayable,,,10003000.000,,,,10733000.000,,
IncreaseDecreaseInAccountsReceivable,,,-2115000.000,,,,268000.000,,
IncreaseDecreaseInAccruedLiabilities,,,8140000.000,,,,5677000.000,,
IncreaseDecreaseInDeferredRevenue,,,-4505000.000,,,,-1135000.000,,
IncreaseDecreaseInInventories,,,12391000.000,,,,12349000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1196000.000,,,,737000.000,,
InterestExpense,11328000.000,11321000.000,11218000.000,11143000.000,11191000.000,10247000.000,9777000.000,9787000.000,9758000.000
InterestIncomeExpenseNonoperatingNet,,,,-10925000.000,-10976000.000,,-9574000.000,-9590000.000,-9561000.000
InterestPaid,,,,,,,161000.000,,
InvestmentIncomeInterest,125000.000,124000.000,218000.000,218000.000,215000.000,202000.000,203000.000,197000.000,197000.000
NetCashProvidedByUsedInContinuingOperations,,,-2055000.000,,,,-3155000.000,,
NetCashProvidedByUsedInFinancingActivities,,,-3166000.000,,,,-9799000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-3166000.000,,,,-9799000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-4000000.000,,,,-1372000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-4000000.000,,,,-1372000.000,,
NetCashProvidedByUsedInOperatingActivities,,,5111000.000,,,,8016000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,5111000.000,,,,8016000.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,1979000.000,4000.000,7178000.000,3264000.000,-1071000.000,4353000.000,10619000.000,7257000.000
NonoperatingIncomeExpense,-10286000.000,-9999000.000,-9935000.000,-8982000.000,-9719000.000,-9708000.000,-7741000.000,-9600000.000,-9656000.000
OperatingExpenses,37025000.000,38769000.000,34569000.000,41463000.000,41920000.000,37932000.000,34032000.000,40696000.000,41545000.000
OperatingIncomeLoss,15502000.000,12021000.000,10043000.000,16167000.000,13040000.000,8786000.000,12165000.000,20260000.000,16983000.000
OtherNonoperatingIncomeExpense,10000.000,7000.000,,,,,-1000.000,1000.000,
PaymentsOfDebtIssuanceCosts,,,,,,,582000.000,,
PaymentsOfDividendsCommonStock,,,300000.000,,,,3826000.000,,
PaymentsToAcquireIntangibleAssets,,,,,,,146000.000,,
PaymentsToAcquireProductiveAssets,,,3933000.000,,,,1830000.000,,
ProceedsFromIssuanceOfLongTermDebt,,,6343000.000,,,,3333000.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,-122000.000,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,55000.000,,,,604000.000,,
ProfitLoss,5190000.000,,,,,,,,
ProvisionForDoubtfulAccounts,,,299000.000,,,,197000.000,,
RepaymentsOfLongTermDebt,,,9209000.000,,,,8724000.000,,
Revenues,129090000.000,128605000.000,110058000.000,146334000.000,139613000.000,122737000.000,113968000.000,156941000.000,148920000.000
SalesRevenueGoodsNet,82650000.000,82166000.000,61042000.000,98943000.000,95359000.000,70430000.000,65493000.000,105523000.000,102463000.000
SalesRevenueNet,129090000.000,128605000.000,110058000.000,146334000.000,139613000.000,122737000.000,113968000.000,156941000.000,148920000.000
SellingGeneralAndAdministrativeExpense,33022000.000,34559000.000,31093000.000,38107000.000,38129000.000,34098000.000,30900000.000,37617000.000,38425000.000
