,2011-11-30,2012-11-30,2014-11-30,2015-11-30,2016-11-30
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,208000.000,
AmortizationOfIntangibleAssets,,,,1203000.000,1620000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-189.000,-928.000,1309970.000,3028000.000,-3196000.000
ComprehensiveIncomeNetOfTax,,,-5522469.000,-5729000.000,-9113000.000
CostOfRevenue,,,,3880000.000,7657000.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,135000.000,,257000.000
DefinedBenefitPlanBenefitObligationPeriodIncreaseDecrease,,1553.000,702.000,,
Depreciation,,1406.000,4551.000,1991000.000,
DepreciationAndAmortization,,,,,2923000.000
DerivativeGainLossOnDerivativeNet,,,180000.000,1375000.000,1732000.000
EarningsPerShareBasic,,,0.100,0.080,0.090
EarningsPerShareBasicAndDiluted,0.000,0.090,,,
EarningsPerShareDiluted,,,0.110,0.110,0.090
EffectOfExchangeRateOnCashAndCashEquivalents,,,-46745.000,-174000.000,-81000.000
GainLossOnInvestments,,,,,-123000.000
GainsLossesOnExtinguishmentOfDebt,,,,,-229000.000
GeneralAndAdministrativeExpense,770.000,2679748.000,3027180.000,4035000.000,6240000.000
GrossProfit,,,,-906000.000,-1260000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-72352.000,-4988559.000,-4576630.000,-5361000.000,-10741000.000
IncomeTaxExpenseBenefit,0.000,,,-900000.000,-1547000.000
IncomeTaxesPaidNet,0.000,,,,
IncreaseDecreaseInAccountsPayable,37675.000,91278.000,1016291.000,1497000.000,1079000.000
IncreaseDecreaseInAccountsReceivable,,,,731000.000,54000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,-900000.000,-1546000.000
IncreaseDecreaseInAccruedLiabilities,,68138.000,-11365.000,538000.000,399000.000
IncreaseDecreaseInDeferredRevenue,,,,1039000.000,53000.000
IncreaseDecreaseInDueToOtherRelatedParties,,75879.000,470912.000,353000.000,352000.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,35000.000,6862.000,,,
IncreaseDecreaseInInventories,,,,87000.000,101000.000
IncreaseDecreaseInOtherCurrentAssets,,,,22000.000,17000.000
IncreaseDecreaseInPrepaidExpense,-912.000,27184.000,73506.000,1083000.000,-136000.000
IncreaseDecreaseInRestrictedCashAndInvestments,,,,5000.000,0.000
InterestExpenseShortTermBorrowings,,,1085821.000,502000.000,283000.000
InterestPaid,0.000,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,509622.000,,,
NetCashProvidedByUsedInFinancingActivities,0.000,1071661.000,2736708.000,6666000.000,2123000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,1071661.000,2736708.000,6666000.000,2123000.000
NetCashProvidedByUsedInInvestingActivities,0.000,-20977.000,2509.000,-932000.000,-1536000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,-20977.000,2509.000,-932000.000,-1536000.000
NetCashProvidedByUsedInOperatingActivities,-189.000,-1051612.000,-1429247.000,-2706000.000,-3783000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-189.000,-1051612.000,-1429247.000,-2706000.000,-3783000.000
NetIncomeLoss,-72352.000,-4998143.000,-5504101.000,-4461000.000,-9194000.000
OperatingExpenses,72352.000,,,,
OperatingIncomeLoss,,,,-7211000.000,-11277000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,-18368.000,-1268000.000,81000.000
OtherNonoperatingIncomeExpense,,-9584.000,-927471.000,1850000.000,659000.000
PaymentsForProceedsFromInvestments,,,,,111000.000
PaymentsForProceedsFromOtherInvestingActivities,,,,-305000.000,0.000
PaymentsForProceedsFromShortTermInvestments,,10002.000,0.000,250000.000,
PaymentsToAcquirePropertyPlantAndEquipment,,9679.000,4746.000,982000.000,1425000.000
PaymentsToDevelopSoftware,0.000,0.000,,,
PensionAndOtherPostretirementBenefitContributions,,1296.000,2747.000,0.000,
ProceedsFromConvertibleDebt,,,1750000.000,950000.000,1599000.000
ProceedsFromIssuanceOfCommonStock,0.000,1071661.000,922000.000,4203000.000,1488000.000
ProceedsFromNotesPayable,,,,3946000.000,1121000.000
ProceedsFromSaleOfShortTermInvestments,,,10002.000,,0.000
ProceedsFromShortTermDebt,,,14084.000,-14000.000,21000.000
ProceedsFromStockOptionsExercised,,,624.000,0.000,
ProfitLoss,-72352.000,,,,
RepaymentsOfLongTermDebt,,,,2419000.000,2106000.000
ResearchAndDevelopmentExpense,,2308811.000,1549450.000,1067000.000,2157000.000
Revenues,0.000,,,2974000.000,6397000.000
SalesRevenueNet,0.000,,,2974000.000,6397000.000
ShareBasedCompensation,,2976922.000,1199583.000,803000.000,2869000.000
StockGrantedDuringPeriodValueSharebasedCompensation,,2976922.000,,,
StockIssued1,,,37406.000,0.000,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,630503.000,,
StockIssuedDuringPeriodValueIssuedForServices,,509622.000,,,
StockIssuedDuringPeriodValueOther,,1071661.000,,,
StockIssuedDuringPeriodValueStockOptionsExercised,,,624.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,54265224.000,54721969.000,56920912.000,102258854.000
WeightedAverageNumberOfSharesOutstandingBasic,,,54162596.000,55798416.000,102258854.000
