,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdministrativeFeesExpense,,,,,,,,,,,,,,,605871.000,582338.000,,,,,,,
FloorBrokerageExchangeAndClearanceFees,5689893.000,5110211.000,4250290.000,3966288.000,3721423.000,3186032.000,2945216.000,2818855.000,2532037.000,2280756.000,2069673.000,1188823.000,1119912.000,0.000,,,,,,,,,
ForeignCurrencyTransactionGainLossUnrealized,,,,93283.000,53155.000,,9995.000,1338.000,1338.000,501617.000,40918.000,-10593.000,-58636.000,47938.000,-120454.000,14002.000,,,,,,,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,2579347.000,57007.000,,8270913.000,,,,,,,,8098963.000,-9427157.000,1656125.000,-1802833.000,,,,,
GainLossOnSaleOfCommodityContracts,,,,,,,,,,,,,,,,,,,984287.000,-3377509.000,-2240891.000,-3926291.000,1059152.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,,,,,-0.450,-0.420,,-0.390,-0.360,-0.360,,
IncomeTaxExpenseBenefit,,,,,,,,,,,,,,,0.000,,,,,,,,
InterestIncomeOperating,,,,,,,,,,,,,,,,,,,39123.000,34636.000,39515.000,,60882.000
InvestmentIncomeInterest,17330.000,11877.000,30128.000,33899.000,44466.000,45104.000,32526.000,13859.000,9043.000,22915.000,8806.000,4090.000,2957.000,3202.000,2157.000,1767.000,1952.000,695.000,,,,,
InvestmentIncomeNet,,,,,,,,,,,,,,,,,-1491487.000,,,,,,
ManagementFeeExpense,,,,,,,,,,,,,,,,,455701.000,,359055.000,318846.000,322733.000,277767.000,244847.000
NetIncomeLoss,-24315962.000,-2168780.000,-1314081.000,-2563171.000,-4751738.000,-17550574.000,4463289.000,-4221385.000,-11640844.000,3665896.000,-11337945.000,3741931.000,8076305.000,12738877.000,6359973.000,-11098823.000,164638.000,-3220653.000,-2241268.000,-1686412.000,-4166240.000,-4924201.000,-1439493.000
NetIncomeLossAllocatedToGeneralPartners,-253293.000,-24671.000,-16665.000,-33325.000,-59092.000,-185224.000,46396.000,-47627.000,-131828.000,44517.000,-147881.000,56019.000,97423.000,136156.000,70699.000,-122209.000,1816.000,-36270.000,-19411.000,-17429.000,,,
NetIncomeLossAllocatedToLimitedPartners,-24062669.000,-2144109.000,-1297416.000,-2529846.000,-4692646.000,-17365350.000,4416893.000,-4173758.000,-11509016.000,3621379.000,-11190064.000,3685912.000,7978882.000,12602721.000,6289274.000,-10976614.000,162822.000,-3184383.000,-2221857.000,-1668983.000,,,
NetIncomeLossPerOutstandingGeneralPartnershipUnit,-2.410,-0.240,-0.160,-0.340,-0.660,-2.320,0.620,-0.670,-1.860,0.630,-2.090,,,,,,,,,,,,
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,,,,,,,,,,,,0.790,1.870,,1.630,-2.980,0.050,-0.950,-0.720,-0.500,,,
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,-1.410,,-0.590
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-2.410,-0.240,-0.160,-0.340,-0.660,-2.320,0.620,-0.670,-1.860,0.630,-2.090,,,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,0.790,1.870,,1.630,-2.980,0.050,-0.950,-0.720,-0.500,-1.410,,
NetInvestmentIncome,,,,,,,,,,,,,,,,,,,-1259536.000,-1111600.000,-1073530.000,-910052.000,-769671.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,2579347.000,57007.000,,8270913.000,-562520.000,-8356777.000,6590031.000,-8709771.000,5402898.000,9640376.000,14371494.000,8098963.000,-9427157.000,1656125.000,,,,,,
NoninterestExpenseInvestmentAdvisoryFees,2058895.000,1576606.000,1300471.000,1210129.000,1131788.000,968317.000,894934.000,853869.000,761073.000,666294.000,567307.000,476234.000,447116.000,493545.000,529405.000,508757.000,,,,,,,
NoninterestExpenseRelatedToPerformanceFees,1089436.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
