,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,648683.000,913262.000,856702.000,991762.000,746042.000,673131.000,846071.000,958253.000,840540.000,1185404.000,1289099.000,1015871.000,873049.000,739240.000,996366.000,1487057.000
AccountsReceivableNetCurrent,3192865.000,2718675.000,2435496.000,3018148.000,2823956.000,2728663.000,1762507.000,2168984.000,2968997.000,2264488.000,1725070.000,1642792.000,1861735.000,2055948.000,1814143.000,2097513.000,2590123.000,2548082.000,2606241.000,2836858.000
AccountsReceivableRelatedParties,,,,,,,23880.000,,,,,,7225.000,32118.000,95985.000,65488.000,102759.000,90234.000,105634.000,131452.000
AccountsReceivableRelatedPartiesCurrent,,,,,265298.000,333551.000,,,,,,,,,,,,,,
AccruedBonusesCurrent,,,,,,,,,,,,,,,,,,,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,1375728.000,,,,1505527.000,,,,1681896.000,,,,1893865.000,
AdditionalPaidInCapital,17442699.000,17693638.000,17882936.000,18052078.000,21498545.000,21599404.000,21781084.000,21879871.000,21949391.000,21971215.000,21992619.000,21992006.000,21973237.000,21970276.000,21975069.000,21977738.000,21967318.000,21967125.000,21966986.000,21967585.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,15000.000,,,,0.000,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,15000.000,,,,,,,,,,,,,,,,,
Assets,10396523.000,10521456.000,10658189.000,10802544.000,12991543.000,13123687.000,12599445.000,11683087.000,12103276.000,11279934.000,11009519.000,10417036.000,9339846.000,9077849.000,7824234.000,6538974.000,6159581.000,6312966.000,7097181.000,7153228.000
AssetsCurrent,8131441.000,8334846.000,8533881.000,8771727.000,10981438.000,11195933.000,10724012.000,9894160.000,10426425.000,9688716.000,9453399.000,8912831.000,7806652.000,7608047.000,6270930.000,5027030.000,4622145.000,4724767.000,5520393.000,5612012.000
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,144775.000,195201.000,229602.000
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,,23830.000,43285.000,57891.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,,120945.000,151916.000,171711.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,,,,,169621.000,225046.000,261690.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,,,,,,,8481.000,55226.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,,,33924.000,25443.000,25444.000
