,2013-12-31,2014-11-30,2015-11-30,2016-11-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-39100.000,171720.000,-105451.000,489379.000
DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,,,36478.000,70125.000
DebtInstrumentDecreaseForgiveness,,,225629.000,222430.000
DepreciationAndAmortization,,12043.000,12044.000,12041.000
EarningsPerShareBasicAndDiluted,-0.010,-0.020,-0.010,-0.020
ExplorationCosts,,123050.000,,
ExplorationExpenseMining,,,280667.000,218961.000
ExtraordinaryItemGainOrLossNetOfTaxAttributableToNoncontrollingInterest,,,,76139.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,33112.000,65061.000
GeneralAndAdministrativeExpense,38900.000,665608.000,1069356.000,2501468.000
IncomeLossAttributableToNoncontrollingInterest,,,,-76139.000
IncomeLossFromContinuingOperations,-38900.000,,,
IncomeTaxExpenseBenefit,,,,1350.000
IncomeTaxesPaid,,,,1350.000
IncreaseDecreaseDueFromOfficersAndStockholders,,,0.000,
IncreaseDecreaseInAccountsPayable,1100.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,1253484.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,103698.000,200850.000,
IncreaseDecreaseInAccountsReceivable,,,,-58897.000
IncreaseDecreaseInDueToOtherRelatedParties,,175000.000,82500.000,
IncreaseDecreaseInDueToRelatedParties,,53000.000,126341.000,
IncreaseDecreaseInOtherCurrentAssets,-1300.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,-37682.000
IncreaseDecreaseInPrepaidExpense,,-9939.000,9439.000,
InterestExpense,,40093.000,-135081.000,-212823.000
InterestPaid,,40093.000,12344.000,0.000
InvestmentIncomeNetAmortizationOfDiscountAndPremium,,,15905.000,77295.000
LeaseAndRentalExpense,,50285.000,25500.000,7500.000
LegalFees,,,25403.000,
MarketingExpense,,,60000.000,
MineralExtractionProcessingAndMarketingCosts,,,,110164.000
NetCashProvidedByUsedInFinancingActivities,,1011200.000,1093210.000,1523280.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,1011200.000,1093210.000,1523280.000
NetCashProvidedByUsedInInvestingActivities,,-88499.000,-27929.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-88499.000,-27929.000,0.000
NetCashProvidedByUsedInOperatingActivities,-39100.000,-750981.000,-1170732.000,-1033901.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-39100.000,-750981.000,-1170732.000,-1033901.000
NetIncomeLoss,-38900.000,-856783.000,-1412336.000,-2701166.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,-76139.000
OperatingExpenses,38900.000,800701.000,1362067.000,2732470.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,-2625027.000
OtherExpenses,,15989.000,-198.000,-146398.000
OtherGeneralExpense,,,201438.000,14.000
OtherOperatingIncomeExpenseNet,,-56082.000,-102167.000,
PaymentsForAdvanceToAffiliate,,60499.000,,0.000
PaymentsForDeposits,,,25000.000,
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,,,,250000.000
PaymentsToAcquireMineralRights,,,-75000.000,0.000
PaymentsToSuppliers,,,,615465.000
PaymentsToSuppliersAndEmployees,,,25542.000,
ProceedsFromContributionsFromAffiliates,,,,602000.000
ProceedsFromConvertibleDebt,,,54000.000,45000.000
ProceedsFromDerivativeInstrumentFinancingActivities,,,,500000.000
ProceedsFromIssuanceOrSaleOfEquity,,490984.000,939210.000,0.000
ProceedsFromNotesPayable,,650000.000,100000.000,145000.000
ProceedsFromRelatedPartyDebt,,-129784.000,17680.000,-18720.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,,47071.000,
ProceedsFromStockOptionsExercised,,,,0.000
ProfessionalAndContractServicesExpense,,38000.000,30000.000,
ProfessionalFees,,10000.000,,
ProfitLoss,,-856783.000,-1412336.000,
ReimbursementRevenue,,,85537.000,
RepaymentsOfNotesPayable,,,,204197.000
RepaymentsOfRelatedPartyDebt,,28000.000,-17680.000,0.000
Revenues,,,51898.000,177705.000
SalesRevenueNet,,,51898.000,177705.000
ShareBasedCompensation,,,,415960.000
StockIssuedDuringPeriodValueIssuedForCash,,490984.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,45563843.000,137527337.000,141042682.000
WeightedAverageNumberOfSharesOutstandingBasic,3050000.000,,,
