,2011-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,51953.000
AccountsPayableRelatedPartiesCurrent,4628.000
AccountsReceivableNetCurrent,20736.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3926.000
AdditionalPaidInCapital,85090.000
Assets,102339.000
AssetsCurrent,102339.000
CashAndCashEquivalentsAtCarryingValue,81603.000
CashEquivalentsAtCarryingValue,81603.000
CommonStockValueOutstanding,20594.000
DueToOfficersOrStockholdersCurrentAndNoncurrent,-930.000
LiabilitiesAndStockholdersEquity,102339.000
LiabilitiesCurrent,56581.000
LoansPayableCurrent,0.000
PreferredStockValueOutstanding,0.000
RetainedEarningsAccumulatedDeficit,-56000.000
StockholdersEquity,45758.000
