,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-31,2013-03-30,2013-06-29,2013-09-28,2013-12-31,2014-03-29,2014-06-28,2014-09-27,2014-12-31,2015-04-04,2015-07-04,2015-10-03,2015-12-31,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableAndAccruedLiabilitiesCurrent,739768000.000,771297000.000,774939000.000,715091000.000,721383000.000,733411000.000,761186000.000,773436000.000,824135000.000,1261791000.000,1296192000.000,1193593000.000,1188644000.000,1253291000.000,1247862000.000,1104509000.000,1085805000.000,1303487000.000,1371969000.000,1256025000.000,1247489000.000,1334150000.000,1435069000.000,1335582000.000,1330341000.000
AccountsPayableTradeCurrent,,416909000.000,412946000.000,372616000.000,398842000.000,381503000.000,397865000.000,387871000.000,459397000.000,729034000.000,727770000.000,631732000.000,697366000.000,711807000.000,715099000.000,622360000.000,634264000.000,727676000.000,771006000.000,696974000.000,751271000.000,782051000.000,767248000.000,729415000.000,780467000.000
AccountsReceivableGrossCurrent,,807317000.000,793652000.000,696856000.000,796162000.000,794691000.000,802605000.000,691553000.000,843851000.000,1163699000.000,1164172000.000,1076824000.000,1192773000.000,1280046000.000,1226818000.000,1081493000.000,1164732000.000,1397615000.000,1350403000.000,1243533000.000,1422935000.000,1466004000.000,1523931000.000,1386306000.000,1508927000.000
AccruedIncomeTaxesCurrent,,4373000.000,3850000.000,,,,,2074000.000,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1893740000.000,1918967000.000,1930433000.000,1927703000.000,,,,2065472000.000,,,2243036000.000,2248406000.000,2310736000.000,2378705000.000,2402351000.000,2427003000.000,2438448000.000,2511539000.000,2577028000.000,2636139000.000,2711044000.000,2763371000.000,2822348000.000,2873427000.000,2953333000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,663000.000,,,,928000.000,,,,157000.000,,,,1450000.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,134976000.000,,,,160661000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,292828000.000,331558000.000,184631000.000,135639000.000,190617000.000,70464000.000,112854000.000,159733000.000,82242000.000,49806000.000,146225000.000,178689000.000,115609000.000,135379000.000,-122885000.000,-429321000.000,-655394000.000,-625572000.000,-698300000.000,-793568000.000,-672820000.000,-715861000.000,-704120000.000,-833027000.000,-749986000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,5181000.000,5181000.000,,,,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,1239048000.000,1242963000.000,1245020000.000,1248131000.000,1256200000.000,1260186000.000,1266108000.000,1277521000.000,1308040000.000,1544085000.000,1557432000.000,1566985000.000,1572865000.000,1580010000.000,1592038000.000,1598887000.000,1604149000.000,1752512000.000,1751219000.000,1760016000.000,1763172000.000,1779933000.000,1785350000.000,1791540000.000,1788883000.000
