,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableCurrent,4390928.000,5361105.000,3802155.000,5595197.000,5843785.000,5738739.000
AccountsReceivableGrossCurrent,,,,,73592417.000,70628151.000
AccountsReceivableNet,,,,,7617314.000,6433517.000
AccountsReceivableNetCurrent,75191031.000,73913870.000,63978861.000,63844604.000,72982058.000,69960402.000
AccruedIncomeTaxesCurrent,,,,,4936838.000,3687379.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,59562271.000,63492052.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,43644881.000,48967765.000,54094593.000,54115912.000,50358928.000,54596273.000
AdditionalPaidInCapital,,,,,,170526773.000
AdditionalPaidInCapitalCommonStock,168750670.000,169028404.000,169335522.000,169696936.000,170184512.000,
AdvancesOnInventoryPurchases,10369102.000,8586217.000,6793904.000,6970168.000,3328261.000,6434273.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,610359.000,667749.000
Assets,395148673.000,411110172.000,426804823.000,432894490.000,438349790.000,450125452.000
AssetsCurrent,248889578.000,266066662.000,283251994.000,292731536.000,302747855.000,316492818.000
Cash,141879243.000,163624276.000,200451902.000,205375102.000,203289583.000,
CashAndCashEquivalentsAtCarryingValue,,,,,,217651755.000
CommonStockParOrStatedValuePerShare,0.006,0.006,0.006,0.006,0.006,0.006
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,38203638.000,38204138.000,38240438.000,38286054.000,38304570.000,38402560.000
CommonStockSharesOutstanding,38203638.000,38204138.000,38240438.000,38286054.000,38304570.000,38402560.000
CommonStockValue,229223.000,229226.000,229444.000,229718.000,229829.000,230417.000
DeferredTaxAssetsValuationAllowance,,,,,11023643.000,11332490.000
DeferredTaxLiabilitiesNoncurrent,673908.000,673470.000,672943.000,663100.000,648094.000,633954.000
DepositsAssetsNoncurrent,9825781.000,9957883.000,10090621.000,10084905.000,9997260.000,10105229.000
DueToRelatedPartiesCurrent,,,2000000.000,,,
EmployeeRelatedLiabilitiesCurrent,,,,,2181473.000,2845311.000
Goodwill,1764508.000,1788231.000,1812068.000,1811041.000,1795302.000,1814691.000
IntangibleAssetsNetExcludingGoodwill,504487.000,468518.000,431441.000,387900.000,341608.000,301912.000
InventoryFinishedGoods,,,,,8180257.000,9108793.000
InventoryNet,20644085.000,18899317.000,10695123.000,15053070.000,21456791.000,20326083.000
InventoryRawMaterials,,,,,9284249.000,6944941.000
InventoryWorkInProcess,,,,,3992285.000,4272349.000
Liabilities,24600731.000,26012942.000,30637374.000,31477708.000,32821120.000,32316444.000
LiabilitiesAndStockholdersEquity,395148673.000,411110172.000,426804823.000,432894490.000,438349790.000,450125452.000
LiabilitiesCurrent,18547688.000,20139472.000,22332331.000,23271868.000,24926926.000,24561290.000
LongTermDebt,,,,,7896100.000,7771200.000
LongTermDebtCurrent,650000.000,650000.000,650000.000,650000.000,650000.000,650000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,,,,,650000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,,,,,6921100.000,
LongTermDebtOfRegistrantMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,,,,,,650000.000
LongTermDebtOfRegistrantMaturitiesRepaymentsOfPrincipalInRemainderOfFiscalYear,,,,,325000.000,162500.000
LongTermDebtOfRegistrantMaturitiesRepaymentsOfPrincipalInRollingYearTwo,,,,,,6958700.000
LongTermLoansFromBank,5362500.000,5200000.000,7632100.000,7542740.000,7246100.000,7121200.000
OpenOptionContractsWrittenAtFairValue,,,,,,7392200.000
OperatingLeasesFutureMinimumPaymentsDueInRollingYearThree,,,,,246266.000,249921.000
OperatingLeasesFutureMinimumPaymentsDueInRollingYearTwo,,,,,246266.000,249921.000
OperatingLeasesFutureMinimumPaymentsNextRollingTwelveMonths,,,,,123133.000,62480.000
OtherAssetsNoncurrent,573484.000,518477.000,491380.000,459845.000,442181.000,448615.000
OtherLiabilitiesCurrent,,,,,7074877.000,7432929.000
OtherLiabilitiesNoncurrent,16635.000,,,,,
PrepaidExpenseAndOtherAssetsCurrent,806117.000,1042982.000,1332204.000,1488592.000,1691162.000,2120305.000
PropertyPlantAndEquipmentGross,,,,,169589330.000,171416419.000
PropertyPlantAndEquipmentNet,120422102.000,119064234.000,117405523.000,114205897.000,110027059.000,107924367.000
RetainedEarningsAccumulatedDeficit,157923168.000,166871835.000,172507890.000,177374216.000,184755401.000,192455545.000
SalesAndExciseTaxPayableCurrent,,,,,705581.000,1378612.000
ShortTermBankLoansAndNotesPayable,,,,,3534372.000,2828320.000
StockholdersEquity,370547942.000,385097230.000,396167449.000,401416782.000,405528670.000,417809008.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,370547942.000,385097230.000,396167449.000,401416782.000,405528670.000,417809008.000
