,2011-09-30,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-17529.000,,,,2926.000,,,,82.000,,,-9315.000,,,
CashPeriodIncreaseDecrease,,,,20766.000,,,,19339.000,,,,127438.000,,,,,,
CostOfRevenue,,,,,,56488.000,,,,,,,,,,,,
CostsAndExpenses,57769.000,58801.000,,61837.000,,,,,33234.000,77268.000,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,,0.000,-0.000,,-0.010,-0.000,-0.010,-0.010,-0.010,-0.000,-0.000,-0.010,-0.010,-0.000,-0.020
ExplorationAbandonmentAndImpairmentExpense,,,,,,,,,,31750.000,,,,0.000,,,,
GeneralAndAdministrativeExpense,42217.000,58717.000,35618.000,56739.000,50662.000,43141.000,40525.000,61604.000,32958.000,33436.000,26328.000,61730.000,35706.000,40220.000,56838.000,86204.000,18859.000,34702.000
IncomeLossFromContinuingOperations,,,,-61837.000,,,,-67167.000,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-0.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,30496.000,,,,8746.000,,,,41581.000,,,35023.000,,,
IncreaseDecreaseInAccountsReceivable,,,,1312.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,,,,,,,-66.000,,,,0.000,,,,,,
IncreaseDecreaseInAccruedSalaries,,,,12500.000,,,,12500.000,,,,12500.000,,,12500.000,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,-1100.000,,,,0.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,0.000,,,,,,,,,,,,,,
InterestAndOtherIncome,,0.000,0.000,,0.000,,,,,,,,,,,,,
InterestExpense,,-2336.000,-2426.000,0.000,0.000,0.000,0.000,-916.000,-935.000,-1300.000,6302.000,0.000,0.000,0.000,,,,
InterestExpenseDebt,-1000.000,,,,,,,,,,,,,,,,,
InterestIncomeDepositsWithFinancialInstitutions,2.000,,,,,,,,,,,,,,,,,
InterestIncomeExpenseNet,-998.000,,-2426.000,,,,,,,,,5.000,9.000,5.000,,,,
