,2011-07-03,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdditionsToNoncurrentAssets,,,,24000000.000,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,,,,,,1000000.000
AmortizationOfDebtDiscountPremium,,,,,,,2000000.000,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,6000000.000,,,,6000000.000,,,,6000000.000
AmortizationOfFinancingCostsAndDiscounts,,,4000000.000,,,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,77290.000,,86090.000,,28288.000,,159196.000
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,,,,,,,,-3.000,-4.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-78000000.000,,,,7000000.000,,,,23000000.000,,,,-33000000.000,,,,-33000000.000,,,,-63000000.000
ComprehensiveIncomeNetOfTax,,,,,,,,,-33000000.000,,-70000000.000,-105000000.000,-169000000.000,,-69000000.000,16000000.000,-46000000.000,,40000000.000,11000000.000,-10000000.000,,3000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-96000000.000,-69000000.000,-59000000.000,-189000000.000,,,,,,,,,,,,,,,,,
CostOfGoodsSold,,,,,,,,,,,,,,,479000000.000,490000000.000,469000000.000,456000000.000,446000000.000,468000000.000,457000000.000,474000000.000,446000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,486000000.000,448000000.000,425000000.000,458000000.000,410000000.000,412000000.000,390000000.000,443000000.000,444000000.000,455000000.000,434000000.000,460000000.000,445000000.000,,,,,,,,,,
DebtIssuanceCosts,,,,,,,-2000000.000,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,-3000000.000,,,,,,,,,,,,,,,,,,,,
