,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccruedLiabilitiesCurrentAndNoncurrent,73844.000,91172.000,166321.000,117381.000,117628.000,54920.000,34930.000,137993.000,52029.000,45919.000,91294.000,107717.000,61116.000,85362.000,89687.000,97149.000,89009.000,87520.000,171793.000,77031.000,91552.000,49289.000,108193.000,112697.000
Assets,14592193.000,19969852.000,11169040.000,4518784.000,14539516.000,17704027.000,7645960.000,3522607.000,10011822.000,10107022.000,8553797.000,1229032.000,8598972.000,15964421.000,10097620.000,2648542.000,5124046.000,6999824.000,9816961.000,8893010.000,8446712.000,8988597.000,14249882.000,13679877.000
AssetsCurrent,14374301.000,19595009.000,10695221.000,4162905.000,14078552.000,17300045.000,7440902.000,3340315.000,9929499.000,10024699.000,8043221.000,700437.000,7965270.000,15330719.000,9841858.000,2410492.000,4991102.000,6866881.000,9360900.000,8519577.000,8073279.000,8615164.000,14249879.000,13679874.000
CapitalUnits,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
CashAndCashEquivalentsAtCarryingValue,7869297.000,58577.000,10253474.000,1114140.000,8862821.000,15001029.000,6727461.000,1225217.000,6213766.000,7220003.000,7719963.000,518622.000,4367791.000,11846811.000,8717943.000,802802.000,3455170.000,5784902.000,2587165.000,8219812.000,6311545.000,5334255.000,13695168.000,12009469.000
DeferredRevenue,991000.000,467000.000,,,,,,,,,,,,,,,,,,257064.000,,,2099415.000,
HeldToMaturitySecuritiesCurrent,,,,,,,,,,,,,,,,,,,,,,132940.000,456058.000,373430.000
HeldToMaturitySecuritiesNoncurrent,,,,,,,,,,,,,,,,,,,,,,373430.000,,
InterestAndDividendsPayableCurrent,7872006.000,14694411.000,9971208.000,852801.000,8396806.000,14825611.000,6428805.000,1049601.000,6035205.000,6691205.000,7478406.000,,4198403.000,11545608.000,8396806.000,,524800.000,,656001.000,2624002.000,2624002.000,1312001.000,1836801.000,7216006.000
Liabilities,8936850.000,15252583.000,10137529.000,970182.000,8514434.000,14880531.000,6463735.000,1187594.000,6087234.000,6737124.000,7569700.000,107717.000,4259519.000,11630970.000,8486493.000,97149.000,613809.000,87520.000,827794.000,2958097.000,2715554.000,1361290.000,4044409.000,7328703.000
LiabilitiesAndStockholdersEquity,14592193.000,19969852.000,11169040.000,4518784.000,14539516.000,17704027.000,7645960.000,3522607.000,10011822.000,10107022.000,8553797.000,1229032.000,8598972.000,15964421.000,10097620.000,2648542.000,5124046.000,6999824.000,9816961.000,8893010.000,8446712.000,8988597.000,14249882.000,13679877.000
MoneyMarketFundsAtCarryingValue,,,,,,,6727461.000,,,,7719963.000,,,,8717943.000,,,,2499706.000,,,,13695168.000,
PrepaidExpenseCurrent,143883.000,89842.000,53767.000,50298.000,15929.000,108934.000,56573.000,54731.000,17721.000,92356.000,54950.000,53972.000,143758.000,92367.000,54957.000,55874.000,134315.000,92712.000,54930.000,60423.000,134537.000,91771.000,53608.000,64977.000
SharesOutstanding,,,,,,,,,,,,,,,,,,,,,,13120010.000,13120010.000,13120010.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,5655343.000,4717269.000,1031511.000,3548602.000,6025082.000,2823496.000,1182225.000,2335013.000,3924588.000,3369898.000,984097.000,1121315.000,4339453.000,4333451.000,1611127.000,2551393.000,4510237.000,6912304.000,8989167.000,5934913.000,5731158.000,7627307.000,10205473.000,6351174.000
USGovernmentSecuritiesAtCarryingValue,336098.000,178381.000,,82940.000,82940.000,239891.000,438815.000,460961.000,460918.000,303918.000,205055.000,82320.000,82320.000,82320.000,510573.000,528593.000,633699.000,633700.000,5740659.000,238047.000,132940.000,,,
