,2011-12-31,2012-03-31
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2409000.000,2239000.000
AdditionalPaidInCapital,40735000.000,40735000.000
Assets,511322000.000,539204000.000
AvailableForSaleSecurities,123972000.000,142516000.000
BankAcceptancesExecutedAndOutstanding,1417000.000,2785000.000
BankOwnedLifeInsurance,6885000.000,6943000.000
CashAndCashEquivalentsAtCarryingValue,20890000.000,22029000.000
CashAndDueFromBanks,20708000.000,20968000.000
CertificatesOfDepositAtCarryingValue,826000.000,6074000.000
CommonStockParOrStatedValuePerShare,5.000,5.000
CommonStockSharesAuthorized,10000000.000,10000000.000
CommonStockSharesIssued,2890811.000,2890811.000
CommonStockValue,14454000.000,14454000.000
CustomersLiabilityForAcceptancesNet,1417000.000,2785000.000
DebtAndCapitalLeaseObligations,24309000.000,20098000.000
Deposits,408626000.000,438375000.000
FederalFundsSold,23995000.000,31995000.000
Goodwill,3874000.000,3874000.000
HeldToMaturitySecurities,47219000.000,42829000.000
HeldToMaturitySecuritiesFairValue,47337.000,42853000.000
InterestBearingDepositsInBanks,182000.000,1061000.000
InterestPayableCurrentAndNoncurrent,279000.000,240000.000
InterestReceivable,2805000.000,2706000.000
Liabilities,437833000.000,465142000.000
LiabilitiesAndStockholdersEquity,511322000.000,539204000.000
LoansAndLeasesReceivableAllowance,4026.000,3822000.000
LoansAndLeasesReceivableNetReportedAmount,228997000.000,226671000.000
MarketableSecurities,173129000.000,187023000.000
NoninterestBearingDepositLiabilities,81013000.000,85665000.000
OtherAssets,2366000.000,2343000.000
OtherLiabilities,3202000.000,3644000.000
PreferredStockParOrStatedValuePerShare,1000.000,1000.000
PreferredStockSharesAuthorized,25000.000,25000.000
PreferredStockSharesIssued,17910.000,17910.000
PreferredStockValue,17910000.000,17910000.000
PropertyPlantAndEquipmentNet,22471000.000,22240000.000
RetainedEarningsAccumulatedDeficit,-1981000.000,-1238000.000
StockholdersEquity,73489000.000,74062000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,73489000.000,74062000.000
TimeDeposits100000OrMore,,63564000.000
TradingSecuritiesOther,1938000.000,1678000.000
TreasuryStockShares,7502.000,7502.000
TreasuryStockValue,38000.000,38000.000
