,2014-12-31,2015-12-31,2016-12-31
AllocatedShareBasedCompensationExpense,,,8415000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,-159000.000
BusinessCombinationAcquisitionRelatedCosts,,,836000.000
BusinessCombinationConsiderationTransferred1,,,310128000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-4836000.000,10802000.000,-6612000.000
ComprehensiveIncomeNetOfTax,,,96530000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,97356000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangeDueToNetIncomeAttributableToParentAndEffectsOfChangesNet,,,95834000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesNet,,,210000.000
CostOfRealEstateRevenue,14738000.000,17046000.000,47355000.000
CurrentFederalTaxExpenseBenefit,,,140000.000
CurrentStateAndLocalTaxExpenseBenefit,,,1299000.000
DeferredFederalIncomeTaxExpenseBenefit,,,44000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,15000.000
DefinedContributionPlanCostRecognized,,,357000.000
DepreciationAndAmortization,27649000.000,30651000.000,166048000.000
DepreciationDepletionAndAmortization,29187000.000,31145000.000,170038000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,17944000.000,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,882000.000,0.000,0.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,15000.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,18826000.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,2006000.000,,
EarningsPerShareBasic,,,0.380
EarningsPerShareDiluted,,,0.370
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340
EquityMethodInvestmentDividendsOrDistributions,15000.000,150000.000,815000.000
GainLossOnDispositionOfRealEstateDiscontinuedOperations,17944000.000,,
GainLossOnSaleOfCapitalLeasesNet,831000.000,0.000,0.000
GainLossOnSaleOfProperties,17944000.000,0.000,81510000.000
GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,,,81510000.000
GainsLossesOnExtinguishmentOfDebt,-357000.000,-33000.000,-975000.000
GeneralAndAdministrativeExpense,7691000.000,8541000.000,31104000.000
ImpairmentOfRealEstate,,787000.000,73772000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,40689000.000,42205000.000,90299000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,40738000.000,42315000.000,96450000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,0.380
IncomeLossFromContinuingOperationsPerDilutedShare,,,0.370
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,0.590,0.580,
IncomeLossFromDiscontinuedOperationsNetOfTax,18811000.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,0.280,0.000,
IncomeLossFromEquityMethodInvestments,129000.000,158000.000,7590000.000
IncomeTaxExpenseBenefit,80000.000,48000.000,1439000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,154000.000
IncomeTaxReconciliationOtherReconcilingItems,,,1255000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,30000.000
IncomeTaxesPaidNet,161000.000,60000.000,1240000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-1892000.000,1129000.000,-1657000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,-59000.000
IncreaseDecreaseInInterestPayableNet,-149000.000,-215000.000,808000.000
IncreaseDecreaseInLeasingReceivables,-284000.000,316000.000,1825000.000
IncreaseDecreaseInOtherOperatingCapitalNet,-3088000.000,-1692000.000,
IncreaseDecreaseInRestrictedCash,-2714000.000,843000.000,21571000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,230352.000
InterestCostsCapitalized,60000.000,152000.000,
InterestCostsCapitalizedAdjustment,,,4933000.000
InterestExpense,28267000.000,29269000.000,88032000.000
InterestPaid,27199000.000,28191000.000,87692000.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,0.950,0.960,
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,,177000000.000
LitigationSettlementExpense,0.000,,
NetCashProvidedByUsedInFinancingActivities,-35079000.000,151800000.000,-231698000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-35079000.000,151800000.000,-231698000.000
NetCashProvidedByUsedInInvestingActivities,-7806000.000,-179408000.000,-10187000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-7806000.000,-179408000.000,-10187000.000
NetCashProvidedByUsedInOperatingActivities,38049000.000,38410000.000,235273000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,38049000.000,38410000.000,235273000.000
NetIncomeLoss,59549000.000,42315000.000,95624000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,826000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,89109000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,88950000.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,0.870,0.580,
NonoperatingIncomeExpense,2927000.000,531000.000,13043000.000
OperatingLeasesIncomeStatementLeaseRevenue,109455000.000,117847000.000,398065000.000
OperatingLeasesRentExpenseNet,289000.000,307000.000,
OtherAssetImpairmentCharges,,,26423000.000
OtherComprehensiveIncomeLossNetOfTax,,,906000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,906000.000
OtherNoncashIncomeExpense,1510000.000,2190000.000,-1656000.000
OtherOperatingActivitiesCashFlowStatement,,,-1200000.000
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,,,225000.000
PartnersCapitalAccountDistributions,56178000.000,60846000.000,
PartnersCapitalAccountExchangesAndConversions,,,-210000.000
PartnersCapitalAccountPrivatePlacementOfUnits,27981000.000,112286000.000,
PartnersCapitalAccountRedemptions,1962000.000,,
PartnersCapitalAccountUnitsRedeemed,170193.000,,
PartnersCapitalAccountUnitsSaleOfUnits,2571757.000,12559130.000,
PaymentsForCapitalImprovements,,,167797000.000
PaymentsForConstructionInProcess,3682000.000,20699000.000,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,,,20848000.000
PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,,,8973000.000
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,1962000.000,0.000,0.000
PaymentsOfCapitalDistribution,31923000.000,19741000.000,
PaymentsOfDividends,,,165858000.000
PaymentsOfFinancingCosts,694000.000,1281000.000,1842000.000
PaymentsToAcquireAndDevelopRealEstate,,,132192000.000
PaymentsToAcquireEquityMethodInvestments,,,37240000.000
PaymentsToAcquireInterestInJointVenture,,,0.000
PaymentsToAcquireLeaseReceivables,4558000.000,1553000.000,6558000.000
PaymentsToAcquireMarketableSecurities,,,0.000
PaymentsToAcquireNotesReceivable,,318000.000,0.000
PaymentsToAcquireProductiveAssets,6860000.000,6295000.000,4408000.000
PaymentsToAcquireRealEstate,49526000.000,152000000.000,
ProceedsFromCollectionOfNotesReceivable,1304000.000,3480000.000,2214000.000
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,738000.000,503000.000,8175000.000
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,0.000,0.000,
ProceedsFromIssuanceOfCommonStock,,,12186000.000
ProceedsFromIssuanceOfLongTermDebt,,,0.000
ProceedsFromIssuanceOfSeniorLongTermDebt,,,0.000
ProceedsFromNotesPayable,0.000,139193000.000,254650000.000
ProceedsFromRelatedPartyDebt,8250000.000,0.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,2078000.000,71959000.000,
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,,,0.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,0.000
ProceedsFromSaleOfPropertyHeldForSale,52327000.000,0.000,370038000.000
ProceedsFromSaleOfRealEstateHeldforinvestment,40836000.000,,370038000.000
ProfitLoss,,,96450000.000
ProvisionForLoanLossesExpensed,2500000.000,0.000,
RealEstateAccumulatedDepreciationOtherDeductions,,,86428000.000
