,2011-06-30
AssetManagementCosts,45157.000
CostOfRealEstateRevenue,16345.000
EarningsPerShareBasicAndDiluted,-0.100
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,-58110.000
GeneralAndAdministrativeExpense,5186.000
GrossProfit,269950.000
ImpairmentOfRealEstate,808325.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-1123382.000
IncomeTaxExpenseBenefit,4992.000
InterestAndFeeIncomeLoansCommercialAndResidentialRealEstate,39698.000
InterestExpense,138500.000
InterestIncomeExpenseNonoperatingNet,-138500.000
NetIncomeLoss,-1127367.000
NetIncomeLossAttributableToNoncontrollingInterest,-1007.000
NoninterestExpenseDirectorsFees,21250.000
OperatingExpenses,1254832.000
OperatingIncomeLoss,-984882.000
OperatingLeasesIncomeStatementMinimumLeaseRevenue,206839.000
OtherGeneralAndAdministrativeExpense,27968.000
OtherNonoperatingExpense,184799.000
ProfessionalFees,92512.000
ProfitLoss,-1128374.000
RealEstateRevenueNet,286295.000
RelatedPartyTransactionAmountsOfTransaction,11525.000
