,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,558419.000,267458.000,400389.000,127506.000,126259.000,163463.000,151385.000,141842.000,162494.000,136095.000,385699.000,209008.000,105466.000,197523.000,141111.000,208261.000,178033.000,537079.000,96815.000,348223.000,95695.000,110468.000,82821.000,124131.000
AccountsReceivableNetCurrent,1694656.000,1451085.000,1653440.000,1529393.000,2012659.000,1482541.000,1017627.000,1993514.000,1444342.000,2376054.000,1790747.000,2689091.000,1250626.000,1164575.000,1593260.000,2278018.000,2044292.000,2183543.000,934754.000,1295747.000,1326665.000,1827347.000,1597997.000,1872691.000
AccruedBonusesCurrent,,,,,458811.000,114500.000,229000.000,343500.000,509615.000,125000.000,250000.000,375000.000,586344.000,100000.000,225000.000,350000.000,431859.000,125000.000,250000.000,375000.000,397917.000,100000.000,200000.000,300000.000
AccruedEmployeeBenefitsCurrent,,,,,,,,,,,,,,,,,87500.000,131250.000,,,,,,
AccruedIncomeTaxesCurrent,62725.000,230425.000,,501542.000,64442.000,86642.000,,752724.000,97324.000,99624.000,131638.000,605449.000,8085.000,12485.000,,652150.000,181950.000,29682.000,,141883.000,,336632.000,,204788.000
AccruedInsuranceCurrent,,,,,,,,,,,,,,,,,,,,124709.000,,,,39016.000
AccruedLiabilitiesCurrent,1002685.000,766881.000,676959.000,794129.000,1047306.000,686940.000,676123.000,787312.000,1036860.000,704436.000,728015.000,860840.000,1077304.000,713705.000,833859.000,852385.000,1002575.000,784605.000,785623.000,1100783.000,1035517.000,898546.000,848328.000,1053136.000
AccruedMarketingCostsCurrent,,,,,,,,,,,,,,,96000.000,,,,,,,,23393.000,21000.000
AccruedSalariesCurrent,,,,,182997.000,128955.000,72306.000,114412.000,162193.000,129101.000,104394.000,113304.000,83782.000,137262.000,127585.000,143041.000,111236.000,139563.000,109451.000,203191.000,140128.000,186871.000,151653.000,203742.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5311040.000,5313771.000,5366204.000,5404609.000,5451084.000,5500746.000,5535589.000,5583338.000,5629010.000,5676501.000,5725318.000,5771469.000,5683664.000,5728307.000,5772974.000,5815682.000,5858946.000,5902131.000,5925429.000,5964759.000,6009210.000,6048374.000,6097640.000,6143782.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,52735.000,20933.000,34612.000,96796.000,142117.000,240534.000,178979.000,195659.000,57799.000,103358.000,132123.000,190757.000,283449.000,235822.000,259869.000,325123.000,231167.000,118131.000,72361.000,172066.000,253522.000,312106.000,175634.000,262537.000
