,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
BusinessCombinationConsiderationTransferredLiabilitiesIncurred,,,,,8573368.000,0.000
CashAcquiredFromAcquisition,,,,,8589354.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,42263516.000,-28908747.000,-1876286.000,37741.000,8230526.000,-49141.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,-6623936.000,0.000,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,-23126407.000,0.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,33067626.000,0.000,,,,
CostsAndExpenses,23963932.000,3109951.000,1588700.000,80410.000,493834.000,581974.000
CurrentFederalTaxExpenseBenefit,,-5222005.000,-5756400.000,,0.000,0.000
CurrentForeignTaxExpenseBenefit,,0.000,0.000,,,
CurrentIncomeTaxExpenseBenefit,,,,54804.000,0.000,100.000
CurrentStateAndLocalTaxExpenseBenefit,,,,,0.000,100.000
DeferredFederalIncomeTaxExpenseBenefit,,,,,-219.000,0.000
DeferredIncomeTaxExpenseBenefit,,0.000,0.000,0.000,,
DeferredIncomeTaxesAndTaxCredits,,,,,-240.000,0.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,,-21.000,0.000
DepreciationAndAmortization,,115924.000,98356.000,0.000,3305.000,3330.000
DepreciationDepletionAndAmortization,101515.000,115926.000,98356.000,0.000,3305.000,3330.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,0.000,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,0.000,,,,
EarningsPerShareBasic,,-0.060,-0.030,0.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,,-0.001,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.373,0.373
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,-0.373,-0.372
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,0.000,-0.000
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,-0.000
ForeignCurrencyTransactionGainLossBeforeTax,-26807.000,31.000,0.000,,,
GainLossOnSaleOfProperties,-159601000.000,,,,,
GainLossOnSaleOfPropertyPlantEquipment,0.000,,,,,
GainOrLossOnSaleOfStockInSubsidiary,-127147771.000,0.000,,,,
GeneralAndAdministrativeExpense,20311395.000,2994025.000,1490344.000,80410.000,268018.000,214310.000
IncomeLossFromContinuingOperations,-23968164.000,-3088865.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-23968164.000,-3088865.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-73591.000,-492239.000,-578039.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.430,-0.060,-0.030,0.000,0.000,-0.000
