,2011-03-27,2011-06-26,2011-09-25,2011-12-25,2012-07-01,2012-09-30,2013-03-31,2013-06-30,2013-09-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26
AmortizationOfFinancingCosts,300000.000,,,,,,300000.000,,,300000.000,,,,400000.000,,,,400000.000,
AmortizationOfIntangibleAssets,,,,,4400000.000,4500000.000,3800000.000,3900000.000,3900000.000,4200000.000,2200000.000,2100000.000,2100000.000,2100000.000,2100000.000,1900000.000,2300000.000,1900000.000,1900000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,,,,,,,,,2700000.000,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4300000.000,7300000.000,,3600000.000,2800000.000,4100000.000,2400000.000,2000000.000,3100000.000,700000.000,2600000.000,-3800000.000,500000.000,2300000.000,3700000.000,-3800000.000,,
AssetImpairmentCharges,,0.000,,,,,,0.000,0.000,600000.000,,900000.000,,-800000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,20900000.000,,,,,,-34900000.000,,,-102000000.000,,,,-75200000.000,,,,-7400000.000,
ComprehensiveIncomeNetOfTax,44000000.000,45500000.000,25900000.000,23300000.000,9100000.000,30100000.000,-5300000.000,-10000000.000,16800000.000,-11400000.000,16100000.000,-3100000.000,-50200000.000,-1700000.000,-1400000.000,-13800000.000,-3400000.000,18000000.000,9100000.000
CostOfGoodsSold,261000000.000,272500000.000,258400000.000,237700000.000,243800000.000,238700000.000,250800000.000,252800000.000,249700000.000,239900000.000,247400000.000,248300000.000,232200000.000,247700000.000,245400000.000,227100000.000,212200000.000,226900000.000,246900000.000
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,,,3000000.000,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-1800000.000,,,,,,800000.000,,,,,,,-200000.000,,,,-500000.000,
Depreciation,,,,,4800000.000,4200000.000,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,38300000.000,,,,,,36400000.000,,,36000000.000,,,,36600000.000,,,,27600000.000,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,,,-100000.000,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,,,12500000.000,
EarningsPerShareBasic,0.340,0.350,0.280,0.180,0.090,0.190,0.000,-0.060,0.100,-0.070,0.140,-0.010,-0.350,0.010,-0.010,-0.070,-0.060,0.130,0.060
EarningsPerShareDiluted,0.330,0.340,0.280,0.170,0.090,0.190,0.000,-0.060,0.090,-0.070,0.140,-0.010,-0.350,0.010,-0.010,-0.070,-0.060,0.130,0.060
