,2011-02-28,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,7300000.000,13200000.000,14200000.000,12700000.000,-27500000.000,13900000.000,14300000.000,7900000.000,-25000000.000,9800000.000,2500000.000,500000.000,-9500000.000,2100000.000,2200000.000,2000000.000,-4200000.000,3500000.000,3700000.000,4800000.000,-8100000.000,5100000.000,5100000.000,4000000.000,-9700000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-369000000.000,,,,-100000000.000,,,,179000000.000,,,,-492000000.000,,,,-220000000.000,,,,-545000000.000,,,
CommonStockDividendsPerShareDeclared,0.120,0.260,0.130,0.130,,0.280,0.140,0.140,0.000,0.300,0.150,0.150,-0.000,0.400,0.200,0.200,0.000,0.500,0.250,0.250,0.000,0.800,0.400,0.400,0.000
ComprehensiveIncomeNetOfTax,291000000.000,513000000.000,417000000.000,619000000.000,-1920000000.000,565000000.000,515000000.000,421000000.000,1193000000.000,452000000.000,588000000.000,393000000.000,790000000.000,606000000.000,523000000.000,458000000.000,-871000000.000,530000000.000,640000000.000,389000000.000,-80000000.000,708000000.000,451000000.000,653000000.000,939000000.000
CostOfPropertyRepairsAndMaintenance,480000000.000,551000000.000,511000000.000,456000000.000,462000000.000,542000000.000,511000000.000,424000000.000,432000000.000,480000000.000,479000000.000,438000000.000,465000000.000,556000000.000,543000000.000,505000000.000,495000000.000,548000000.000,529000000.000,504000000.000,527000000.000,598000000.000,579000000.000,588000000.000,609000000.000
CostsAndExpenses,,,,,,,,,,,,,,,,,,,,,,,,13972000000.000,
DefinedBenefitPlanContributionsByEmployer,,99000000.000,,,,,,,,,,,,165000000.000,,,,165000000.000,,,,250000000.000,,,
DefinedContributionPlanCostRecognized,68000000.000,86000000.000,81000000.000,82000000.000,89000000.000,88000000.000,87000000.000,87000000.000,92000000.000,89000000.000,88000000.000,90000000.000,96000000.000,94000000.000,94000000.000,96000000.000,101000000.000,102000000.000,103000000.000,104000000.000,107000000.000,119000000.000,112000000.000,117000000.000,132000000.000
DepreciationDepletionAndAmortization,493000000.000,509000000.000,518000000.000,543000000.000,543000000.000,573000000.000,592000000.000,599000000.000,622000000.000,639000000.000,647000000.000,652000000.000,649000000.000,651000000.000,651000000.000,652000000.000,657000000.000,648000000.000,653000000.000,663000000.000,667000000.000,739000000.000,740000000.000,762000000.000,754000000.000
EarningsPerShareBasic,0.730,1.460,1.570,1.660,1.750,1.460,1.390,1.140,0.960,1.540,1.580,1.240,2.460,2.130,2.170,2.050,-2.650,2.450,2.470,1.860,-0.190,2.690,2.630,2.110,3.810
EarningsPerShareDiluted,0.730,1.460,1.570,1.650,1.730,1.450,1.390,1.130,0.940,1.530,1.570,1.230,2.420,2.100,2.140,2.010,-2.600,2.420,2.440,1.840,-0.190,2.650,2.590,2.070,3.760
EffectOfExchangeRateOnCashAndCashEquivalents,,13000000.000,,,,15000000.000,,,,-7000000.000,,,,-17000000.000,,,,-38000000.000,,,,3000000.000,,,
