,2011-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AllocatedShareBasedCompensationExpense,,,,400000.000,,1300000.000,800000.000,400000.000,800000.000,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,1924000.000,,,,2045000.000,,,,2014000.000
AmortizationOfIntangibleAssets,,,,,,18520000.000,18064000.000,18064000.000,,14772000.000,14350000.000,14351000.000,15041000.000,11068000.000
BusinessExitCosts1,,,,,,,,8100000.000,,1400000.000,500000.000,3900000.000,-300000.000,200000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,33500000.000,,,,9602000.000,,,,-27187000.000
ComprehensiveIncomeNetOfTax,-6441000.000,,,,,-3636000.000,-8121000.000,-8996000.000,,-2461000.000,-4654000.000,-1421000.000,2350000.000,-2394000.000
CostOfGoodsAndServicesSold,,,,,,264137000.000,260050000.000,276319000.000,,255763000.000,264101000.000,266861000.000,272573000.000,269849000.000
CostOfServices,326684000.000,,,,,,,,,,,,,
CostsAndExpenses,398470000.000,,,,,329219000.000,320644000.000,346635000.000,,317540000.000,321801000.000,329672000.000,332442000.000,330606000.000
DeferredIncomeTaxExpenseBenefit,,,,,,-2256000.000,,,,-2513000.000,,,,-2577000.000
Depreciation,,,,,,2908000.000,,,,2435000.000,,,,2195000.000
DepreciationAndAmortization,6294000.000,,,,,2585000.000,2323000.000,2248000.000,,2076000.000,1998000.000,2096000.000,1974000.000,1982000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,1600000.000,,,,,,,,
EarningsPerShareBasic,-0.130,,,,,,,,,,,,,
EarningsPerShareDiluted,-0.130,,,,,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,0.397
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,200000.000,,600000.000,,,,,,,,
GainLossOnSaleOfAccountsReceivable,,,,,,,,,,200000.000,200000.000,200000.000,400000.000,100000.000
GainLossOnSaleOfBusiness,,,,,,1564000.000,0.000,0.000,36000.000,0.000,0.000,0.000,0.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,-5557000.000,-13263000.000,-16410000.000,,-6186000.000,-6340000.000,-6175000.000,-314000.000,-6535000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,38739000.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,25358000.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.440,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.430,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,-32445000.000,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.570,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.560,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,13381000.000,,,,,-2016000.000,-5095000.000,-7122000.000,,-2028000.000,-297000.000,-3516000.000,-1230000.000,-2593000.000
IncomeTaxesPaidNet,,,,,,-174000.000,,,,1107000.000,,,,-162000.000
IncreaseDecreaseInAccountsReceivable,,,,,,-24591000.000,,,,-8286000.000,,,,21182000.000
IncreaseDecreaseInDeferredRevenue,,,,,,1061000.000,,,,-1506000.000,,,,-1632000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,,,-2151000.000,,,,-4834000.000,,,,-8301000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,-10184000.000,,,,-668000.000,,,,-3763000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,-623000.000,,,,509000.000,,,,-1216000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,-403000.000,,,,2825000.000,,,,943000.000
InterestExpense,137000.000,,,,,26171000.000,26356000.000,25714000.000,,27274000.000,26566000.000,26222000.000,26750000.000,26950000.000
InterestPaid,,,,,,35435000.000,,,,20061000.000,,,,13761000.000
InterestRateCashFlowHedgeGainLossReclassifiedToEarningsNet,,400000.000,400000.000,400000.000,300000.000,,,,,,,,,
InvestmentIncomeInterest,68000.000,,,,,10000.000,24000.000,9000.000,,14000.000,9000.000,11000.000,4000.000,15000.000
LossOnContractTermination,,,,,,,,,,,,900000.000,,
LossOnDerivativeInstrumentsPretax,,1800000.000,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,0.000,,,,0.000,,,,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,0.000,,,,0.000,,,,0.000
NetCashProvidedByUsedInInvestingActivities,,,,,,1832000.000,,,,-3146000.000,,,,-2930000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,1832000.000,,,,-3146000.000,,,,-2930000.000
NetCashProvidedByUsedInOperatingActivities,,,,,,31668000.000,,,,12748000.000,,,,-24257000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,,31668000.000,,,,12748000.000,,,,-24257000.000
NetIncomeLoss,-7087000.000,,,,,-3541000.000,-8168000.000,-9288000.000,,-4158000.000,-6043000.000,-2659000.000,916000.000,-3942000.000
OperatingIncomeLoss,38808000.000,,,,,20604000.000,13069000.000,9295000.000,,21074000.000,20217000.000,20036000.000,26432000.000,20400000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,646000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,-95000.000,47000.000,292000.000,68000.000,1697000.000,1389000.000,1238000.000,1434000.000,1548000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,,,,,,1193000.000,1141000.000,-1116000.000,-5796000.000,-2851000.000,-2715000.000,-2656000.000,-2686000.000,-2715000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,725000.000,694000.000,-678000.000,-3523000.000,-1733000.000,-1650000.000,-1614000.000,-1605000.000,-1659000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,,,,,,468000.000,447000.000,-438000.000,-2273000.000,-1118000.000,-1065000.000,-1042000.000,-1081000.000,-1056000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,,,,,,-1349000.000,-1064000.000,-635000.000,-1016000.000,-59000.000,-430000.000,-619000.000,-273000.000,-182000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,,,-820000.000,-647000.000,-386000.000,-617000.000,-36000.000,-261000.000,-376000.000,-171000.000,-111000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,,,,,,-529000.000,-417000.000,-249000.000,-399000.000,-23000.000,-169000.000,-243000.000,-102000.000,-71000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,3660000.000,,,,3146000.000,,,,2930000.000
ProceedsFromDivestitureOfBusinesses,,,,,,5492000.000,,,,0.000,,,,
ProceedsFromLinesOfCredit,,,,,,0.000,,,,,,,,
RelatedPartyTransactionPurchasesFromRelatedParty,,1800000.000,1500000.000,1000000.000,3300000.000,1100000.000,1200000.000,2400000.000,600000.000,,2200000.000,4000000.000,,3300000.000
RepaymentsOfLinesOfCredit,,,,,,0.000,,,,,,,,
RepaymentsOfLongTermDebt,,,,,,0.000,,,,,,,,
RestructuringCharges,,,,,,111000.000,,,,1355000.000,,,,627000.000
RestructuringReserveAccrualAdjustment,,,,,,,,,,,-2400000.000,-2400000.000,,-900000.000
RestructuringReserveSettledWithCash,,-887000.000,,,,,,,,,,,,
Revenues,437278000.000,,,,,349823000.000,333713000.000,355930000.000,,338614000.000,342018000.000,349708000.000,358874000.000,351006000.000
SalesRevenueNet,437278000.000,,,,,349823000.000,333713000.000,355930000.000,,338614000.000,342018000.000,349708000.000,358874000.000,351006000.000
SellingGeneralAndAdministrativeExpense,65492000.000,,,,,45541000.000,40207000.000,50004000.000,,44929000.000,41352000.000,46364000.000,42854000.000,47707000.000
ShareBasedCompensation,,,,,,1334000.000,,,,2223000.000,600000.000,600000.000,487000.000,1590000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,,,,,820.000,,,,245.000,,,,550.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,,3309.000,,,,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,,,,,200.000,,,,200.000,,,,310.000
