,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AmortizationOfDeferredLeasingFees,77246.000,73412.000,77933.000,208150.000,128699.000,110552.000,120856.000,154079.000
AmortizationOfFinancingCosts,,,90904.000,,,,90904.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2023015.000,,,,-1196485.000,
CostsAndExpenses,2203810.000,2248615.000,2236483.000,2447896.000,2775034.000,3039139.000,2901189.000,3079283.000
Depreciation,648277.000,631015.000,653396.000,743812.000,786215.000,686674.000,807497.000,1010357.000
DividendIncomeOperating,268.000,254.000,223.000,195.000,153.000,,,
ExchangeFees,,,,,,,3000.000,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,-1098.210,-1336.930
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,2830.000,
IncreaseDecreaseInAccruedLiabilities,,,-396362.000,,,,-4247.000,
IncreaseDecreaseInDeferredCharges,,,,,,,500434.000,
IncreaseDecreaseInInterestPayableNet,,,-2677.000,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,-13793.000,
InterestAndDividendIncomeOperating,,,,,,,227.000,140.000
InterestExpenseDebt,1394642.000,1386869.000,1370996.000,1362892.000,1354674.000,1346341.000,1337891.000,1364014.000
InterestPaid,,,1282769.000,,,,1249817.000,
NetCashProvidedByUsedInFinancingActivities,,,-2445079.000,,,,-1447005.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-2445079.000,,,,-1447005.000,
NetCashProvidedByUsedInOperatingActivities,,,422064.000,,,,250520.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,422064.000,,,,250520.000,
NetIncomeLoss,-71574.000,2969603.000,-104215.000,-315647.000,5063461.000,-906892.000,-768744.000,-935849.000
OperatingLeasesIncomeStatementInitialDirectCosts,,,,,,,7380.000,
OtherGeneralExpense,,,,,,,16975.000,23866.000
PaymentsOfCapitalDistribution,,,,,,,261605.000,
PercentageRent,,,,,,,1053800.000,
ProfessionalFees,36800.000,108841.000,85680.000,71677.000,339088.000,331290.000,367600.000,345470.000
RelatedPartyCosts,46845.000,48478.000,48478.000,48478.000,49134.000,369462.000,49135.000,49134.000
RepaymentsOfNotesPayable,,,,,,,612953.000,
Revenues,2132236.000,5218218.000,2132268.000,2132249.000,7838495.000,2132247.000,2132445.000,2143434.000
SalesRevenueNet,2132236.000,5218218.000,2132268.000,2132249.000,7838495.000,2132247.000,2132445.000,2143434.000
