,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetRetirementObligationAccretionExpense,4459.000,6017.000,,,,,7656.000,,,,7783.000,,,,8142.000,,,,8489.000,,,,8889.000
AssetRetirementObligationLiabilitiesIncurred,,,4002.000,,,,,,,,149.000,,,,3724.000,,,,,,,,809.000
AssetRetirementObligationLiabilitiesSettled,,,,,,,5051.000,,,,,,,,13853.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,180654.000,,,,114804.000,,,,,,,,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,,99199.000,,,,2574.000,,,,-20646.000,,,,5575.000
CostsAndExpenses,,,3434261.000,4279546.000,6351979.000,6375398.000,2399169.000,3238855.000,1288937.000,4525255.000,1068953.000,1110722.000,918269.000,4129403.000,4959650.000,5668791.000,4932835.000,4223748.000,1809156.000,795521.000,411326.000,390555.000,412485.000
DepreciationDepletionAndAmortization,2612908.000,4115813.000,2201907.000,1783323.000,1488655.000,1059974.000,913975.000,975281.000,741117.000,739855.000,570796.000,614339.000,490445.000,561191.000,419021.000,379444.000,328374.000,237490.000,156483.000,133211.000,110021.000,108132.000,90999.000
GeneralAndAdministrativeExpense,196294.000,382768.000,377886.000,269961.000,44689.000,-128744.000,137897.000,128441.000,95180.000,90373.000,96605.000,126845.000,96990.000,79926.000,59565.000,64742.000,39449.000,35624.000,35445.000,54779.000,30937.000,38244.000,40263.000
IncreaseDecreaseInDueFromAffiliatesCurrent,,,-2310861.000,,,,-356649.000,,,,7097.000,,,,-326355.000,,,,-69237.000,,,,50039.000
IncreaseDecreaseInDueToAffiliatesCurrent,,,316843.000,,,,211819.000,,,,126210.000,,,,4146.000,,,,50152.000,,,,26011.000
IncreaseDecreaseInPrepaidTaxes,,,,,,,2500.000,,,,2500.000,,,,15086.000,,,,12108.000,,,,1705.000
InterestIncomeOperating,,,,,,,,,,,,1038.000,,,,,,,,,,,
InvestmentIncomeInterest,5554.000,1811.000,216.000,142.000,7.000,0.000,,1131.000,,,,,,,,,,,,,,,
LeaseOperatingExpense,285987.000,450848.000,460184.000,332830.000,350579.000,599115.000,353373.000,296569.000,363853.000,431546.000,287483.000,261317.000,250581.000,318595.000,311152.000,231775.000,242300.000,220494.000,321766.000,209326.000,231260.000,197353.000,228786.000
NaturalGasProductionRevenue,2831675.000,4488510.000,2081125.000,1280957.000,1163831.000,1095525.000,1225077.000,1043174.000,962220.000,880901.000,1077600.000,941297.000,688110.000,557216.000,329902.000,289890.000,261919.000,242481.000,177083.000,234952.000,258871.000,305558.000,301884.000
NetCashProvidedByUsedInFinancingActivities,,,-7750001.000,,,,-2741775.000,,,,-1950251.000,,,,-698055.000,,,,-168152.000,,,,-358112.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-7750001.000,,,,-2741775.000,,,,-1950251.000,,,,-698055.000,,,,-168152.000,,,,-358112.000
