,2011-07-30,2011-10-29,2012-01-28,2012-04-28,2012-07-28,2012-10-27,2013-02-02,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03
AccountsPayableCurrent,250000000.000,348000000.000,301000000.000,280000000.000,277000000.000,374000000.000,263000000.000,232000000.000,289000000.000,467000000.000,368000000.000,313000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,51000000.000,,,,53000000.000,
AccruedIncomeTaxesCurrent,4000000.000,7000000.000,19000000.000,28000000.000,2000000.000,8000000.000,40000000.000,31000000.000,1000000.000,6000000.000,42000000.000,47000000.000
AccruedInsuranceCurrent,,,,,,,71000000.000,,,,71000000.000,
AccruedLiabilitiesForUnredeeemedGiftCards,,,,,,,33000000.000,,,,36000000.000,
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,66000000.000,71000000.000,74000000.000,78000000.000,82000000.000,77000000.000,54000000.000,52000000.000,54000000.000,57000000.000,54000000.000,56000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1066000000.000,1086000000.000,1079000000.000,1095000000.000,1112000000.000,1134000000.000,1164000000.000,1186000000.000,1195000000.000,1217000000.000,1242000000.000,1266000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,6000000.000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,8000000.000,7000000.000,6000000.000,8000000.000,6000000.000,6000000.000,6000000.000,5000000.000,4000000.000,4000000.000,,-1000000.000
AdditionalPaidInCapitalCommonStock,44000000.000,46000000.000,48000000.000,49000000.000,50000000.000,49000000.000,49000000.000,48000000.000,60000000.000,63000000.000,124000000.000,125000000.000
Assets,1577000000.000,1770000000.000,1822000000.000,1865000000.000,1686000000.000,1901000000.000,1541000000.000,1519000000.000,1622000000.000,1866000000.000,1801000000.000,1704000000.000
AssetsCurrent,1086000000.000,1278000000.000,1334000000.000,1383000000.000,1193000000.000,1387000000.000,1047000000.000,1027000000.000,1123000000.000,1345000000.000,1273000000.000,1182000000.000
AssetsNoncurrent,181000000.000,176000000.000,176000000.000,172000000.000,167000000.000,170000000.000,156000000.000,151000000.000,152000000.000,168000000.000,170000000.000,160000000.000
CashAndCashEquivalentsAtCarryingValue,27000000.000,111000000.000,371000000.000,385000000.000,113000000.000,161000000.000,56000000.000,55000000.000,51000000.000,68000000.000,234000000.000,112000000.000
CommonStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
