,2011-06-30
CostOfGoodsSold,-964177.000
EarningsPerShareBasicAndDiluted,0.110
GeneralAndAdministrativeExpense,-312292.000
GrossProfit,1681853.000
IncomeLossFromContinuingOperations,1030503.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,1006035.000
IncomeTaxExpenseBenefit,-256339.000
InterestExpense,-24356.000
InterestIncomeOperating,27.000
NetIncomeLoss,749696.000
OtherOperatingIncomeExpenseNet,-139.000
Revenues,2646030.000
SalesRevenueNet,2646030.000
SellingAndMarketingExpense,-339058.000
WeightedAverageNumberOfSharesOutstandingBasic,7123322.000
