,2012-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-5702.000
Depreciation,13269.000
GeneralAndAdministrativeExpense,94877.000
IncomeLossFromContinuingOperations,171232.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,5.520
IncreaseDecreaseInCustomerDeposits,-41862.000
IncreaseDecreaseInOtherAccountsPayable,9592.000
IncreaseDecreaseInOtherAccruedLiabilities,472.000
IncreaseDecreaseInOtherOperatingAssets,34136.000
InterestAndDividendIncomeOperating,9.000
InterestPaid,0.000
MinorityInterestInNetIncomeLossOfConsolidatedEntities,14127.000
NetCashProvidedByUsedInFinancingActivities,-206668.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-206668.000
NetCashProvidedByUsedInInvestingActivities,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000
NetCashProvidedByUsedInOperatingActivities,200966.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,200966.000
NetIncomeLoss,185359.000
NetIncomeLossAllocatedToGeneralPartners,1712.000
NetIncomeLossAllocatedToLimitedPartners,169520.000
NetIncomeLossAttributableToNoncontrollingInterest,14127.000
OperatingCostsAndExpenses,422090.000
OperatingExpenses,263130.000
OperatingIncomeLoss,171232.000
OtherCostAndExpenseOperating,17439.000
OtherGeneralAndAdministrativeExpense,33375.000
OtherRealEstateRevenue,55964.000
PartnersCapitalAccountDistributions,-206668.000
PaymentsOfCapitalDistribution,193768.000
PaymentsOfDividendsMinorityInterest,12900.000
PaymentsToAcquireProductiveAssets,0.000
ProfitLoss,171232.000
RetailRevenue,551476.000
Revenues,607449.000
SalesRevenueNet,607449.000
WeightedAverageLimitedPartnershipUnitsOutstanding,30693.000
