,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AmortizationOfDebtDiscountPremium,,,,,,,,-20000000.000,-20000000.000,,-18000000.000,-6000000.000,0.000,0.000,0.000,0.000,0.000,0.000,,
AmortizationOfFinancingCosts,,,2000000.000,,,,-10000000.000,,,,-13000000.000,,,,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,202000000.000,,,,51000000.000,,,,-106000000.000,,,,-765000000.000,,,,-54000000.000,
CashDividendsPaidToParentCompany,,,,,,,680000000.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,118000000.000,191000000.000,199000000.000,73000000.000,310000000.000,-120000000.000,-54000000.000,-49000000.000,-13000000.000,-185000000.000,-134000000.000,-291000000.000,68000000.000,-44000000.000,-271000000.000,-7000000.000,46000000.000,-72000000.000,-24000000.000,26000000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,2000000.000,2000000.000,,12000000.000,6000000.000,5000000.000,5000000.000,5000000.000,2000000.000,0.000,,0.000,0.000,0.000,,,
DebtorReorganizationItemsDebtorInPossessionFacilityFinancingCosts,,,,,,,,,,,,93000000.000,0.000,,,0.000,0.000,,14000000.000,0.000
DeferredIncomeTaxExpenseBenefit,,,-2000000.000,,,,0.000,,,,-1000000.000,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,-0.190,-0.423,0.494,0.241,0.085,0.231
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,,,0.350,,,,0.350,
EquityMethodInvestmentDividendsOrDistributions,,,36000000.000,,,,31000000.000,,,,37000000.000,,,,74000000.000,,,,40000000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,71000000.000,72000000.000,46000000.000,33000000.000,15000000.000,-22000000.000,100000000.000,-190000000.000,-196000000.000,-320000000.000,-286000000.000,-482000000.000,-79000000.000,-11000000.000,-412000000.000,-142000000.000,-162000000.000,-5000000.000,-94000000.000,-78000000.000
IncomeLossFromEquityMethodInvestments,72000000.000,113000000.000,57000000.000,83000000.000,109000000.000,21000000.000,67000000.000,74000000.000,114000000.000,80000000.000,80000000.000,72000000.000,123000000.000,74000000.000,75000000.000,75000000.000,127000000.000,57000000.000,62000000.000,85000000.000
IncomeTaxEffectsAllocatedDirectlyToEquity,,,,,,,,,,,,,,,,,,,-8000000.000,
IncomeTaxExpenseBenefit,25000000.000,25000000.000,17000000.000,12000000.000,6000000.000,-8000000.000,36000000.000,-67000000.000,-68000000.000,-70000000.000,-72000000.000,-118000000.000,-25000000.000,60000000.000,-65000000.000,-60000000.000,-80000000.000,117000000.000,-8000000.000,-18000000.000
IncomeTaxReconciliationDeductionsOther,,,,,,,,,,,,,,,70000000.000,65000000.000,86000000.000,,,
IncomeTaxReconciliationNondeductibleExpense,,,,,,,,,,,,,,,,,,,0.000,
