,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccruedLiabilitiesCurrent,60775.000,810828.000,422996.000,5634.000,37884.000,11269.000,4415.000,168.000,14533.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,78263624.000,,
AccumulatedAmortizationDeferredFinanceCosts,1643422.000,1734326.000,1825231.000,1916135.000,2007039.000,2097944.000,2188848.000,2279752.000,2392550.000
Assets,80076056.000,83633152.000,81212379.000,79241695.000,79516416.000,84879874.000,76852983.000,74838185.000,79999933.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,14160000.000,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,7480000.000,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,24000.000,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,24000.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,24000.000,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,6230000.000,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,378000.000,,
CashAndCashEquivalentsAtCarryingValue,10101205.000,10076605.000,10466377.000,8443362.000,6875462.000,3300369.000,2095727.000,899242.000,1295087.000
CashAndDueFromBanks,,,,,,,243776.000,,
CashFDICInsuredAmount,,,,,,,250000.000,,
DebtInstrumentFaceAmount,,,,,,,100000000.000,100000000.000,100000000.000
DeferredCosts,683118.000,1349185.000,2140059.000,2432116.000,3052936.000,3020383.000,3310685.000,3453410.000,3669736.000
DeferredCostsLeasingAccumulatedAmortization,2899269.000,2972681.000,1444673.000,1522605.000,1509865.000,1638565.000,1749117.000,1669186.000,1639896.000
DeferredCostsLeasingNet,1210552.000,1137140.000,1066705.000,1185885.000,1159550.000,3270895.000,3043218.000,2922361.000,3475858.000
DeferredFinanceCostsNet,1230210.000,1139306.000,1048401.000,957497.000,866593.000,775688.000,684783.000,655379.000,875169.000
DeferredOfferingCosts,,,,,,,1625927.000,,
DeferredRentReceivablesNet,,,,,,,,,11075.000
DueFromRelatedParties,87202.000,87202.000,87202.000,87202.000,87202.000,5706265.000,87202.000,87202.000,87202.000
EntityNotSubjectToIncomeTaxesDifferenceInBasesAmount,,,,,,,8625000.000,,
InterestPayableCurrent,433720.000,431118.000,428479.000,425802.000,423088.000,420336.000,417546.000,414716.000,423929.000
Land,7240000.000,7240000.000,7240000.000,7240000.000,7240000.000,7240000.000,7240000.000,,
Liabilities,95193052.000,96042149.000,94053838.000,92448974.000,93300947.000,94400672.000,90342394.000,89357945.000,95717147.000
LongTermDebtFairValue,,,,,,,93764586.000,92905010.000,96053326.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,2503464.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,86605985.000,,
MembersEquity,,,,,,,-13489411.000,-14519760.000,-15717214.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,21951.000,,
OfferingCostsPartnershipInterests,,,,,,,290042.000,83271.000,91729.000
OtherReceivables,3357.000,3357.000,3357.000,3357.000,9201.000,12226.000,0.000,10513.000,47248.000
PrepaidInsurance,,,,,31617.000,21632.000,15764.000,1971.000,
RealEstateAccumulatedDepreciation,,,,,,,33403883.000,,
RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,,,,,,,89109449.000,,
RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,,,,,,,76819488.000,,
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,,,,,,,16960000.000,,
RealEstateAndAccumulatedDepreciationInitialCostOfLand,,,,,,,7240000.000,,
RealEstateGrossAtCarryingValue,,,,,,,101019488.000,,
RealEstateInvestmentPropertyNet,66760412.000,66754374.000,66400278.000,66132276.000,67433855.000,68685214.000,67615604.000,66808107.000,70538558.000
RentalProperties,16960000.000,16960000.000,16960000.000,16960000.000,16960000.000,16960000.000,,,
SecuredDebt,92614550.000,92050349.000,91478304.000,90898304.000,90310237.000,89713990.000,89109449.000,88496496.000,92257412.000
TenantImprovements,6008077.000,5793417.000,5793417.000,5870165.000,7695538.000,8418335.000,,,
USGovernmentSecuritiesAtCarryingValue,,,10460092.000,,,,1851951.000,,
