,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,3762767.000,5656925.000,6701026.000,7569921.000,7785449.000,7366079.000,7570723.000,8621887.000,7262409.000,6306378.000,6789274.000,6195125.000,4259732.000,3624978.000,3918493.000,4088031.000,3472856.000,3478960.000
AccountsPayableCurrent,,,,,,,1973106.000,,,,1808335.000,,,,1080167.000,1162925.000,968100.000,1601746.000
AccountsReceivableNetCurrent,3571623.000,4542665.000,7198645.000,4294539.000,3521934.000,2640528.000,5034422.000,2799413.000,3542027.000,3875367.000,2730077.000,2586640.000,2076696.000,1960558.000,1820945.000,1231062.000,1312015.000,1849623.000
AccruedProfessionalFeesCurrent,,,,,,,25000.000,,,,50000.000,,,,157500.000,287229.000,300785.000,171141.000
AccruedRoyaltiesCurrent,,,,,,,210000.000,,,,164000.000,,,,175000.000,104000.000,105000.000,102648.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,6909587.000,,,,7333084.000,,,,3881879.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,353.000,,,,,,,,,,,,,,,,
AcquiredFiniteLivedIntangibleAssetAmount,,,,,,,,11678000.000,11678000.000,,,,,,,,,
AcquiredIndefiniteLivedIntangibleAssetAmount,,,,,90000.000,90000.000,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,358807510.000,371506894.000,373598144.000,377478000.000,382170356.000,388618723.000,393000325.000,394636649.000,400552282.000,405446657.000,407907019.000,413591361.000,423329255.000,422781305.000,422745539.000,426138126.000,429104567.000,429334193.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
