,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,1000000.000,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,4000000.000,4000000.000,4000000.000,5000000.000,7000000.000,9000000.000,8000000.000,8000000.000,7000000.000,7000000.000,6000000.000,7000000.000,6000000.000,6000000.000,6000000.000,7000000.000,7000000.000,7000000.000,7000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.000,0.000,0.000,,,1000000.000,0.000,,1000000.000,1000000.000,1000000.000,-2000000.000,1000000.000,0.000,0.000,-1000000.000,0.000,0.000,0.000
BusinessCombinationAcquisitionRelatedCosts,,,,,5000000.000,0.000,0.000,0.000,0.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,54000000.000,,,,-107000000.000,,,,-253000000.000,,,,5000000.000,,,,-71000000.000,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,13000000.000,,,,,,,,,,
CommonStockDividendsPerShareCashPaid,0.180,0.180,0.180,,0.200,0.200,0.200,0.200,0.220,0.210,0.220,0.210,0.230,0.230,0.230,0.230,0.230,0.230,0.230
ComprehensiveIncomeNetOfTax,170000000.000,161000000.000,8000000.000,,140000000.000,76000000.000,145000000.000,138000000.000,82000000.000,97000000.000,168000000.000,195000000.000,148000000.000,154000000.000,34000000.000,26000000.000,53000000.000,156000000.000,61000000.000
CostOfGoodsAndServicesSold,,,,,,,315000000.000,,331000000.000,340000000.000,330000000.000,342000000.000,338000000.000,343000000.000,342000000.000,343000000.000,318000000.000,341000000.000,344000000.000
CostOfGoodsSold,296000000.000,306000000.000,293000000.000,286000000.000,310000000.000,324000000.000,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,2000000.000,,,,20000000.000,,,,6000000.000,,,,-4000000.000,,,,-3000000.000,,
DefinedBenefitPlanNetPeriodicBenefitCost,2000000.000,3000000.000,2000000.000,2000000.000,2000000.000,,,,,,,,,,,,,,
DefinedContributionPlanCostRecognized,,,,,,3000000.000,3000000.000,,6000000.000,5000000.000,,,,,,,,,
DepreciationDepletionAndAmortization,26000000.000,,,,32000000.000,,,,35000000.000,,,,33000000.000,,,,32000000.000,,
EarningsPerShareBasic,0.980,0.930,0.970,0.900,0.970,0.950,0.930,0.950,1.020,0.990,0.990,1.090,1.060,1.120,0.910,1.110,1.050,1.000,0.950
EarningsPerShareDiluted,0.970,0.910,0.950,0.890,0.960,0.940,0.920,0.950,1.010,0.980,0.980,1.090,1.050,1.110,0.900,1.110,1.040,0.980,0.940
EffectOfExchangeRateOnCashAndCashEquivalents,7000000.000,,,,3000000.000,,,,-14000000.000,,,,1000000.000,,,,-23000000.000,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,2000000.000,,,,7000000.000,,,,3000000.000,,,,-1000000.000,,,,,,
FiniteLivedIntangibleAssetsUsefulLifeMaximum,20.000,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsUsefulLifeMinimum,1.000,,,,,,,,,,,,,,,,,,
GoodwillAcquiredDuringPeriod,3000000.000,,,,227000000.000,,,,-1000000.000,,,,,,,,,,
GoodwillPeriodIncreaseDecrease,-22000000.000,,,,,,,,,,,,,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,5000000.000,,,,5000000.000,,,,-15000000.000,,,,2000000.000,,,,-17000000.000,,
GrossProfit,336000000.000,331000000.000,333000000.000,324000000.000,355000000.000,340000000.000,324000000.000,328000000.000,344000000.000,341000000.000,334000000.000,342000000.000,351000000.000,358000000.000,348000000.000,362000000.000,358000000.000,356000000.000,359000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,165000000.000,158000000.000,158000000.000,159000000.000,171000000.000,166000000.000,155000000.000,163000000.000,165000000.000,165000000.000,157000000.000,170000000.000,173000000.000,184000000.000,152000000.000,168000000.000,175000000.000,168000000.000,160000000.000
IncomeTaxExpenseBenefit,46000000.000,45000000.000,41000000.000,51000000.000,54000000.000,51000000.000,43000000.000,47000000.000,43000000.000,46000000.000,38000000.000,39000000.000,47000000.000,51000000.000,44000000.000,35000000.000,49000000.000,48000000.000,46000000.000
IncomeTaxesPaidNet,8000000.000,,,,11000000.000,,,,12000000.000,,,,13000000.000,,,,9000000.000,,
IncreaseDecreaseInAccountsPayable,15000000.000,,,,6000000.000,,,,-4000000.000,,,,15000000.000,,,,2000000.000,,
IncreaseDecreaseInAccountsReceivable,48000000.000,,,,46000000.000,,,,51000000.000,,,,32000000.000,,,,21000000.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,33000000.000,,,,13000000.000,,,,21000000.000,,,,34000000.000,,,,35000000.000,,
IncreaseDecreaseInInventories,12000000.000,,,,16000000.000,,,,-4000000.000,,,,5000000.000,,,,27000000.000,,
