,2011-06-30,2011-09-30
AssetRetirementObligationAccretionExpense,4495.000,4541.000
CostOfGoodsSoldOilAndGas,89070.000,69204.000
CostsAndExpenses,124247.000,109655.000
DepreciationDepletionAndAmortization,3623.000,3086.000
GeneralAndAdministrativeExpense,27059.000,32824.000
InterestIncomeOperating,1.000,1.000
NetIncomeLoss,,43790.000
NetIncomeLossAllocatedToGeneralPartners,668.000,469.000
NetIncomeLossAllocatedToLimitedPartners,56499.000,39102.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,5.390,3.730
OilAndGasRevenue,187425.000,153444.000
ProfitLoss,63179.000,
Revenues,187426.000,153445.000
SalesRevenueNet,187426.000,153445.000
