,2011-06-30
CashAcquiredFromAcquisition,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,33274.000
ComprehensiveIncomeNetOfTax,-18538.000
DepreciationAndAmortization,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,0.000
ExplorationExpenseMining,0.000
FinancingInterestExpense,0.000
GainLossOnDispositionOfAssets,0.000
GeneralAndAdministrativeExpense,18538.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-18538.000
IncreaseDecreaseInDueFromRelatedParties,0.000
IncreaseDecreaseInDueToAffiliates,5000.000
IncreaseDecreaseInDueToRelatedParties,0.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-4231.000
IncreaseDecreaseInPrepaidExpense,0.000
InterestExpense,0.000
MinorityInterestInNetIncomeLossOtherMinorityInterests,0.000
NetCashProvidedByUsedInFinancingActivities,51043.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,51043.000
NetCashProvidedByUsedInInvestingActivities,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000
NetCashProvidedByUsedInOperatingActivities,-17769.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-17769.000
NetIncomeLoss,-18538.000
NetIncomeLossAttributableToNoncontrollingInterest,0.000
NonoperatingIncomeExpense,0.000
OperatingIncomeLoss,-18538.000
OtherAssetImpairmentCharges,0.000
OtherIncome,0.000
PaymentsToAcquireMachineryAndEquipment,0.000
ProceedsFromContributionsFromAffiliates,0.000
ProceedsFromIssuanceOfCommonStock,0.000
ProceedsFromMinorityShareholders,0.000
ProceedsFromOtherDebt,0.000
ProceedsFromRelatedPartyDebt,0.000
ProceedsFromShortTermDebt,51043.000
RepaymentsOfShortTermDebt,0.000
WeightedAverageNumberOfDilutedSharesOutstanding,57761834.000
