,2011-06-30,2011-09-30
AccountsNotesAndLoansReceivableNetCurrent,5076000.000,4039000.000
AccountsPayableCurrent,4094000.000,3354000.000
AccountsReceivableNetCurrent,4228000.000,3214000.000
AccruedIncomeTaxesCurrent,110000.000,454000.000
AccruedLiabilitiesCurrent,9714000.000,9817000.000
AccruedRentCurrent,2176000.000,836000.000
AccruedSalariesCurrent,1962000.000,2559000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,36441000.000,37849000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3721000.000,-4020000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1144000.000,1766000.000
Assets,81169000.000,80913000.000
AssetsCurrent,29589000.000,29803000.000
BuildingsAndImprovementsGross,31016000.000,31016000.000
CashAndCashEquivalentsAtCarryingValue,17362000.000,18973000.000
CommonStockParOrStatedValuePerShare,0.800,0.800
CommonStockSharesAuthorized,10000.000,10000.000
CommonStockSharesIssued,6102.000,6102.000
CommonStockValue,4882000.000,4882000.000
ConstructionInProgressGross,1546000.000,1101000.000
CustomerAdvancesAndDepositsCurrent,1326000.000,1551000.000
DeferredTaxAssetsNetCurrent,1278000.000,1725000.000
DeferredTaxAssetsNetNoncurrent,695000.000,68000.000
DeferredTaxLiabilitiesNoncurrent,0.000,0.000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,6122000.000,5911000.000
FurnitureAndFixturesGross,34640000.000,35641000.000
HedgingLiabilitiesCurrent,1911000.000,2383000.000
InterestPayableCurrent,200000.000,199000.000
InventoryNet,931000.000,1031000.000
Land,3202000.000,3202000.000
LeaseholdImprovementsGross,9498000.000,10811000.000
LiabilitiesAndStockholdersEquity,81169000.000,80913000.000
LiabilitiesCurrent,15831000.000,15430000.000
LongTermDebtCurrent,697000.000,708000.000
LongTermDebtNoncurrent,37024000.000,36842000.000
LongTermInvestmentsAndReceivablesNet,3960000.000,3554000.000
NotesAndLoansReceivableNetCurrent,848000.000,825000.000
OtherAccruedLiabilitiesCurrent,1500000.000,1612000.000
OtherAssetsNoncurrent,3207000.000,3309000.000
OtherLiabilitiesNoncurrent,898000.000,797000.000
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,1855000.000,1774000.000
PrepaidExpenseAndOtherAssetsCurrent,2442000.000,1535000.000
PropertyPlantAndEquipmentGross,79902000.000,81771000.000
PropertyPlantAndEquipmentNet,43461000.000,43922000.000
RestrictedCashAndCashEquivalentsAtCarryingValue,2500000.000,2500000.000
RestrictedCashAndCashEquivalentsNoncurrent,257000.000,257000.000
RetainedEarningsAccumulatedDeficit,32186000.000,33124000.000
StockholdersEquity,21294000.000,21933000.000
TreasuryStockShares,2404.000,2404.000
TreasuryStockValue,12053000.000,12053000.000
