,2014-03-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,688000.000,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,778000.000,,,,870000.000,
AllocatedShareBasedCompensationExpense,194000.000,710000.000,688000.000,676000.000,654000.000,696000.000,778000.000,871000.000,892000.000,894000.000,870000.000,922000.000
AmortizationOfDebtDiscountPremium,,,7000.000,,,,6000.000,,,,4000.000,
AmortizationOfFinancingCosts,,,45000.000,,,,48000.000,,,,68000.000,
AmortizationOfIntangibleAssets,131000.000,138000.000,161000.000,162000.000,141000.000,158000.000,159000.000,162000.000,168000.000,170000.000,177000.000,178000.000
CapitalExpendituresIncurredButNotYetPaid,,,46000.000,,,,220000.000,,,,219000.000,
ContractRevenueCost,3911000.000,3789000.000,3717000.000,,,,3056000.000,2803000.000,2742000.000,2073000.000,2120000.000,2794000.000
CostOfGoodsSold,4998000.000,4566000.000,4087000.000,5219000.000,4063000.000,4239000.000,4298000.000,4000000.000,4626000.000,4422000.000,4081000.000,2876000.000
CostsAndExpenses,11511000.000,13580000.000,14856000.000,16541000.000,14592000.000,15956000.000,14987000.000,15533000.000,16168000.000,15259000.000,15381000.000,16377000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,,,,544000.000,
DepreciationDepletionAndAmortization,,,553000.000,,,,479000.000,,,,318000.000,
EarningsPerShareBasic,0.500,,,-0.400,,,,,,,,
EarningsPerShareBasicAndDiluted,,-0.280,-0.370,,-0.330,,-0.420,-0.470,-0.340,-0.420,-0.460,-0.420
EarningsPerShareDiluted,0.330,,,-0.400,,,,,,,,
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,6338000.000,,,,,,,,,,,
FairValueAdjustmentOfWarrants,231000.000,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,-2000.000,,,,
GeneralAndAdministrativeExpense,1236000.000,3497000.000,2687000.000,2670000.000,2835000.000,2993000.000,3017000.000,2973000.000,3116000.000,2460000.000,3005000.000,2999000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3534000.000,-4981000.000,-6757000.000,-7142000.000,-5914000.000,-8634000.000,-9397000.000,-10484000.000,-7492000.000,-9327000.000,-10427000.000,-11037000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3534000.000,-4981000.000,-6759000.000,-7142000.000,-5914000.000,,,,,,,
IncomeTaxExpenseBenefit,,,2000.000,,,,3000.000,,,,2000.000,
IncomeTaxesPaid,,,1000.000,,,,3000.000,,,,1000.000,
IncreaseDecreaseInAccountsPayable,,,1077000.000,,,,-1453000.000,,,,1053000.000,
IncreaseDecreaseInAccountsReceivable,,,-106000.000,,,,-1339000.000,,,,-2172000.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-1163000.000,,,,-554000.000,,,,-742000.000,
IncreaseDecreaseInDeferredRevenue,,,3000.000,,,,-30000.000,,,,-67000.000,
IncreaseDecreaseInInventories,,,874000.000,,,,-38000.000,,,,-492000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-308000.000,,,,-534000.000,,,,94000.000,
IncreaseDecreaseInUnbilledReceivables,,,-151000.000,,,,71000.000,,,,211000.000,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,2063989.000,,,,,,,,,,,
InterestExpense,1780000.000,1586000.000,1669000.000,1896000.000,1925000.000,1956000.000,1977000.000,1971000.000,1984000.000,2015000.000,2042000.000,2049000.000
InterestIncomeOther,,,,,5000.000,,,,,,,
InterestPaid,,,1252000.000,,,,1481000.000,,,,1512000.000,
InvestmentIncomeNonoperating,1000.000,2000.000,2000.000,4000.000,,,30000.000,58000.000,54000.000,29000.000,28000.000,44000.000
NetCashProvidedByUsedInContinuingOperations,,,3542000.000,,,,-9190000.000,,,,-6758000.000,
NetCashProvidedByUsedInFinancingActivities,,,9954000.000,,,,-140000.000,,,,356000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,9954000.000,,,,-140000.000,,,,356000.000,
NetCashProvidedByUsedInInvestingActivities,,,-526000.000,,,,-733000.000,,,,-1039000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-526000.000,,,,-733000.000,,,,-1039000.000,
NetCashProvidedByUsedInOperatingActivities,,,-5886000.000,,,,-8317000.000,,,,-6075000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-5886000.000,,,,-8317000.000,,,,-6075000.000,
NetIncomeLoss,3534000.000,-4981000.000,-6759000.000,,,,-9400000.000,-10484000.000,-7492000.000,-9327000.000,-10429000.000,-11037000.000
NetIncomeLossAvailableToCommonStockholdersBasic,1114000.000,,-6759000.000,-7142000.000,,,,,,,,
NetIncomeLossAvailableToCommonStockholdersDiluted,1961000.000,,,-7142000.000,,,,,,,,
NotesIssued1,,,365000.000,,,,441000.000,,,,,
OperatingIncomeLoss,-794000.000,-3397000.000,-5090000.000,-5250000.000,-3994000.000,-6690000.000,-7450000.000,-8571000.000,-5562000.000,-7341000.000,-8413000.000,-9032000.000
OtherSalesRevenueNet,304000.000,304000.000,297000.000,296000.000,797000.000,296000.000,295000.000,293000.000,1359000.000,294000.000,267000.000,267000.000
PaymentsToAcquireIntangibleAssets,,,198000.000,,,,266000.000,,,,212000.000,
PaymentsToAcquirePropertyPlantAndEquipment,,,328000.000,,,,467000.000,,,,827000.000,
ProceedsFromIssuanceOfLongTermDebt,,,10000000.000,,,,,,,,,
ProceedsFromStockOptionsExercised,,,9000.000,,,,9000.000,,,,222000.000,
RepaymentsOfLongTermCapitalLeaseObligations,,,187000.000,,,,199000.000,,,,73000.000,
RepaymentsOfLongTermDebt,,,16000.000,,,,18000.000,,,,19000.000,
