,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,10300.000,9252.000,27697.000,25378.000,23741.000,10939.000,20183.000,28024.000,18314.000,14085.000,10955.000,30484.000,28208.000,24399.000,23373.000,30930.000,39708.000,53389.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2139834.000,2148683.000,2157532.000,2166381.000,2175230.000,2184079.000,2192928.000,2201777.000,2210626.000,2219475.000,2228324.000,2237173.000,2246022.000,2254871.000,2263720.000,2272569.000,2281418.000,2290267.000
Assets,2008544.000,2014001.000,2001990.000,1979585.000,1983650.000,1968889.000,1975289.000,1944251.000,1951805.000,1948805.000,1942486.000,1937001.000,1935828.000,1914024.000,1905212.000,1890150.000,1918271.000,1892507.000
AssetsCurrent,204543.000,218849.000,215687.000,202131.000,215045.000,209133.000,224382.000,202193.000,218596.000,224445.000,226975.000,230339.000,238015.000,225060.000,225097.000,218884.000,255854.000,238939.000
BuildingsAndImprovementsGross,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000,1238879.000
CashAndCashEquivalentsAtCarryingValue,157929.000,173831.000,169872.000,153226.000,168783.000,164742.000,179489.000,152534.000,170613.000,178025.000,177072.000,178379.000,190112.000,178214.000,173242.000,164195.000,203699.000,188483.000
DepositsAssetsCurrent,,,1534.000,,,,1534.000,,,,1709.000,,,,1940.000,,,
DueFromRelatedPartiesCurrent,44927.000,43484.000,44281.000,47102.000,44549.000,42767.000,43359.000,48125.000,45924.000,44536.000,48194.000,50426.000,46369.000,45312.000,49915.000,52829.000,50377.000,48759.000
DueToRelatedPartiesCurrent,42675.000,43932.000,44363.000,44101.000,45058.000,46700.000,48353.000,49581.000,50053.000,50693.000,51253.000,51735.000,52627.000,54770.000,54773.000,56569.000,42397.000,41556.000
GeneralPartnersCapitalAccount,-29496.000,-29443.000,-29752.000,-29950.000,-29903.000,-29939.000,-29984.000,-30385.000,-30217.000,-30211.000,-30248.000,-30503.000,-30501.000,-30702.000,-30780.000,-31024.000,-30689.000,-31075.000
Land,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000,1430345.000
LandImprovements,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000,375661.000
LiabilitiesAndStockholdersEquity,2008544.000,2014001.000,2001990.000,1979585.000,1983650.000,1968889.000,1975289.000,1944251.000,1951805.000,1948805.000,1942486.000,1937001.000,1935828.000,1914024.000,1905212.000,1890150.000,1918271.000,1892507.000
LiabilitiesCurrent,52975.000,53184.000,72060.000,69479.000,68799.000,57639.000,68536.000,77605.000,68367.000,64778.000,62208.000,82219.000,80835.000,79169.000,78146.000,87499.000,82105.000,94945.000
LimitedPartnersCapitalAccount,1985065.000,1990260.000,1959682.000,1940056.000,1944754.000,1941189.000,1936737.000,1897031.000,1913655.000,1914238.000,1910526.000,1885285.000,1885494.000,1865557.000,1857846.000,1833675.000,1866855.000,1828637.000
LimitedPartnersCapitalAccountUnitsOutstanding,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000,27006.000
MachineryAndEquipmentGross,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000,898950.000
OtherAssetsCurrent,1687.000,1534.000,,1803.000,1713.000,1624.000,,1534.000,2059.000,1884.000,,1534.000,1534.000,1534.000,,1860.000,1778.000,1697.000
OtherPartnersCapital,,,,,,,5465.000,,,,5465.000,,,,5465.000,,,
PartnersCapital,1955569.000,1960817.000,1929930.000,1910106.000,1914851.000,1911250.000,1906753.000,1866646.000,1883438.000,1884027.000,1880278.000,1854782.000,1854993.000,1834855.000,1827066.000,1802651.000,1836166.000,1797562.000
PropertyPlantAndEquipmentGross,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000,3943835.000
PropertyPlantAndEquipmentNet,1804001.000,1795152.000,1786303.000,1777454.000,1768605.000,1759756.000,1750907.000,1742058.000,1733209.000,1724360.000,1715511.000,1706662.000,1697813.000,1688964.000,1680115.000,1671266.000,1662417.000,1653568.000
RealEstateAccumulatedDepreciation,,,,,,,1293977.000,,,,1329373.000,,,,1364769.000,,,
RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,,,,,,,1293977.000,,,,,,,,,,,
RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,,,,,,,,,,,,,,,0.000,,,
RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,,,,,,,3044885.000,,,,,,,,,,,
RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionCarryingCosts,,,,,,,,,,,,,,,0.000,,,
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,,,,,,,1238879.000,,,,1238879.000,,,,1238879.000,,,
RealEstateAndAccumulatedDepreciationInitialCostOfLand,,,,,,,1806006.000,,,,1806006.000,,,,1806006.000,,,
RealEstateFederalIncomeTaxBasis,,,,,,,2910462.000,,,,2910462.000,,,,2910462.000,,,
RealEstateGrossAtCarryingValue,,,,,,,3044885.000,,,,3044885.000,,,,3044885.000,,,
