,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,0.000,0.000,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,-303948.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,79387.000,,-100324.000,,,,-113028.000,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,-112730.000,
CostOfGoodsAndServicesSoldDepreciationAndAmortization,,,,,2000.000,,,,,
CostOfRevenue,,,,,,33561.000,17.000,,29758.000,36508.000
DebtConversionConvertedInstrumentAmount1,,,,,,,,,1053387.000,
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,,,111673.000,
Depreciation,,,2089.000,232.000,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,1593.000,483.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,-805232.000,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.003,0.000,-0.020,-0.010,-0.010,-0.010,-0.010,-0.010,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,317.000,,185.000,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,,-298.000,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,1.000,
FairValueAssumptionsExpectedDividendRate,,,,,,,,,0.000,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,0.718,
ForeignCurrencyTransactionLossBeforeTax,,,79070.000,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,-263452.000,,,
GeneralAndAdministrativeExpense,66007.000,76479.000,70759.000,116799.000,236601.000,155321.000,172490.000,211211.000,192892.000,157728.000
GrossProfit,122079.000,133466.000,33465.000,,,120528.000,118834.000,,232257.000,441334.000
IncomeLossFromContinuingOperations,-25799.000,-45280.000,-160398.000,-300417.000,-462170.000,-504977.000,-728473.000,-878035.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,7330.000,33882.000,-462170.000,-504977.000,-728473.000,-878035.000,-379814.000,-84865.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-59051.000,-77735.000,-194675.000,-1109180.000,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,-194675.000,-1109180.000,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,-0.010,-0.010,-0.010,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,748247.000,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,-56985.000,,,,,,
IncomeTaxExpenseBenefit,,,,,3055.000,-3055.000,,,,
IncomeTaxesPaid,,,,,5464.000,,,,,
IncomeTaxesPaidNet,0.000,0.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,73744.000,,-24234.000,,,,171853.000,
IncreaseDecreaseInAccountsReceivable,,,58114.000,,-18194.000,,,,-19947.000,
IncreaseDecreaseInClientFundsHeld,,,,,2219.000,,,,,
IncreaseDecreaseInDeferredCharges,,,-32704.000,,-52403.000,,,,-2529.000,
IncreaseDecreaseInDepositOtherAssets,,,,,,,,,-17026.000,
IncreaseDecreaseInDeposits,,,-174252.000,,28091.000,,,,,
IncreaseDecreaseInDueToAffiliates,,,228734.000,,,,,,,
IncreaseDecreaseInInventoryForLongTermContractsOrPrograms,,,-168338.000,,,,,,,
IncreaseDecreaseInNotesPayableRelatedParties,,,77135.000,,,,,,,
IncreaseDecreaseInRestrictedCash,,,-232728.000,,,,,,,
IndefiniteLivedIntangibleAssetsWrittenOffRelatedToSaleOfBusinessUnit,,,,,,,489708.000,,,
InterestExpense,-34095.000,-32780.000,-34574.000,-3531.000,7496.000,36719.000,17720.000,33235.000,20314.000,20164.000
InterestExpenseDebt,,,,,,,,,3782.000,2284.000
InterestPaid,,,,,7517.000,,,,10295.000,
