,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
OperatingExpenses,2436000.000,2439000.000,3304000.000,3138000.000,2901000.000,3035000.000,2897000.000,3023000.000,2870000.000,3062000.000,2833000.000,2825000.000,2703000.000,2724000.000,2648000.000,2480000.000,2408000.000,2242000.000,2315000.000,2063000.000,2235000.000
OperatingIncomeLoss,158000.000,-8000.000,-1393000.000,176000.000,-413000.000,-583000.000,-624000.000,-925000.000,-1113000.000,413000.000,653000.000,-582000.000,-1323000.000,-1188000.000,-1875000.000,-2014000.000,-200000.000,235000.000,-414000.000,-292000.000,166000.000
PaymentsToAcquireAssetsInvestingActivities,,,,,0.000,,,,,,,,,,,,,,,,
PaymentsToAcquireIntangibleAssets,,,70000.000,,171000.000,,,,215000.000,,,,1000.000,,,,4000.000,,,,25000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,22000.000,,46000.000,,,,29000.000,,,,132000.000,,,,2000.000,,,,18000.000
ProceedsFromIssuanceOfLongTermDebt,,,1550000.000,,0.000,,,,,,,,,,,,,,,,
ProceedsFromLinesOfCredit,,,3792000.000,,,,,,,,,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,,,400000.000,,,,0.000
ProceedsFromRepaymentsOfLinesOfCredit,,,,,,,,,-25000.000,,,,426000.000,,,,190000.000,,,,-74000.000
ProceedsFromStockOptionsExercised,,,0.000,,,,,,,,,,,,,,,,,,
ProvisionForDoubtfulAccounts,,,0.000,,,,,,,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,,65000.000,,70000.000,,,,70000.000,,,,69000.000,,,,63000.000,,,,44000.000
ResearchAndDevelopmentExpense,675000.000,684000.000,907000.000,815000.000,855000.000,836000.000,780000.000,902000.000,840000.000,929000.000,865000.000,782000.000,804000.000,925000.000,869000.000,733000.000,693000.000,694000.000,711000.000,643000.000,628000.000
SalesRevenueGoodsNet,7206000.000,7004000.000,6508000.000,8610000.000,6719000.000,7146000.000,6823000.000,7182000.000,5578000.000,8828000.000,8659000.000,6064000.000,4742000.000,5283000.000,5704000.000,5214000.000,5943000.000,5682000.000,5432000.000,5449000.000,5973000.000
SellingExpense,593000.000,687000.000,800000.000,865000.000,826000.000,885000.000,874000.000,787000.000,812000.000,881000.000,807000.000,904000.000,843000.000,773000.000,776000.000,680000.000,652000.000,664000.000,645000.000,498000.000,679000.000
ShareBasedCompensation,,,62000.000,,71000.000,,,,66000.000,,,,57000.000,,,,45000.000,,,,79000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,,6263.000,,,,,,6240000.000,6320000.000,,,6263000.000,6555000.000,,,7036000.000,7738000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,6216.000,6216000.000,6216000.000,6216000.000,-12432000.000,6216000.000,,,,6263000.000,,,,6765000.000,,,,8122000.000
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,,,,6216000.000,6226000.000,,,6263000.000,6555000.000,,,7029000.000,7738000.000,,
