,2011-06-30
DepreciationDepletionAndAmortization,1589805.000
DirectCommunicationsAndUtilitiesCosts,202004.000
DirectTaxesAndLicensesCosts,112431.000
EarningsPerShareBasic,-0.300
EarningsPerShareDiluted,-0.300
FuelCosts,5652241.000
GainLossOnSaleOfPropertyPlantEquipment,2642.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-3641519.000
IncomeTaxExpenseBenefit,7200.000
InterestExpense,2513660.000
InvestmentIncomeInterest,1297.000
LaborAndRelatedExpense,4117729.000
NetIncomeLoss,-3648719.000
OperatingExpenses,30130092.000
OperatingIncomeLoss,-1129156.000
OperatingInsuranceAndClaimsCostsProduction,769363.000
OtherCostAndExpenseOperating,1599369.000
Revenues,29000936.000
SalesRevenueNet,29000936.000
WeightedAverageNumberOfDilutedSharesOutstanding,12016681.000
WeightedAverageNumberOfSharesOutstandingBasic,12016681.000
