,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AmortizationOfFinancingCosts,3499000.000,2815000.000,3710000.000,11552000.000
CapitalExpendituresIncurredButNotYetPaid,1885000.000,25298000.000,598000.000,1359000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,141269000.000,-111167000.000,-58572000.000,-5158000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,190954000.000,218795000.000,165816000.000,179069000.000
CostOfPropertyRepairsAndMaintenance,19425000.000,27287000.000,22952000.000,17520000.000
DebtInstrumentBasisSpreadOnVariableRate1,,0.040,,
DeferredIncomeTaxExpenseBenefit,758000.000,419000.000,557000.000,855000.000
Depreciation,22229000.000,23105000.000,49663000.000,61441000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,316700000.000,,0.000,
DistributionMadeToLimitedPartnerCashDistributionsPaid,,142755000.000,12950000.000,6650000.000
EnvironmentalRemediationExpense,0.000,0.000,,0.000
GainLossOnSaleOfPropertyPlantEquipment,,,16000.000,-567000.000
GainsLossesOnExtinguishmentOfDebt,-6689000.000,,0.000,
IncomeLossAttributableToParent,106971000.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,155750000.000,121012000.000,52634000.000,-49747000.000
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,154351000.000,,,
IncomeTaxExpenseBenefit,1399000.000,1564000.000,613000.000,806000.000
IncomeTaxesPaid,298000.000,1350000.000,1200000.000,100000.000
IncreaseDecreaseInAccountsPayableRelatedParties,-1939000.000,-671000.000,1511000.000,861000.000
IncreaseDecreaseInAccountsPayableTrade,-66000.000,2246000.000,-2106000.000,491000.000
IncreaseDecreaseInAccountsReceivable,16915000.000,-9207000.000,-7253000.000,-6384000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,,5180000.000,-3858000.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,350000.000,-253000.000,-41000.000,469000.000
IncreaseDecreaseInInterestPayableNet,973000.000,-6746000.000,-7480000.000,-893000.000
IncreaseDecreaseInInventories,-444000.000,2166000.000,-178000.000,1569000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-3599000.000,3438000.000,1672000.000,-4710000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,3958000.000,596000.000,858000.000,-2021000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,,-282000.000,0.000,0.000
InterestCostsCapitalized,655000.000,6410000.000,8586000.000,0.000
InterestCostsIncurred,31764000.000,24863000.000,28807000.000,46873000.000
InterestExpense,16684000.000,18250000.000,20018000.000,45096000.000
InterestExpenseRelatedParty,14038000.000,203000.000,203000.000,1777000.000
InterestPaidNet,11531000.000,15772000.000,15166000.000,34376000.000
NetCashProvidedByUsedInFinancingActivities,52358000.000,-110244000.000,61516000.000,-30009000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,52358000.000,-110244000.000,61516000.000,-30009000.000
NetCashProvidedByUsedInInvestingActivities,-52634000.000,-152160000.000,-221037000.000,-6761000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-52634000.000,-152160000.000,-221037000.000,-6761000.000
NetCashProvidedByUsedInOperatingActivities,141545000.000,151237000.000,100949000.000,31612000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,141545000.000,151237000.000,100949000.000,31612000.000
NetIncomeLoss,,119448000.000,,-50553000.000
NetIncomeLossAllocatedToLimitedPartners,47380000.000,119448000.000,52021000.000,-50553000.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,0.590,1.480,0.610,-0.580
NotesReduction,2172000.000,,0.000,
OperatingIncomeLoss,188007000.000,138524000.000,72732000.000,-2297000.000
OtherNonoperatingIncomeExpense,5154000.000,941000.000,123000.000,-577000.000
PartnersCapitalAccountDistributions,,,,6650000.000
PaymentsForRepurchaseOfInitialPublicOffering,,,0.000,
PaymentsOfDebtIssuanceCosts,13397000.000,5982000.000,5701000.000,2038000.000
PaymentsOfStockIssuanceCosts,4266000.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,52634000.000,152160000.000,223540000.000,6785000.000
ProceedsFromContributionsFromAffiliates,,60000000.000,60000000.000,0.000
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,295312000.000,,0.000,
ProceedsFromIssuanceOfDebt,518775000.000,,90000000.000,69500000.000
ProceedsFromLongTermLinesOfCredit,,,,0.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,2503000.000,24000.000
ProvisionForDoubtfulAccounts,0.000,0.000,0.000,0.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,4326000.000,4160000.000
RepaymentsOfLinesOfCredit,,,,94500000.000
RepaymentsOfRelatedPartyDebt,168310000.000,,0.000,34170000.000
RepaymentsOfSecuredDebt,251000000.000,3985000.000,19230000.000,204480000.000
RevenueFromRelatedParties,,,10753000.000,10995000.000
Revenues,427964000.000,402780000.000,309443000.000,258229000.000
SalesRevenueNet,427964000.000,402780000.000,309443000.000,258229000.000
SellingGeneralAndAdministrativeExpense,26774000.000,22356000.000,21232000.000,20016000.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,79656250.000,80918531.000,85970912.000,86997590.000
