,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AffiliateCosts,144000000.000,161000000.000,169000000.000,145000000.000,162000000.000,185000000.000,183000000.000,165000000.000,,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,-22000000.000,,,,-15000000.000,,,,-11000000.000,,,,-6000000.000,,,,-4000000.000,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,,,,-2000000.000
AmortizationOfIntangibleAssets,,287000000.000,274000000.000,,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,13000000.000,,,,26000000.000,,,,26000000.000,,,,25000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,0.000,,,,1000000.000,,,,13000000.000
ComprehensiveIncomeNetOfTax,218000000.000,178000000.000,212000000.000,241000000.000,264000000.000,246000000.000,218000000.000,236000000.000,,,,,,,,,301000000.000,291000000.000,,,278000000.000
CostOfGoodsAndServicesSold,743000000.000,694000000.000,737000000.000,694000000.000,645000000.000,690000000.000,715000000.000,740000000.000,698000000.000,698000000.000,701000000.000,782000000.000,692000000.000,743000000.000,734000000.000,703000000.000,708000000.000,731000000.000,757000000.000,738000000.000,720000000.000
CostsAndExpensesRelatedParty,,,,,,,,,188000000.000,188000000.000,197000000.000,183000000.000,248000000.000,238000000.000,249000000.000,225000000.000,251000000.000,231000000.000,237000000.000,222000000.000,227000000.000
DeferredIncomeTaxExpenseBenefit,-62000000.000,,,,-49000000.000,,,,-87000000.000,,,,-93000000.000,,,,-18000000.000,,,,-32000000.000
DepreciationAndAmortization,568000000.000,574000000.000,569000000.000,579000000.000,530000000.000,529000000.000,535000000.000,534000000.000,498000000.000,500000000.000,501000000.000,506000000.000,462000000.000,464000000.000,466000000.000,465000000.000,419000000.000,424000000.000,424000000.000,424000000.000,391000000.000
DepreciationDepletionAndAmortization,,,,,,,,,,,,,462000000.000,,,,419000000.000,,,,391000000.000
DividendsCommonStockCash,,,,,,,,,,,,,,,,,300000000.000,,,,250000000.000
GainsLossesOnExtinguishmentOfDebt,,-46000000.000,-1000000.000,,,,0.000,,,,,,,,,,,,,,
ImpairmentOfRealEstate,,,,,,,,,,16000000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,401000000.000,,414000000.000,390000000.000,439000000.000,490000000.000,492000000.000,467000000.000,414000000.000,390000000.000,452000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,354000000.000,291000000.000,345000000.000,401000000.000,430000000.000,401000000.000,357000000.000,378000000.000,413000000.000,418000000.000,,,,,,,,,,,
IncomeTaxExpenseBenefit,136000000.000,113000000.000,133000000.000,160000000.000,166000000.000,155000000.000,139000000.000,142000000.000,160000000.000,162000000.000,156000000.000,161000000.000,167000000.000,152000000.000,171000000.000,169000000.000,188000000.000,179000000.000,159000000.000,152000000.000,174000000.000
IncomeTaxesPaidNet,,,,,215000000.000,,,,248000000.000,,,,261000000.000,,,,206000000.000,,,,205000000.000
IncreaseDecreaseInAccountsPayable,-82000000.000,,,,49000000.000,,,,64000000.000,,,,36000000.000,,,,78000000.000,,,,59000000.000
IncreaseDecreaseInAccountsReceivable,11000000.000,,,,29000000.000,,,,-39000000.000,,,,-8000000.000,,,,11000000.000,,,,-42000000.000
IncreaseDecreaseInAccruedTaxesPayable,42000000.000,,,,34000000.000,,,,40000000.000,,,,33000000.000,,,,31000000.000,,,,16000000.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,,,,,,,281000000.000,,,,260000000.000,,,,398000000.000,,,,83000000.000
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,,,,0.000,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,-71000000.000,,,,1000000.000,,,,-8000000.000,,,,-12000000.000,,,,55000000.000,,,,147000000.000
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,7000000.000,,,,7000000.000,,,,1000000.000,,,,6000000.000,,,,17000000.000,,,,-12000000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,-2000000.000,,,,-2000000.000,,,,0.000,,,,-5000000.000,,,,8000000.000
IncreaseDecreaseInOtherOperatingLiabilities,5000000.000,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPensionAndPostretirementObligations,,,,,,,,,-13000000.000,,,,,,,,,,,,
InterestExpense,113000000.000,116000000.000,113000000.000,101000000.000,108000000.000,112000000.000,116000000.000,114000000.000,116000000.000,116000000.000,115000000.000,117000000.000,118000000.000,119000000.000,119000000.000,117000000.000,121000000.000,120000000.000,121000000.000,116000000.000,114000000.000
InterestExpenseRelatedParty,,,,,16000000.000,12000000.000,20000000.000,16000000.000,13000000.000,12000000.000,13000000.000,2000000.000,13000000.000,13000000.000,13000000.000,14000000.000,14000000.000,15000000.000,15000000.000,15000000.000,15000000.000
InterestPaidCapitalized,,,,,4000000.000,,,,4000000.000,,,,5000000.000,,,,4000000.000,,,,7000000.000
InterestPaidNet,,,,,87000000.000,,,,92000000.000,,,,99000000.000,,,,101000000.000,,,,101000000.000
