,2011-11-26,2012-02-25,2012-05-26
CashAndCashEquivalentsPeriodIncreaseDecrease,-3166000.000,,
CostOfGoodsSold,7744000.000,25947000.000,30011000.000
Depreciation,591000.000,,
EarningsPerShareBasic,-0.080,0.090,0.260
EarningsPerShareDiluted,-0.080,0.090,0.250
EffectOfExchangeRateOnCashAndCashEquivalents,-190000.000,,
GainLossOnSaleOfPropertyPlantEquipment,231000.000,,
GrossProfit,5538000.000,12510000.000,20746000.000
ImpairmentOfInvestments,,,677000.000
IncomeTaxExpenseBenefit,-69000.000,42000.000,44000.000
IncreaseDecreaseInAccountsPayableTrade,-1439000.000,,
IncreaseDecreaseInAccountsReceivable,-11047000.000,,
IncreaseDecreaseInAccruedLiabilities,-709000.000,,
IncreaseDecreaseInInventories,6700000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,340000.000,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,316000.000,,
InvestmentIncomeInterest,13000.000,16000.000,22000.000
NetCashProvidedByUsedInFinancingActivities,2000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2000.000,,
NetCashProvidedByUsedInInvestingActivities,-1742000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1742000.000,,
NetCashProvidedByUsedInOperatingActivities,-1236000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1236000.000,,
NetIncomeLoss,-3044000.000,3703000.000,10031000.000
OperatingIncomeLoss,-3427000.000,3767000.000,10698000.000
OtherNonoperatingIncomeExpense,301000.000,-38000.000,32000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,231000.000,,
ResearchAndDevelopmentExpense,3696000.000,3332000.000,4303000.000
SalesRevenueGoodsNet,13282000.000,38457000.000,50757000.000
SellingGeneralAndAdministrativeExpense,5269000.000,5411000.000,5745000.000
ShareBasedCompensation,352000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,38862000.000,39614000.000,39916000.000
WeightedAverageNumberOfSharesOutstandingBasic,38862000.000,39010000.000,39186000.000
