,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2015-03-31,2015-06-30,2015-09-30
AdditionsToNoncurrentAssets,,,,,,,50000.000,,,,,
AmortizationOfIntangibleAssets,,,,5544.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,100000.000,10000.000,,10000.000,,,,,
AssetRetirementObligationPeriodIncreaseDecrease,,,,,,,1684.000,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,2340.000,,,,-52000.000,,,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,,,,12555.000,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,119202.000,48668.000,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,174538.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-49788.000,,,,,,,1919404.000,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,-186158.000,,,,0.000,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,-33066.000,,,,0.000,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,300903.000,,,,0.000,,,,,
ComprehensiveIncomeNetOfTax,-539451.000,2475178.000,-968241.000,316085.000,-417743.000,-1521496.000,-910283.000,-648445.000,-78584.000,-1201228.000,-262276.000,-268180.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-22530.000,-4861.000,-529557.000,166194.000,-27143.000,-127823.000,-214079.000,-28246.000,-37000.000,-32754.000,-19832.000,-20300.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-561981.000,2470317.000,-1497798.000,482279.000,-390600.000,-666947.000,-696204.000,-620199.000,-41584.000,-1233982.000,-282108.000,-288480.000
CostOfGoodsAndServicesSold,2999218.000,-4461083.000,-800816.000,-699483.000,2382994.000,5201180.000,1117999.000,776742.000,2094948.000,,,
CostOfRevenue,,,,,,,,,,3701.000,2580.000,1758.000
CostsAndExpenses,,,,,,,,,,875178.000,233682.000,
CostsIncurredAcquisitionOfOilAndGasProperties,,,,,,,131100.000,,,,,
Depletion,,,,,,,26.000,52.000,23.000,,,
DepletionOfOilAndGasProperties,,,,,,,,,,,,189.000
Depreciation,,,,15168.000,15168.000,,11406.000,11406.000,11467.000,443.000,887.000,
