,2012-04-30,2013-04-30,2015-04-30,2016-04-30
AdjustmentForAmortization,,,,55619.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,-195697.000,52021.000,,
AmortizationOfAcquiredIntangibleAssets,,216784.000,325175.000,
AmortizationOfAcquisitionCosts,73930.000,42084.000,,
AmortizationOfIntangibleAssets,,216784.000,325175.000,325175.000
AmortizationOfLeasedAsset,,,57494.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,658104.000
CashPeriodIncreaseDecrease,-7604518.000,1561885.000,-953596.000,
ComprehensiveIncomeNetOfTax,-3517493.000,-3635657.000,,
CostOfRevenue,11017190.000,7745576.000,14167851.000,16041136.000
Depreciation,,,2032240.000,994648.000
DepreciationExpense,1334960.000,1587892.000,,
DerivativeGainLossOnDerivativeNet,5203.000,,,
DerivativeGainOnDerivative,-5203.000,,,
EarningsPerShareBasic,,-0.020,,
EarningsPerShareBasicAndDiluted,-0.030,,-0.030,-0.030
EarningsPerShareDiluted,,-0.020,,
EffectOfExchangeRateOnCash,,,5576.000,-27567.000
EffectOfExchangeRateOnCashAndCashEquivalents,234335.000,113413.000,,
GainLossOnDispositionOfAssets,673931.000,209500.000,,
GainLossOnDispositionOfProperty,673931.000,209500.000,,1622762.000
GeneralAndAdministrativeExpense,4160616.000,4591168.000,4696527.000,3195818.000
GrossProfit,1914988.000,2056952.000,3344206.000,1973932.000
ImpairmentChargeOnReclassifiedAssets,,232079.000,,
IncomeLossAttributableToNoncontrollingInterest,54258.000,,,
IncomeLossAttributableToParent,-4341456.000,-4010728.000,,
IncomeLossFromContinuingOperations,,-3709009.000,-4611764.000,-5008619.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-4412798.000,-4791603.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-4395714.000,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.030,-0.020,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.000,,,
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,-4395714.000,-3974140.000,,
IncomeTaxExpenseBenefit,,-36588.000,109341.000,5263.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,742000.000,1806454.000,1826072.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-1351000.000,-1500351.000,-1629145.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-159000.000,-176512.000,-191664.000
IncomeTaxesPaid,,41486.000,24781.000,5263.000
IncreaseDecreaseInAccountsAndNotesReceivable,-133948.000,792181.000,1334060.000,-1563159.000
IncreaseDecreaseInAccountsPayable,,,1536101.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1465745.000,-400067.000,,3230458.000
IncreaseDecreaseInAccountsReceivableRelatedParties,-336269.000,-671878.000,-2770733.000,-98258.000
IncreaseDecreaseInAccruedTaxesPayable,-48089.000,-167604.000,73752.000,109734.000
IncreaseDecreaseInDueToOtherRelatedParties,,3560.000,,
IncreaseDecreaseInDueToRelatedParties,162383.000,,,
IncreaseDecreaseInIncomeTaxesReceivable,44196.000,,,
IncreaseDecreaseInInventories,-867429.000,-786053.000,-1976823.000,453800.000
IncreaseDecreaseInOtherLoans,,794483.000,,
IncreaseDecreaseInOtherNoncurrentAssets,,,,7875.000
IncreaseDecreaseInOtherReceivables,,-3245.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-563063.000,-523007.000,,-1024337.000
IncreaseDecreaseInPrepaidExpense,,,529068.000,
IncreaseDecreaseInReceivables,-1625110.000,,,
InterestExpense,,,-79082.000,-124397.000
InterestExpenseRelatedParty,,,-289693.000,-158631.000
InterestIncomeExpenseNet,,-25303.000,,
InterestPaid,,,284940.000,146741.000
InterestPaidNet,,,289693.000,158631.000
InvestmentIncomeInterest,85441.000,,2572.000,983.000
IssuanceOfStockAndWarrantsForServicesOrClaims,628131.000,,,
NetCashProvidedByUsedInContinuingOperations,-3949629.000,,,
NetCashProvidedByUsedInFinancingActivities,78508.000,798043.000,-219650.000,1038809.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,78508.000,798043.000,-219650.000,1038809.000
NetCashProvidedByUsedInInvestingActivities,-3967732.000,-1351408.000,-359758.000,-402180.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3967732.000,-1351408.000,-359758.000,-402180.000
NetCashProvidedByUsedInOperatingActivities,-3949629.000,2001837.000,-379764.000,49042.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3949629.000,2001837.000,-379764.000,49042.000
NetIncomeLoss,-4395714.000,-4010728.000,-4522139.000,-4796866.000
OperatingExpenses,5736615.000,5765961.000,7955970.000,6982551.000
OperatingIncomeLoss,-3821627.000,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,878221.000,,,
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,375071.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,242520.000,-1083200.000
OtherComprehensiveIncomeLossNetOfTax,,,,-5880066.000
OtherComprehensiveIncomeLossTax,-3463235.000,-3635657.000,-4279619.000,
OtherExpenses,,-239828.000,,
OtherIncome,-574087.000,-265131.000,198966.000,215556.000
OtherNoncashExpense,,,1684122.000,
OtherNonoperatingIncomeExpense,,,45984.000,217016.000
OtherOperatingIncomeExpenseNet,-664731.000,,,
PaymentsToAcquireHeldForSaleRealEstate,-1899259.000,,,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,-626125.000,,,
ProceedsFromCollectionOfLoansReceivable,185712.000,1923759.000,,
ProceedsFromLoans,,,-814054.000,1326172.000
ProceedsFromRelatedPartyDebt,-83875.000,,,
PropertyPlantAndEquipmentAdditions,,,,-402180.000
PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,-1628060.000,-3271922.000,,
RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,,,6081939.000,
RelatedPartyTransactionRevenuesFromTransactionsWithRelatedParty,1451056.000,2503147.000,,
ResearchAndDevelopmentExpense,,,253966.000,836168.000
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,,100000.000,253966.000,836168.000
RevenueFromGrants,,,519185.000,283505.000
RevenueFromRelatedParties,,2503147.000,6081939.000,8698333.000
Revenues,12932178.000,9802528.000,17512057.000,18015068.000
SalesRevenueNet,11481122.000,7299381.000,11430118.000,9316735.000
SellingExpense,902068.000,965293.000,1353596.000,1327803.000
ShippingHandlingAndTransportationCosts,,200000.000,294868.000,260630.000
StockIssuedDuringPeriodSharesAcquisitions,,1625874.000,,
StockIssuedDuringPeriodSharesEmployeeBenefitPlan,,810000.000,,
StockIssuedDuringPeriodSharesIssuedForServices,,,,402500.000
WeightedAverageNumberOfDilutedSharesOutstanding,,167886887.000,173882803.000,182066546.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,173882803.000,182066546.000
WeightedAverageNumberOfSharesIssuedBasic,,167886887.000,173882803.000,182066546.000
WeightedAverageNumberOfSharesOutstandingBasic,157017324.000,,,
