,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,943000.000,,,,1123000.000,,,,820000.000,,,,896000.000,,,,651000.000,,,,398000.000
AmortizationOfDeferredCharges,,,,,,,1379000.000,,,,511000.000,,,,436000.000,,,,593000.000,,,,770000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,1700000.000
BusinessAcquisitionsProFormaRevenue,,,,67706400.000,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,9133000.000,,,,12956000.000,,,,-1473000.000,,,,2972000.000,,,,-5979000.000,,,,3350000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,,,,,,,900000.000,,,,200000.000,,,,200000.000
ComprehensiveIncomeNetOfTax,,,22899000.000,22927000.000,24968000.000,25543000.000,22700000.000,24710000.000,20788000.000,15386000.000,24238000.000,22288000.000,30789000.000,28308000.000,31054000.000,30623000.000,34224000.000,41543000.000,42305000.000,38978000.000,35081000.000,41778000.000,25626000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,25075000.000,,21289000.000,21297000.000,21960000.000,25670000.000,27875000.000,23704000.000,32298000.000,30034000.000,35081000.000,32366000.000,36305000.000,44812000.000,47232000.000,41333000.000,36247000.000,32679000.000,27942000.000
CostsAndExpenses,23652000.000,24434000.000,,,,,,,,,,,,,,,,,,,,,
CostsAndExpensesRelatedParty,,,,,,,,,,,,,,,600000.000,,,,2500000.000,,,,2500000.000
CurrentStateAndLocalTaxExpenseBenefit,18000.000,-77000.000,75000.000,75000.000,137000.000,84000.000,56000.000,344000.000,40000.000,-107000.000,75000.000,28000.000,42000.000,90000.000,101000.000,-64000.000,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,,,,,,,1400000.000,1700000.000,1400000.000,900000.000,1600000.000,1300000.000,1400000.000,1400000.000,1700000.000
Depreciation,,,,,,,,,,,-13700000.000,,,,12800000.000,,,,14700000.000,,,,16900000.000
DepreciationAndAmortization,7713000.000,7733000.000,,,,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,10264000.000,9132000.000,13044000.000,25021000.000,14154000.000,15127000.000,19449000.000,16693000.000,15588000.000,15882000.000,15483000.000,15213000.000,14694000.000,15063000.000,16326000.000,16769000.000,16551000.000,15709000.000,15520000.000,22648000.000,18777000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,,531000.000,528000.000,526000.000,515000.000,230000.000,113000.000,95000.000,70000.000,-13000.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,1000000.000,,1400000.000,500000.000,500000.000,-2000000.000,,,,,-1280000.000,-306000.000,-787000.000,509000.000,-683000.000,-255000.000,201000.000,130000.000,76000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,,,,,,,,,,,37342000.000,,,,40865000.000,,,,44960000.000,,,,
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,,,,,,,,,,,,40865000.000,,,,44960000.000,,,,54805000.000
DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,,,,,,,,,0.492,,0.507,0.515,0.522,0.531,0.537,0.545,0.555,0.566,0.575,0.585,0.595,0.607,0.620
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,29716000.000,,,,32709000.000,,,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsPaidPerUnit,,,0.895,0.910,0.925,-0.895,0.477,0.485,,,,,,,,,,,,,,,
EarlyRepaymentOfSeniorDebt,,,,,,,,,,,,,,,,,,,,,,,309750000.000
EarningsPerShareBasicAndDiluted,0.690,0.580,,,,,,,,,,,,,,,,,,,,,
EnvironmentalRemediationExpense,,,,,,,,,,,,,,,4200000.000,,,,,200000.000,,,0.000
FeesAndCommissions,,,,,,,,,,,,,,,,,,,,,500000.000,,800000.000
GainLossOnDispositionOfAssets,,,,,,,,,-159000.000,,,0.000,0.000,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,-5000.000,112000.000,,73000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,-2022000.000,,,,0.000,,,,159000.000,,,,0.000,-5000.000,,,58000.000
GainsLossesOnExtinguishmentOfDebt,,,-2596000.000,-383000.000,0.000,0.000,0.000,0.000,0.000,0.000,-7677000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,-12225000.000
GeneralAndAdministrativeExpense,1573000.000,2012000.000,2039000.000,2487000.000,1399000.000,1669000.000,3232000.000,3100000.000,2415000.000,3002000.000,3151000.000,2516000.000,2266000.000,2891000.000,3290000.000,2696000.000,3673000.000,2897000.000,3091000.000,2863000.000,2664000.000,3914000.000,2634000.000
GeneralPartnerDistributions,,,606000.000,622000.000,659000.000,679000.000,719000.000,737000.000,754000.000,772000.000,790000.000,807000.000,825000.000,842000.000,860000.000,877000.000,901000.000,925000.000,948000.000,978000.000,1065000.000,1097000.000,1148000.000
GeneralPartnersCapitalAccountDistributionAmount,,,,6187000.000,5566000.000,,6702000.000,7142000.000,7581000.000,8021000.000,8462000.000,8901000.000,9342000.000,9780000.000,10221000.000,10661000.000,11248000.000,11834000.000,12421000.000,13115000.000,15888000.000,16672000.000,17775000.000
IncentiveDistributionDistributionPerYear,,,,,,,,,,,,8094000.000,8517000.000,,9361000.000,9784000.000,10347000.000,10909000.000,11473000.000,12137000.000,14823000.000,15575000.000,16627000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,35931000.000,32080000.000,36635000.000,43910000.000,47780000.000,41529000.000,36012000.000,32554000.000,27985000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,19031000.000,16667000.000,22054000.000,23237000.000,25066000.000,21119000.000,21345000.000,21641000.000,23097000.000,20331000.000,27855000.000,24478000.000,31231000.000,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,24929000.000,,21289000.000,21297000.000,23057000.000,20438000.000,27780000.000,24450000.000,31189000.000,30394000.000,35830000.000,32144000.000,36566000.000,43788000.000,47685000.000,41475000.000,35951000.000,32479000.000,27879000.000
