,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccretionExpense,,,,,180000.000,,,,126000.000,,,,98000.000,,,,100000.000,,,,100000.000,,,,100000.000,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-8147000.000,,,,1149000.000,,,,-24869000.000,,,,-51950000.000,,,,-50100000.000,,,,-21800000.000,,,,-25800000.000,
AmortizationOfIntangibleAssets,5293000.000,5666000.000,6314000.000,5975000.000,5549000.000,5301000.000,5334000.000,5280000.000,7189000.000,7305000.000,6975000.000,7084000.000,6700000.000,6700000.000,6500000.000,6900000.000,6200000.000,6000000.000,6300000.000,5700000.000,6400000.000,6600000.000,5800000.000,6200000.000,5500000.000,5800000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,200000.000,200000.000,,400000.000,100000.000,100000.000,-400000.000,400000.000,0.000,0.000,-300000.000,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-8081000.000,,,,-8817000.000,,,,-7033000.000,,,,1575000.000,,,,2100000.000,,,,400000.000,,,,-12700000.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,1039000.000,,,,202000.000,,,,,,,,,,,,,,,,-23200000.000,,,,-1400000.000,
CommonStockDividendsPerShareDeclared,0.140,0.140,0.140,0.140,0.145,0.145,0.145,0.145,0.150,0.150,0.150,0.150,0.155,0.155,0.155,0.155,0.160,0.160,0.160,0.160,0.165,0.165,0.165,0.165,0.170,0.170
ComprehensiveIncomeNetOfTax,,,27451000.000,,11989000.000,12014000.000,11671000.000,27415000.000,13356000.000,19019000.000,16498000.000,24530000.000,12847000.000,15100000.000,19900000.000,26653000.000,14800000.000,19500000.000,1700000.000,38000000.000,5600000.000,8600000.000,17900000.000,-1400000.000,-51900000.000,34300000.000
CostOfServices,927760000.000,949594000.000,952844000.000,951066000.000,966420000.000,947916000.000,971628000.000,968416000.000,1067879000.000,1048213000.000,1095766000.000,1101571000.000,1108420000.000,1103400000.000,1144700000.000,1156980000.000,1161200000.000,1139200000.000,1251000000.000,858600000.000,1146400000.000,1132400000.000,1166500000.000,1178100000.000,1195100000.000,1164600000.000
CostsAndExpenses,1012253000.000,1033584000.000,1035514000.000,1047923000.000,1055989000.000,1038381000.000,1056062000.000,1053267000.000,1162817000.000,1140000000.000,1188070000.000,1199369000.000,1202539000.000,1203400000.000,1242400000.000,1255861000.000,1270200000.000,1239300000.000,1356100000.000,958600000.000,1254800000.000,1245300000.000,1278400000.000,1311500000.000,1302900000.000,
DeferredIncomeTaxExpenseBenefit,2092000.000,,,,2940000.000,,,,138000.000,,,,211000.000,,,,-300000.000,,,,-8100000.000,,,,9900000.000,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,,,,,,35000.000,-34000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,,37000.000,-6000.000,,,,,,,,,,,,,,,
DepreciationAndAmortization,12674000.000,,,,12974000.000,,,,15889000.000,,,,14337000.000,,,,14000000.000,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,,,14300000.000,,,,14000000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,,,,,,,-900000.000,-3900000.000,-2900000.000,-1500000.000,-123100000.000,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,,,,,,,,,,,-1300000.000,-1500000.000,-1100000.000,-100000.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,,,,,,,,,,,,,,,,,,,,,,,,,,-17400000.000
EarningsPerShareBasic,0.160,0.270,0.520,0.340,0.200,0.220,0.230,0.510,0.250,0.350,0.290,0.440,0.230,0.270,0.340,0.510,0.310,0.320,0.030,0.690,0.250,0.080,0.550,0.140,-1.010,0.560
EarningsPerShareDiluted,0.160,0.260,0.510,0.340,0.200,0.210,0.230,0.500,0.240,0.350,0.290,0.420,0.230,0.270,0.340,0.480,0.310,0.320,0.030,0.670,0.240,0.080,0.550,0.140,-1.000,0.550
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,500000.000,
EffectiveIncomeTaxRateContinuingOperations,,,0.261,,0.412,0.333,0.413,-0.835,0.222,0.392,0.404,-0.666,-0.425,0.424,0.405,-0.012,0.017,0.400,,,0.023,0.342,,,0.269,0.353
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,4760000.000,,,,2241000.000,,,,714000.000,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,,,,,,,,,2000000.000,
EquityMethodInvestmentDividendsOrDistributions,157000.000,,,,2963000.000,,,,681000.000,,,,818000.000,,,,3000000.000,,,,2600000.000,,,,800000.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,,,,,300000.000,,,,500000.000,,,,0.000,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,,100000.000,,,,100000.000,
GainLossOnSaleOfPropertyPlantEquipment,-28000.000,,,,455000.000,,,,-7000.000,,,,49000.000,,,,700000.000,,,,,,,,,
IncomeLossFromContinuingOperations,8405000.000,14200000.000,27911000.000,18182000.000,10640000.000,11747000.000,12626000.000,27705000.000,13382000.000,19274000.000,16076000.000,24168000.000,,,,,,,,,13600000.000,6800000.000,32900000.000,9000000.000,16100000.000,31600000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,37785000.000,,18094000.000,17610000.000,21513000.000,35432000.000,17191000.000,31717000.000,26959000.000,36585000.000,22718000.000,26400000.000,32600000.000,42682000.000,18000000.000,30500000.000,-7100000.000,31000000.000,13300000.000,10300000.000,18000000.000,10300000.000,22000000.000,48900000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.160,0.270,0.520,0.340,0.200,0.220,0.230,0.510,0.250,0.350,0.290,0.440,,,,,,,,,0.240,0.120,0.580,0.170,0.290,0.560
IncomeLossFromContinuingOperationsPerDilutedShare,0.160,0.260,0.510,0.340,0.200,0.210,0.230,0.500,0.240,0.350,0.290,0.420,,,,,,,,,0.240,0.120,0.580,0.150,0.280,0.560
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-15000.000,-8000.000,-36000.000,-135000.000,-10000.000,-35000.000,49000.000,-140000.000,,,,,,,,,,,,,400000.000,-2400000.000,-1800000.000,-1300000.000,-72900000.000,-400000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,0.000,,,,,,,,,,,,,,,,,,,0.010,-0.040,-0.030,-0.030,-1.300,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.000,0.000,,,,,,,,,,,,,,,,,,,0.000,-0.040,-0.030,-0.020,-1.280,-0.010
IncomeLossFromEquityMethodInvestments,787000.000,832000.000,1166000.000,1130000.000,3132000.000,1501000.000,747000.000,1015000.000,1195000.000,1133000.000,1596000.000,2395000.000,1493000.000,1200000.000,1600000.000,2207000.000,1500000.000,2200000.000,2600000.000,2700000.000,2400000.000,900000.000,2100000.000,2200000.000,1400000.000,900000.000
IncomeTaxCreditsAndAdjustments,,,,,,,,,2900000.000,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,5252000.000,8814000.000,9874000.000,13040000.000,7454000.000,5863000.000,8887000.000,7727000.000,3809000.000,12443000.000,10883000.000,12417000.000,9649000.000,11200000.000,13200000.000,14751000.000,300000.000,12200000.000,-8600000.000,14400000.000,-300000.000,3500000.000,-14900000.000,1300000.000,5900000.000,17300000.000
IncomeTaxesPaidNet,688000.000,,,,1098000.000,,,,4612000.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,19914000.000,,,,-1346000.000,,,,-24249000.000,,,,-24700000.000,,,,-15400000.000,,,,-15500000.000,,,,18100000.000,
IncreaseDecreaseInAccountsReceivable,37109000.000,,,,22173000.000,,,,25378000.000,,,,44135000.000,,,,34600000.000,,,,20900000.000,,,,65400000.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,1537000.000,,,,3363000.000,,,,-2444000.000,,,,4478000.000,,,,-6900000.000,,,,4700000.000,,,,-11000000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,,,,,,,,,,,,,,,,,2900000.000,,,,7500000.000,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,1700000.000,,,,6800000.000,
IncreaseDecreaseInOtherOperatingAssets,-1823000.000,,,,-6725000.000,,,,-3748000.000,,,,-1227000.000,,,,1300000.000,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,,,,,,,,,-600000.000,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,6860000.000,,,,7649000.000,,,,-3188000.000,,,,6364000.000,,,,5100000.000,,,,6700000.000,,,,2400000.000,
IncreaseDecreaseInSelfInsuranceReserve,,,,,3326000.000,,,,718000.000,,,,-417000.000,,,,-5900000.000,,46500000.000,,5300000.000,,,,8300000.000,
InterestExpense,4046000.000,4317000.000,4114000.000,3328000.000,2834000.000,,,,,,,,2707000.000,2700000.000,2700000.000,2593000.000,2700000.000,2500000.000,2400000.000,2600000.000,2700000.000,2400000.000,2600000.000,2700000.000,3200000.000,3000000.000
InterestIncomeExpenseNet,,,,,,-2441000.000,-2407000.000,,-3310000.000,-3033000.000,-3335000.000,-3214000.000,,,,,,,,,,,,,,
InterestPaid,2881000.000,,,,1592000.000,,,,1958000.000,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,288609000.000,,,,-9564000.000,,,,196278000.000,,,,49934000.000,,,,38100000.000,,,,119400000.000,,,,27000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,288609000.000,,,,-9564000.000,,,,196278000.000,,,,49934000.000,,,,38100000.000,,,,119400000.000,,,,27000000.000,
NetCashProvidedByUsedInInvestingActivities,-297987000.000,,,,-11244000.000,,,,-191824000.000,,,,-9478000.000,,,,-3600000.000,,,,-87600000.000,,,,-29100000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-297987000.000,,,,-11244000.000,,,,-191824000.000,,,,-9478000.000,,,,-3600000.000,,,,-87600000.000,,,,-29100000.000,
NetCashProvidedByUsedInOperatingActivities,1297000.000,,,,11991000.000,,,,-11487000.000,,,,-38881000.000,,,,-32400000.000,,,,-31400000.000,,,,-11100000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,258000.000,,,,11789000.000,,,,-11487000.000,,,,-38881000.000,,,,-32400000.000,,,,-8200000.000,,,,-9700000.000,
